组	码位	建议审议词	当前位置	候选总数	核心字数	扩展字数	词数	现首选	目标已有简码	首选已有简码	前移会越过	全部核心字	全部扩展字	完整当前顺序	模拟升首选顺序
A	yidu	一度	4	5	0	0	5	已读	无	无	已读、遗毒、易读	无	无	已读 → 遗毒 → 易读 → 一度 → 臆度	一度 → 已读 → 遗毒 → 易读 → 臆度
A	yixb	一心	3	3	0	0	3	疑心	无	无	疑心、异心	无	无	疑心 → 异心 → 一心	一心 → 疑心 → 异心
A	yizd	一再	4	4	0	0	4	已在	无	无	已在、意在、移栽	无	无	已在 → 意在 → 移栽 → 一再	一再 → 已在 → 意在 → 移栽
A	yidg	一等	2	2	0	0	2	乙等	无	无	乙等	无	无	乙等 → 一等	一等 → 乙等
A	yice	一侧	2	2	0	0	2	臆测	无	无	臆测	无	无	臆测 → 一侧	一侧 → 臆测
A	yilm	一连	3	3	0	0	3	依恋	无	无	依恋、一脸	无	无	依恋 → 一脸 → 一连	一连 → 依恋 → 一脸
A	yida	一大	3	5	0	1	4	已达	无	无	已达、益达	无	訲	已达 → 益达 → 一大 → 医大 → 訲	一大 → 已达 → 益达 → 医大 → 訲
A	yipm	一片	3	3	0	0	3	遗篇	yp	无	遗篇、一篇	无	无	遗篇 → 一篇 → 一片	一片 → 遗篇 → 一篇
A	yise	一色	2	3	0	1	2	异色	无	无	异色	无	㡼	异色 → 一色 → 㡼	一色 → 异色 → 㡼
A	yipc	一炮	2	2	0	0	2	衣袍	无	无	衣袍	无	无	衣袍 → 一炮	一炮 → 衣袍
A	yimw	一枚	3	3	0	0	3	医美	无	无	医美、衣袂	无	无	医美 → 衣袂 → 一枚	一枚 → 医美 → 衣袂
A	yiua	一霎	2	2	0	0	2	一刹	无	无	一刹	无	无	一刹 → 一霎	一霎 → 一刹
B	yige	一个	4	4	0	0	4	亿个	yg	无	亿个、已隔、一哥	无	无	亿个 → 已隔 → 一哥 → 一个	一个 → 亿个 → 已隔 → 一哥
B	yiyh	一样	4	5	0	0	5	异样	yy	无	异样、依样、一唱一和	无	无	异样 → 依样 → 一唱一和 → 一样 → 益阳	一样 → 异样 → 依样 → 一唱一和 → 益阳
B	yixx	一下	4	4	0	0	4	以下	yx	无	以下、意下、已下	无	无	以下 → 意下 → 已下 → 一下	一下 → 以下 → 意下 → 已下
B	yiqp	一切	2	2	0	0	2	亦且	yq	无	亦且	无	无	亦且 → 一切	一切 → 亦且
B	yixp	一些	6	6	0	0	6	已写	yx	无	已写、衣鞋、医械、一血、一写	无	无	已写 → 衣鞋 → 医械 → 一血 → 一写 → 一些	一些 → 已写 → 衣鞋 → 医械 → 一血 → 一写
B	yibj	一般	4	6	0	0	6	已办	yb	无	已办、乙班、一瓣	无	无	已办 → 乙班 → 一瓣 → 一般 → 一半 → 一斑	一般 → 已办 → 乙班 → 一瓣 → 一半 → 一斑
B	yibm	一边	5	5	0	0	5	以便	yb	无	以便、异变、溢出屏幕、一遍	无	无	以便 → 异变 → 溢出屏幕 → 一遍 → 一边	一边 → 以便 → 异变 → 溢出屏幕 → 一遍
B	yilu	一路	3	3	0	0	3	已撸	无	无	已撸、驿路	无	无	已撸 → 驿路 → 一路	一路 → 已撸 → 驿路
B	yivf	一阵	4	4	0	0	4	义诊	yv	无	义诊、疑阵、一帧	无	无	义诊 → 疑阵 → 一帧 → 一阵	一阵 → 义诊 → 疑阵 → 一帧
B	yidj	一旦	2	2	0	0	2	已成定局	yd	无	已成定局	无	无	已成定局 → 一旦	一旦 → 已成定局
B	yibd	一百	4	4	0	0	4	衣摆	无	无	衣摆、扬长避短、严惩不贷	无	无	衣摆 → 扬长避短 → 严惩不贷 → 一百	一百 → 衣摆 → 扬长避短 → 严惩不贷
B	yidv	一对	5	6	0	0	6	已对	无	无	已对、乙队、已兑、一堆	无	无	已对 → 乙队 → 已兑 → 一堆 → 一对 → 一队	一对 → 已对 → 乙队 → 已兑 → 一堆 → 一队
B	yidd	一代	3	6	0	0	6	衣带	无	无	衣带、一插到底	无	无	衣带 → 一插到底 → 一代 → 一袋 → 一带 → 衣袋	一代 → 衣带 → 一插到底 → 一袋 → 一带 → 衣袋
B	yiyt	一月	3	4	0	0	4	已阅	无	无	已阅、依约	无	无	已阅 → 依约 → 一月 → 一跃	一月 → 已阅 → 依约 → 一跃
B	yilq	一流	4	6	0	0	6	遗留	无	无	遗留、乙流、预处理器	无	无	遗留 → 乙流 → 预处理器 → 一流 → 一绺 → 一溜	一流 → 遗留 → 乙流 → 预处理器 → 一绺 → 一溜
B	yiuz	一手	5	5	0	0	5	已售	无	无	已售、易手、易受、一首	无	无	已售 → 易手 → 易受 → 一首 → 一手	一手 → 已售 → 易手 → 易受 → 一首
B	yits	一同	4	6	0	0	6	异同	无	无	异同、异瞳、已同	无	无	异同 → 异瞳 → 已同 → 一同 → 一通 → 一统	一同 → 异同 → 异瞳 → 已同 → 一通 → 一统
B	yiuf	一身	4	5	0	0	5	以身	无	无	以身、已深、远程施法	无	无	以身 → 已深 → 远程施法 → 一身 → 一审	一身 → 以身 → 已深 → 远程施法 → 一审
B	yiti	一体	5	6	0	0	6	遗体	无	无	遗体、议题、异体、一朝天子一朝臣	无	无	遗体 → 议题 → 异体 → 一朝天子一朝臣 → 一体 → 一屉	一体 → 遗体 → 议题 → 异体 → 一朝天子一朝臣 → 一屉
B	yijn	一角	5	6	0	0	6	移交	无	无	移交、衣角、一脚、一觉	无	无	移交 → 衣角 → 一脚 → 一觉 → 一角 → 异教	一角 → 移交 → 衣角 → 一脚 → 一觉 → 异教
B	yitz	一头	3	3	0	0	3	已投	无	无	已投、一朝天子	无	无	已投 → 一朝天子 → 一头	一头 → 已投 → 一朝天子
B	yiyj	一眼	4	6	0	1	5	遗言	yy	无	遗言、依言、义眼	无	鯣	遗言 → 依言 → 义眼 → 一眼 → 鯣 → 义演	一眼 → 遗言 → 依言 → 义眼 → 鯣 → 义演
B	yitm	一天	3	3	0	0	3	已填	yt	无	已填、倚天	无	无	已填 → 倚天 → 一天	一天 → 已填 → 倚天
B	yigd	一概	3	4	0	0	4	已改	无	无	已改、易改	无	无	已改 → 易改 → 一概 → 医改	一概 → 已改 → 易改 → 医改
B	yiuy	一瞬	3	4	0	1	3	依顺	无	无	依顺、有偿使用	无	裿	依顺 → 有偿使用 → 一瞬 → 裿	一瞬 → 依顺 → 有偿使用 → 裿
B	yiff	一分	4	5	0	0	5	义愤	无	无	义愤、已分、已粉	无	无	义愤 → 已分 → 已粉 → 一分 → 一份	一分 → 义愤 → 已分 → 已粉 → 一份
B	yibu	一步	5	6	0	0	6	移步	无	无	移步、异步、遗传病史、一朝被蛇咬，十年怕井绳	无	无	移步 → 异步 → 遗传病史 → 一朝被蛇咬，十年怕井绳 → 一步 → 一部	一步 → 移步 → 异步 → 遗传病史 → 一朝被蛇咬，十年怕井绳 → 一部
B	yilj	一览	4	5	0	0	5	倚栏	无	无	倚栏、倚阑、远程连接	无	无	倚栏 → 倚阑 → 远程连接 → 一览 → 一栏	一览 → 倚栏 → 倚阑 → 远程连接 → 一栏
B	yipd	一派	5	5	0	0	5	已派	无	无	已派、义拍、一排、一拍	无	无	已派 → 义拍 → 一排 → 一拍 → 一派	一派 → 已派 → 义拍 → 一排 → 一拍
B	yiru	一如	4	4	0	0	4	亦如	无	无	亦如、移入、已入	无	无	亦如 → 移入 → 已入 → 一如	一如 → 亦如 → 移入 → 已入
B	yiql	一枪	3	4	0	0	4	翼墙	无	无	翼墙、移出群聊	无	无	翼墙 → 移出群聊 → 一枪 → 一腔	一枪 → 翼墙 → 移出群聊 → 一腔
B	yivz	一周	2	3	0	0	3	移轴	无	无	移轴	无	无	移轴 → 一周 → 一皱	一周 → 移轴 → 一皱
B	yiqr	一圈	3	4	0	0	4	乙醛	无	无	乙醛、意拳	无	无	乙醛 → 意拳 → 一圈 → 一拳	一圈 → 乙醛 → 意拳 → 一拳
B	yijt	一绝	4	4	0	0	4	已决	无	无	已决、义绝、壹决	无	无	已决 → 义绝 → 壹决 → 一绝	一绝 → 已决 → 义绝 → 壹决
B	yipi	一批	2	3	0	0	3	已批	无	无	已批	无	无	已批 → 一批 → 一匹	一批 → 已批 → 一匹
B	yicj	一餐	2	2	0	0	2	蚁蚕	无	无	蚁蚕	无	无	蚁蚕 → 一餐	一餐 → 蚁蚕
B	yijp	一届	4	7	0	1	6	异界	无	无	异界、已结、一触就破	无	硛	异界 → 已结 → 一触就破 → 一届 → 一截 → 硛 → 一节	一届 → 异界 → 已结 → 一触就破 → 一截 → 硛 → 一节
B	yigf	一根	3	3	0	0	3	已跟	yg	无	已跟、翼根	无	无	已跟 → 翼根 → 一根	一根 → 已跟 → 翼根
B	yiso	一所	3	3	0	0	3	已锁	无	无	已锁、伊索	无	无	已锁 → 伊索 → 一所	一所 → 已锁 → 伊索
B	yicg	一层	2	2	0	0	2	亦曾	无	无	亦曾	无	无	亦曾 → 一层	一层 → 亦曾
B	yidy	一顿	3	4	0	1	3	亿吨	无	无	亿吨、一锤定音	无	鷾	亿吨 → 一锤定音 → 一顿 → 鷾	一顿 → 亿吨 → 一锤定音 → 鷾
B	yilg	一愣	2	2	0	0	2	意冷	无	无	意冷	无	无	意冷 → 一愣	一愣 → 意冷
B	yiqu	一曲	4	7	0	0	7	已去	无	无	已去、移去、永垂青史	无	无	已去 → 移去 → 永垂青史 → 一曲 → 一区 → 疫区 → 意趣	一曲 → 已去 → 移去 → 永垂青史 → 一区 → 疫区 → 意趣
B	yiwo	一窝	3	3	0	0	3	以我	无	无	以我、依我	无	无	以我 → 依我 → 一窝	一窝 → 以我 → 依我
B	yipb	一品	3	3	0	0	3	衣品	无	无	衣品、异频	无	无	衣品 → 异频 → 一品	一品 → 衣品 → 异频
B	yiux	一刷	2	2	0	0	2	已刷	无	无	已刷	无	无	已刷 → 一刷	一刷 → 已刷
B	yino	一诺	2	2	0	0	2	伊诺	无	无	伊诺	无	无	伊诺 → 一诺	一诺 → 伊诺
B	yipj	一盘	2	3	0	0	3	原厂配件	无	无	原厂配件	无	无	原厂配件 → 一盘 → 一爿	一盘 → 原厂配件 → 一爿
B	yibi	一笔	2	3	0	0	3	有仇报仇	无	无	有仇报仇	无	无	有仇报仇 → 一笔 → 一比	一笔 → 有仇报仇 → 一比
C	yidk	一定	5	5	0	1	4	已定	yd	无	已定、议定、一顶、譯	无	譯	已定 → 议定 → 一顶 → 譯 → 一定	一定 → 已定 → 议定 → 一顶 → 譯
C	yihv	一会	5	7	1	1	5	议会	无	无	议会、邑、意会、远程会诊	邑	唈	议会 → 邑 → 意会 → 远程会诊 → 一会 → 一回 → 唈	一会 → 议会 → 邑 → 意会 → 远程会诊 → 一回 → 唈
C	yill	一两	5	7	1	1	5	溢出来了	无	无	溢出来了、乙、要出来了、一辆	乙	拸	溢出来了 → 乙 → 要出来了 → 一辆 → 一两 → 宜良 → 拸	一两 → 溢出来了 → 乙 → 要出来了 → 一辆 → 宜良 → 拸
C	yifj	一番	4	4	0	1	3	疑犯	无	无	疑犯、已返、㑥	无	㑥	疑犯 → 已返 → 㑥 → 一番	一番 → 疑犯 → 已返 → 㑥
C	yixl	一向	5	11	1	1	9	意向	无	无	意向、艺、臆想、一项	艺	䔟	意向 → 艺 → 臆想 → 一项 → 一向 → 异乡 → 意象 → 遗像 → 衣箱 → 意想 → 䔟	一向 → 意向 → 艺 → 臆想 → 一项 → 异乡 → 意象 → 遗像 → 衣箱 → 意想 → 䔟
C	yidc	一道	4	8	1	3	4	已到	无	无	已到、意、移到	意	悥、譩、䪰	已到 → 意 → 移到 → 一道 → 悥 → 譩 → 䪰 → 一刀	一道 → 已到 → 意 → 移到 → 悥 → 譩 → 䪰 → 一刀
C	yiba	一把	6	6	2	2	2	潩	无	无	潩、已把、溢、瀷、㳑	潩、溢	瀷、㳑	潩 → 已把 → 溢 → 瀷 → 㳑 → 一把	一把 → 潩 → 已把 → 溢 → 瀷 → 㳑
C	yihc	一号	4	4	1	0	3	噫	无	无	噫、壹号、易耗	噫	无	噫 → 壹号 → 易耗 → 一号	一号 → 噫 → 壹号 → 易耗
C	yitr	一团	3	3	1	0	2	矣	无	无	矣、疑团	矣	无	矣 → 疑团 → 一团	一团 → 矣 → 疑团
C	yidh	一档	3	5	1	1	3	诒	无	无	诒、一场大火	诒	詒	诒 → 一场大火 → 一档 → 詒 → 一挡	一档 → 诒 → 一场大火 → 詒 → 一挡
C	yikr	一款	2	2	1	0	1	𬬩	无	无	𬬩	𬬩	无	𬬩 → 一款	一款 → 𬬩
C	yitn	一条	2	4	1	1	2	壹	无	无	壹	壹	㙪	壹 → 一条 → 㙪 → 一跳	一条 → 壹 → 㙪 → 一跳
C	yizo	一座	5	6	0	1	5	遗作	无	无	遗作、译作、已做、跇	无	跇	遗作 → 译作 → 已做 → 跇 → 一座 → 一作	一座 → 遗作 → 译作 → 已做 → 跇 → 一作
C	yido	一朵	4	4	0	2	2	亿多	无	无	亿多、䚷、詍	无	䚷、詍	亿多 → 䚷 → 詍 → 一朵	一朵 → 亿多 → 䚷 → 詍
C	yidp	一碟	3	3	0	1	2	一叠	无	无	一叠、讉	无	讉	一叠 → 讉 → 一碟	一碟 → 一叠 → 讉
C	yilp	一列	2	3	1	1	1	抑	无	无	抑	抑	迻	抑 → 一列 → 迻	一列 → 抑 → 迻
C	yimo	一抹	5	6	0	1	5	翼膜	无	无	翼膜、遗墨、靾、异魔	无	靾	翼膜 → 遗墨 → 靾 → 异魔 → 一抹 → 一摸	一抹 → 翼膜 → 遗墨 → 靾 → 异魔 → 一摸
C	yivy	一准	3	4	1	1	2	猗	无	无	猗、异常占用	猗	狋	猗 → 异常占用 → 一准 → 狋	一准 → 猗 → 异常占用 → 狋
C	yiiz	一筹	4	4	0	1	3	乙丑	无	无	乙丑、一抽、㛳	无	㛳	乙丑 → 一抽 → 㛳 → 一筹	一筹 → 乙丑 → 一抽 → 㛳
C	yiyk	一应	5	5	1	2	2	嶷	无	无	嶷、译英、嶧、䱌	嶷	嶧、䱌	嶷 → 译英 → 嶧 → 䱌 → 一应	一应 → 嶷 → 译英 → 嶧 → 䱌
C	yico	一撮	3	3	0	1	2	易错	无	无	易错、怈	无	怈	易错 → 怈 → 一撮	一撮 → 易错 → 怈
C	yipn	一票	2	6	1	2	3	奕	无	无	奕	奕	畩、䧇	奕 → 一票 → 畩 → 䧇 → 一瓢 → 一飘	一票 → 奕 → 畩 → 䧇 → 一瓢 → 一飘
