aaaa=1,啊啊啊啊
ainc=1,爱闹
aini=1,爱你
ainj=1,碍难
ainv=1,爱女
aipb=1,爱拼
aipc=1,挨炮
aipc=2,爱跑
aiph=1,矮胖
aipi=1,挨批
aipu=1,爱普
aiqi=1,爱妻
aiqk=1,爱情
aiql=1,矮墙
aiqm=1,爱钱
aiqp=1,哀切
aiqp=2,爱妾
aiqq=1,哀求
aiqr=1,爱犬
airf=1,爱人
airf=2,矮人
airj=1,蔼然
airs=1,艾绒
airs=2,哀荣
airv=1,艾瑞
aisi=1,爱死
aisi=2,哀思
aisu=1,哀诉
aite=1,艾特
aiti=1,挨踢
aiti=2,哀啼
aitj=1,哀叹
aitk=1,爱听
aits=1,哀痛
aits=2,哀恸
aitu=1,爱徒
aiua=1,爱莎
aiuf=1,爱神
aiug=1,哀声
aiuh=1,爱上
aiuh=2,哀伤
aiui=1,碍事
aiuo=1,爱说
aiuu=1,爱书
aiuu=2,矮树
aiuv=1,爱睡
aiuz=1,碍手
aive=1,爱着
aive=2,挨着
aivg=1,癌症
aivs=1,癌肿
aiwj=1,爱玩
aiwj=2,哀婉
aiwo=1,爱我
aixb=1,爱心
aixf=1,AI修复
aixi=1,爱惜
aixk=1,矮星
aixn=1,矮小
aixn=2,爱笑
aixy=1,挨训
aixy=2,暗潮汹涌
aiya=1,哎呀
aiya=2,唉呀
aiye=1,艾叶
aiyi=1,爱意
aiyj=1,碍眼
aiyo=1,哎哟
aiyr=1,哀怨
aiys=1,爱用
aiyt=1,哀乐
aiyu=1,碍于
aiyu=2,爱欲
aiyz=1,哎呦
aiyz=2,爱幼
aiyz=3,矮油
aizd=1,挨宰
aizg=1,爱憎
aizi=1,矮子
aizi=2,艾滋
aizo=1,爱做
aizt=1,AI作图
aizz=1,挨揍
ajah=1,挨家挨户
ajcb=1,挨肩擦背
ajdb=1,挨肩搭背
ajdk=1,按揭贷款
ajdz=1,安静的美男子
ajgi=1,安居工程
ajht=1,按揭合同
ajit=1,按键冲突
ajjl=1,按键精灵
ajlh=1,安家落户
ajlx=1,按揭利息
ajly=1,安居乐业
ajly=2,安家立业
ajmd=1,阿基米德
ajnf=1,暗箭难防
ajnf=2,暗贱难防
ajqx=1,按经取穴
ajru=1,安静入睡
ajsu=1,也就是说
ajul=1,案件审理
ajur=1,暗箭伤人
ajux=1,按揭手续
ajvh=1,挨家逐户
ajvy=1,安家置业
ajxl=1,安静下来
ajxt=1,暗礁险滩
ajxz=1,按迹循踪
ajyh=1,埃及艳后
akbk=1,爱看不看
akbl=1,阿卡贝拉
akmd=1,奥卡姆剃刀
akwx=1,爱开玩笑
akxy=1,阿克希亚
albb=1,阿里巴巴
albd=1,阿拉伯半岛
albg=1,阿拉伯联合酋长国
albl=1,爱理不理
albl=2,爱来不来
albr=1,阿拉伯人
albs=1,奥林巴斯
alby=1,阿拉伯语
albz=1,阿拉伯数字
aldq=1,阿里地区
alfi=1,按劳付酬
alfp=1,按劳分配
alfx=1,案例分析
algd=1,阿里嘎多
algj=1,按老规矩
alhy=1,爱老虎油
aljx=1,案例教学
allj=1,按理来讲
allu=1,按理来说
almt=1,阿拉木图
alph=1,奥林匹克运动会
alpk=1,奥林匹克
alpo=1,奥林匹斯
alpu=1,奥林匹亚先生
alpy=1,奥林匹亚
alqi=1,按劳取酬
alsj=1,阿拉斯加
aluk=1,阿拉山口
alum=1,阿拉善盟
alww=1,阿里旺旺
alxy=1,爱莉希雅
alyd=1,暗流涌动
alyp=1,阿里云盘
alyx=1,安利一下
amag=1,阿猫阿狗
amah=1,挨门挨户
ambm=1,爱买不买
ambq=1,暧昧不清
ambx=1,傲慢不逊
amds=1,哀莫大于心死
amdy=1,哀莫大焉
ameh=1,阿米尔汗
amgu=1,安民告示
amhg=1,澳门回归
amkr=1,奥密克戎
amld=1,鞍马劳顿
amlk=1,阿美莉卡
amlk=2,鞍马劳困
amly=1,阿米莉亚
amnh=1,唵嘛呢叭咪吽
amnl=1,按摩女郎
amns=1,啊米诺斯
amns=2,阿米诺斯
amnv=1,爱莫能助
amru=1,爱美人士
amru=2,爱猫人士
amrz=1,爱民如子
amsd=1,阿姆斯特丹
amsl=1,阿姆斯特朗
amsm=1,也没什么
amsv=1,阿姆斯壮
amtf=1,阿弥陀佛
amtq=1,澳门特区
amvh=1,挨门逐户
amvl=1,鞍马之劳
amvq=1,爱慕之情
amvv=1,爱美之心，人皆有之
amvv=2,爱美之心人皆有之
amvx=1,爱美之心
amwl=1,傲慢无礼
amwq=1,奥妙无穷
amxl=1,阿莫西林
amxr=1,爱慕虚荣
amyj=1,爱慕已久
anan=1,暗暗
anbc=1,安保
anbc=2,暗堡
anbh=1,安邦
anbi=1,鞍鼻
anbj=1,案板
anbk=1,暗病
anbm=1,岸边
anbn=1,岸标
anbv=1,按捺不住
anbv=2,按耐不住
anbw=1,安倍
anby=1,懊恼不已
anch=1,暗藏
ancm=1,碍难从命
anco=1,按错
ancy=1,暗忖
andc=1,暗道
ande=1,安得
andi=1,暗地
andi=2,安迪
andj=1,黯淡
andj=2,暗淡
andk=1,安定
andm=1,按点
andp=1,俺爹
ands=1,按动
ands=3,暗洞
andu=1,安度
andu=2,暗度
andu=3,案牍
andy=1,安顿
andz=1,暗斗
anee=1,媕娿
anfa=1,案发
anff=1,安分
anfg=1,暗讽
anfh=1,安放
anfh=2,暗访
anfh=3,安防
anfj=1,案犯
anfu=1,安抚
angd=1,暗改
ange=1,暗格
angh=1,鞍钢
angr=1,暗管
angz=1,暗沟
anhc=1,暗号
anhc=3,安好
anhd=1,暗害
anhe=1,暗合
anhj=1,暗含
anhk=1,按坏
anhl=1,暗黄
anhs=1,暗红
anhv=1,安徽
anhw=1,暗黑
anhy=1,安魂
ania=1,安插
anic=1,暗潮
anif=1,暗沉
anih=1,暗娼
anil=1,暗疮
aniu=1,暗处
aniy=1,鹌鹑
anjf=1,暗道：“
anji=1,暗疾
anji=2,按季
anjk=1,安静
anjm=1,案件
anjm=2,按键
anjm=3,安检
anjn=1,暗礁
anjp=1,按揭
anjr=1,案卷
anju=1,安居
anjx=1,安家
anjx=2,俺家
anke=1,安可
ankh=1,安康
ankv=1,暗亏
ankz=1,暗扣
anla=1,安拉
anle=1,安乐
anli=1,案例
anli=2,按理
anli=3,安利
anlk=1,按铃
anll=1,按量
anlm=1,暗恋
anlq=1,暗流
anlv=1,暗绿
anma=1,暗骂
anma=2,鞍马
anmb=1,安民
anmd=1,按脉
anmf=1,暗门
anmf=2,俺们
anmi=1,安谧
anmm=1,安眠
anmo=1,按摩
anna=1,安娜
anna=2,按捺
annd=1,按耐
anng=1,安能
anni=1,安妮
annk=1,安宁
annm=1,按年
annq=1,按钮
anpd=1,安排
anpj=1,暗盘
anpw=1,安培
anqb=1,安寝
anqi=1,暗器
anqi=2,按期
anqk=1,案情
anqr=1,安全
anqu=1,暗渠
anri=1,按日
anrj=1,安然
anrj=2,黯然
anrw=1,安内攘外
anrz=1,按揉
anse=1,暗色
anso=1,暗锁
ansr=1,暗算
ansr=2,氨酸
anss=1,暗送
anta=1,安踏
antd=1,安泰
antd=2,安胎
anth=1,庵堂
antj=1,暗叹
antj=2,暗探
antm=1,按天
anto=1,安妥
antz=1,案头
anua=1,暗杀
anuc=1,暗哨
anue=1,安设
anuf=1,安身
anuf=2,安神
anug=1,安生
anuh=1,岸上
anuh=2,安上
anui=1,暗示
anui=2,按时
anuj=1,鞍山
anul=1,暗爽
anuo=1,按说
anuu=1,谙熟
anuv=1,安睡
anuv=2,氨水
anuy=1,安顺
anuz=1,案首
anvc=1,按照
anve=1,按着
anvh=1,按章
anvi=1,安置
anvj=1,暗战
anvl=1,安装
anvo=1,安卓
anvo=2,案桌
anvs=1,暗中
anvs=2,案中
anvu=1,按住
anwf=1,安稳
anwf=2,暗纹
anwh=1,暗网
anww=1,安慰
anww=2,安危
anww=3,傲睨万物
anxb=1,安心
anxi=1,安息
anxi=2,暗喜
anxl=1,安详
anxl=2,暗香
anxm=1,安闲
anxm=2,暗线
anxn=1,暗笑
anxp=1,安歇
anxu=1,按需
anxx=1,按下
anya=1,按压
anye=1,暗夜
anyh=1,安阳
anyi=1,安逸
anyj=1,铵盐
anyk=1,暗影
anyk=2,安营
anyr=1,安源
anyr=2,安远
anys=1,暗涌
anyt=1,按月
anyt=2,暗月
anyu=1,安于
anyu=2,暗语
anyu=3,暗喻
anyz=1,案由
anyz=2,俺有
anzh=1,安葬
anzi=1,案子
anzi=2,暗自
anzo=1,安坐
anzs=3,案宗
aoan=1,傲岸
aoao=1,嗷嗷
aobc=1,敖包
aobd=1,鳌拜
aobj=1,凹版
aobk=1,敖丙
aobk=2,鏖兵
aocc=1,凹槽
aocd=1,熬菜
aodc=1,熬到
aodi=1,奥迪
aogo=1,熬过
aogu=1,傲骨
aohf=1,凹痕
aohv=1,懊悔
aoig=1,熬成
aoil=1,奥创
aoiu=1,凹处
aojb=1,凹进
aojk=1,拗劲
aojk=2,凹镜
aojm=1,熬煎
aojn=1,傲娇
aokh=1,澳抗
aokz=1,拗口
aoli=1,傲立
aomf=1,澳门
aomi=1,奥秘
aomj=1,傲慢
aomm=1,凹面
aomn=1,奥妙
aonc=1,懊恼
aony=1,艾欧尼亚
aoqi=1,傲气
aoqr=1,獒犬
aorf=1,傲人
aorj=1,傲然
aosd=1,奥赛
aosh=1,懊丧
aosi=1,熬死
aoth=1,熬汤
aoto=1,奥拓
aotu=1,凹凸
aotz=1,鳌头
aoui=1,傲视
aoui=2,傲世
aoul=1,傲霜
aouu=1,奥数
aovi=1,熬制
aovj=1,鏖战
aovu=1,熬煮
aovz=1,澳洲
aovz=2,熬粥
aowu=1,嗷呜
aowu=2,傲物
aoxl=1,翱翔
aoxm=1,凹陷
aoxt=1,傲雪
aoxx=1,凹下
aoyc=1,熬药
aoye=1,熬夜
aoyi=1,奥义
aoyr=1,澳元
aoyy=1,奥运
aoyz=1,遨游
apcy=1,爱拼才会赢
apdb=1,安排得明明白白
apdz=1,安培定则
apgz=1,安排工作
apld=1,安贫乐道
aplj=1,安贫乐贱
aprs=1,安贫若素
apst=1,爱泼斯坦
aptd=1,安排妥当
apuh=1,安排生活
apuj=1,安排时间
aqbq=1,爱去不去
aqbv=1,哀其不争
aqbx=1,哀其不幸
aqcu=1,安全措施
aqdp=1,爱情动作片
aqdy=1,安全第一
aqgj=1,安全管家
aqgu=1,爱情故事
aqgy=1,爱情公寓
aqhk=1,按期还款
aqik=1,安全出口
aqip=1,爱情长跑
aqiu=1,奥奇传说
aqix=1,安全出行
aqjb=1,安全级别
aqjg=1,爱情价更高
aqji=1,安全检查
aqjl=1,安全距离
aqkk=1,安全可靠
aqmh=1,鞍前马后
aqmm=1,爱情买卖
aqqj=1,安全起见
aqqn=1,安全气囊
aqrm=1,爱钱如命
aqtu=1,安全提示
aqtw=1,暗区突围
aqub=1,安全设备
aqug=1,安全事故
aqug=2,安全施工
aqui=1,安全生产
aqum=1,安全声明
aquu=1,安全设施
aquy=1,安全使用
aqvl=1,安全着陆
aqvx=1,安全中心
aqwu=1,安全卫士
aqxu=1,安全系数
aqyh=1,安全隐患
aqys=1,安全因素
aqyu=1,安全意识
aqyu=2,安全运输
aqyx=1,安全有效
ariu=1,爱如潮水
arji=1,爱如己出
arli=1,黯然离场
arlx=1,黯然泪下
arpu=1,安如磐石
arrg=1,安然如故
arrj=1,爱人如己
arrm=1,安然入眠
arru=1,安然入睡
artl=1,傲然挺立
artu=1,安如泰山
arus=1,黯然失色
aruu=1,黯然神伤
aruu=2,黯然伤神
arvb=1,爱如珍宝
arwu=1,安然无事
arwy=1,安然无恙
arxh=1,黯然销魂
aryd=1,爱人以德
aryd=2,矮人一等
aryl=1,傲然屹立
arzd=1,昂然自得
arzr=1,安然自若
asam=1,艾斯爱慕
asbj=1,阿塞拜疆
asey=1,埃塞俄比亚
asir=1,阿sir
asjm=1,爱斯基摩
asjr=1,爱斯基摩人
askj=1,奥斯卡金像奖
asmg=1,奥斯曼帝国
asmr=1,ASMR
aspl=1,阿司匹林
asqb=1,暗送秋波
astl=1,阿斯特拉
aswx=1,奥斯维辛
asyg=1,安塞腰鼓
atbp=1,凹凸不平
atli=1,AT力场
atly=1,AT领域
atqt=1,艾特全体
atsj=1,按图索骥
attx=1,昂头挺胸
atvf=1,奥特之父
atvm=1,奥特之母
atvq=1,安土重迁
atvw=1,奥特之王
atvx=1,奥体中心
atyj=1,哀痛欲绝
atyv=1,凹凸有致
auaj=1,碍手碍脚
auax=1,爱说爱笑
aubf=1,安守本分
aubn=1,安神补脑
aubu=1,爱说不说
aubu=2,爱睡不睡
audj=1,安神定惊
audp=1,安神定魄
audv=1,安神定志
aukb=1,昂首阔步
aulm=1,安身立命
aulw=1,奥沙利文
aumr=1,奥数魔刃
aunw=1,爱是你我
auny=1,爱沙尼亚
auqi=1,按时起床
auqs=1,暗生情愫
auqx=1,傲视群雄
auri=1,安适如常
aurz=1,安生日子
autl=1,昂首挺立
autq=1,唉声叹气
autx=1,昂首挺胸
auvd=1,安身之地
auvi=1,安身之处
auvl=1,安史之乱
auvs=1,安身之所
auwi=1,按时完成
auwt=1,昂首望天
auyg=1,爱是一道光
auyl=1,昂首屹立
avaq=1,阿珍爱上了阿强
avdi=1,暗中调查
avdw=1,安装到位
avdw=2,螯肢动物
avew=1,安枕而卧
avff=1,安知非福
avgd=1,按照规定
avgi=1,暗中观察
avgi=2,安装过程
avgl=1,按照惯例
avhv=1,癌症患者
avhv=2,AV画质
avit=1,按照传统
avix=1,安装程序
avjh=1,按照计划
avji=1,安装教程
avml=1,安装目录
avms=1,暗中摸索
avny=1,AV女优
avny=2,AV男优
avpb=1,安卓平板
avpo=1,暗中盘算
avrj=1,安装软件
avrj=2,安卓软件
avrs=1,安之若素
avsj=1,暗中算计
avuj=1,安卓手机
avwj=1,安装文件
avwq=1,癌症晚期
avwy=1,安枕无忧
avxt=1,安卓系统
avxv=1,暗中相助
avzg=1,暗中作梗
awdg=1,阿瓦达啃大瓜
awdm=1,阿瓦达索命
awhf=1,安危祸福
awjw=1,爱屋及乌
awlg=1,阿伟乱葬岗
awln=1,安危冷暖
awsa=1,爱我所爱
awsl=1,啊我死了
awsl=2,阿伟死了
awtr=1,暗无天日
awvh=1,爱我中华
awxy=1,安危相易
awyg=1,安危与共
awyx=1,安慰一下
axbb=1,按下不表
axbx=1,爱信不信
axcz=1,暗箱操作
axdg=1,奥匈帝国
axdv=1,安心定志
axdv=2,按需定制
axfl=1,熬心费力
axfp=1,按需分配
axgw=1,爱惜公物
axgz=1,安心工作
axhp=1,按下葫芦起来瓢
axhp=2,按下葫芦浮起瓢
axjk=1,爱心捐款
axjl=1,爱新觉罗
axjx=1,暗下决心
axkm=1,按下快门
axly=1,安心乐意
axrc=1,爱惜人才
axtn=1,安享天年
axum=1,爱惜生命
axuy=1,暗香疏影
axvx=1,爱心助学
axwn=1,安享晚年
axxl=1,安下心来
axxz=1,按需选择
axym=1,爱惜羽毛
axys=1,锕系元素
axzd=1,安闲自得
axzj=1,爱惜自己
axzz=1,安闲自在
aybm=1,昂扬不灭
aybo=1,哎哟，不错哦
ayfi=1,阿谀奉承
ayfy=1,阿谀逢迎
aygj=1,奥运冠军
aygr=1,爱一个人
ayje=1,奥运健儿
ayjl=1,暗夜精灵
ayju=1,奥运精神
aymy=1,哎呀妈呀
aymy=2,唉呀妈呀
aymz=1,碍于面子
ayqm=1,碍于情面
aysh=1,遨游四海
ayst=1,爱因斯坦
ayuj=1,遨游世界
ayvf=1,按月支付
ayvv=1,安营扎寨
aywl=1,安有完卵
aywq=1,哎呦我去
ayxl=1,阿姨洗铁路
ayxu=1,昂扬向上
ayxv=1,安于现状
ayyy=1,俺也一样
ayyy=2,安于一隅
ayyy=3,阿姨压一压
azbd=1,艾滋病毒
azbk=1,肮脏不堪
azbr=1,艾滋病人
azdy=1,暗自得意
azfm=1,爱憎分明
azjd=1,爱走极端
azkx=1,矮子看戏
azlb=1,按资论辈
azlj=1,矮子里拔将军
azpb=1,按资排辈
azpc=1,腌臜泼才
azqx=1,暗自庆幸
azsl=1,暗自思量
aztk=1,阿兹特克
azuu=1,暗自神伤
azzd=1,爱咋咋地
azzd=2,爱咋咋的
baae=1,吧！”
baba=1,爸爸
baba=2,粑粑
babc=1,八宝
babd=1,八百
babi=1,芭比
babi=2,罢笔
babk=1,把柄
babk=2,罢兵
babn=1,靶标
bacc=1,拔草
bacd=1,把菜
bacg=1,八层
bacy=1,八寸
bada=1,八大
bada=3,吧嗒
badc=1,霸道
badc=2,拔刀
badh=1,报案电话
badk=1,坝顶
badm=1,八点
badm=2,靶点
badn=1,拔掉
badn=2,拔屌
bado=1,把舵
badr=1,八段
badu=1,八度
badv=2,保安队长
bady=1,巴顿
badz=1,巴豆
badz=2,八斗
bael=1,北爱尔兰
baff=1,八分
baff=2,八份
bafg=1,把风
bafh=1,八方
bagc=1,拔高
bage=1,八个
bage=2,八哥
bagk=1,八怪
bagl=1,扒光
bagl=2,拔光
bagr=1,把关
bagr=2,罢官
bagr=3,拔罐
bags=1,罢工
bagu=1,八股
bagx=1,八卦
bagx=2,乾坤震巽坎离艮兑
bahc=1,八号
bahc=2,把好
bahe=1,拔河
bahe=2,巴赫
bahf=1,疤痕
bahl=1,八荒
bahu=1,跋扈
bahv=1,扒灰
bahx=1,不安好心
baidu=1,www.baidu.com
baie=1,扒车
baie=2,把车
baig=1,八成
baih=1,靶场
baii=1,把持
bail=1,不按常理
baip=1,不按常理出牌
bair=1,不爱吃肉
baiu=1,拔出
baiu=2,拔除
bajb=1,巴金
baji=1,吧唧
baji=2,八级
bajm=1,拔尖
bajm=2,拔剑
bajn=1,芭蕉
bajn=2,八角
bajp=1,巴结
bajp=2,八戒
bajq=1,八九
bajq=2,把酒
bajr=1,不爱江山爱美人
bakc=1,罢考
bakd=1,扒开
bake=1,罢课
baks=1,把控
bala=1,扒拉
bala=2,巴拉
balb=1,巴林
bale=1,罢了
bali=1,巴黎
balk=1,霸凌
ball=2,拔凉
balq=1,八六
balu=1,八路
balw=1,芭蕾
balz=2,八楼
balz=3,笆篓
bama=1,爸妈
bamc=1,拔毛
bamc=2,拔锚
bamd=1,把脉
bamf=1,把门
bamf=2,八门
bamj=1,霸蛮
bamm=1,罢免
bamm=2,八面
bamw=1,把妹
bani=1,把你
banm=1,八年
bann=1,把尿
banv=1,吧女
bapb=1,八品
bapb=2,被安排得明明白白
bapi=1,扒皮
bapo=1,八婆
baqi=1,霸气
baqi=2,八旗
baql=1,拔枪
baqm=1,八千
baqn=1,灞桥
baqp=1,扒窃
baqr=1,霸权
baqu=1,拔取
baqw=1,不安其位
baqy=1,拔群
barf=1,巴人
bari=1,八日
bary=1,办案人员
basa=1,巴萨
basd=1,罢赛
base=1,吧……”
basi=1,拔丝
basj=1,把伞
basv=1,八岁
batd=1,吧台
bati=1,霸体
batl=2,不按套路
batm=1,八天
batm=2,霸天
batp=1,巴铁
batp=2,不按套路出牌
batv=1,拔腿
batz=1,把头
baue=1,跋涉
bauf=1,八神
bauh=1,坝上
bauh=2,不爱说话
baui=1,八十
baui=2,巴士
baui=3,罢市
bauj=1,巴山
bauu=1,巴蜀
bauu=2,不谙世事
baux=1,不按顺序
bauz=1,把手
bauz=2,把守
bave=1,八折
bavf=1,八珍
bavh=1,巴掌
bavi=1,罢职
bavj=1,霸占
bavj=2,把盏
bavo=1,拔擢
bavs=1,巴中
bavu=1,霸主
bavz=1,霸州
bawe=1,吧？”
bawf=1,把稳
bawh=1,霸王
bawj=1,把玩
bawj=2,八万
bawo=1,把握
bawu=1,吧务
baxb=1,靶心
baxb=2,把心
baxi=1,巴西
baxi=2,把戏
baxl=1,靶向
baxm=1,八仙
baxq=1,罢休
baxv=1,不安现状
baxx=1,拔下
baxy=1,八旬
baya=1,拔牙
baye=1,霸业
bayi=1,八一
bayi=2,巴以
bayj=1,巴彦
bayk=1,拔营
bayt=1,八月
bayu=1,鲅鱼
bayz=1,吧友
bazi=1,靶子
bazi=2,八字
bbbb=1,彬彬
bbbc=1,宝贝不错
bbbd=1,不比不知道
bbbh=1,版本编号
bbbi=1,辨别不出
bbbj=1,步步逼近
bbbj=2,表白被拒
bbbk=1,不卑不亢
bbbk=2,斑驳不堪
bbbl=1,半表半里
bbbm=1,报不报名
bbbq=1,百病不侵
bbbu=1,宝宝巴士
bbbx=1,不悲不喜
bbby=1,褒贬不一
bbby=2,包不包邮
bbcb=1,褒贬参半
bbcu=1,百弊丛生
bbcz=1,并不存在
bbda=1,版本答案
bbdb=1,并不代表
bbdd=1,变被动为主动
