问题ID	原文摘录	状态	目标码表	格式	操作	原编码	原字词	新编码	新字词	目标候选位	备注	处理时间	处理结果	修改前SHA256	修改后SHA256
P0005-03	同上	已修复	releases/v0.8.5/01_正式码表/夜莺0.8.5字词表.txt	纯表	改码	xiao	羲	xiio	羲	1	新码为空码；兮保留xiao；曦、爔首末根不变，无需改码	2026-08-31T00:18:21+10:00	羲: xiao -> xiio	b455abcbb18acca18741b44a8953c5ae03ee38c1a72dad4fafaa842cd250f536	cd64921af6fb298aba6701e9a2f7f6373cdb7ca034a36ce08b4587f8cb58265c
P0006-01	4，关于惠，可以考虑加一个容错码，拆十，现在这个是拆的一，惠，如果拆十，可以是hvpc，放在首选，原来的隳放在次选	已修复	releases/v0.8.5/01_正式码表/夜莺码v0.8.5单字版.txt	纯表	插入	hvpc	隳、䧥	hvpc	惠、隳、䧥	1	保留自然码hvn、hvnc；登记G8C12-U015	2026-08-31T02:15:41+10:00	hvpc: 隳、䧥 -> 惠、隳、䧥	ddb3b1040cd28f049cdf8021e7809b35d856b4633889f88eccd8575dc2a8617e	635586fec0bc832c6a3ee1a3be31720b9737626a88cc086c587be875f024cee4
P0006-02	同上	已修复	releases/v0.8.5/01_正式码表/夜莺0.8.5字词表.txt	纯表	插入	hvpc	隳、䧥	hvpc	惠、隳、䧥	1	保留自然码hvn、hvnc；登记G8C12-U015	2026-08-31T02:15:41+10:00	hvpc: 隳、䧥 -> 惠、隳、䧥	cd64921af6fb298aba6701e9a2f7f6373cdb7ca034a36ce08b4587f8cb58265c	88c72ed5cc56d705da6546962e9ff88a6fde1b688b416f7cc4ee77c062678a2a
P0007-01	5，关于模，个人常用摸字，摸的码是mol，手感差，可以考虑mo上二简，模退回moo	已修复	releases/v0.8.5/01_正式码表/夜莺码v0.8.5单字版.txt	纯表	换位	mo / mol	模 / 摸	mo / moo	摸 / 模	1	保留摸全码molt、模全码moot；登记G8C12-C012	2026-08-31T02:15:41+10:00	mo: 模 -> 摸；mol: 摸 -> 空；moo: 空 -> 模	ddb3b1040cd28f049cdf8021e7809b35d856b4633889f88eccd8575dc2a8617e	635586fec0bc832c6a3ee1a3be31720b9737626a88cc086c587be875f024cee4
P0007-02	同上	已修复	releases/v0.8.5/01_正式码表/夜莺0.8.5字词表.txt	纯表	换位	mo / mol	模 / 摸	mo / moo	摸 / 模	1	保留摸全码molt、模全码moot；登记G8C12-C012	2026-08-31T02:15:41+10:00	mo: 模 -> 摸；mol: 摸 -> 空；moo: 空 -> 模	cd64921af6fb298aba6701e9a2f7f6373cdb7ca034a36ce08b4587f8cb58265c	88c72ed5cc56d705da6546962e9ff88a6fde1b688b416f7cc4ee77c062678a2a
P0006-03	同P0006	已修复	releases/v0.8.5/01_正式码表/夜莺码v0.8.5扩展字表.tsv	TSV	移位	hvpc	䧥,2	hvpc	䧥,3	3	扩展字排在新增惠和既有隳之后，确保隳保持次选	2026-08-31T02:15:41+10:00	䧥: hvpc,2 -> hvpc,3	36401118fa3918698661addf1b6945def9b2abeb97f66d883b160d26648974cb	5390356d8462b41f455c828cfc46af8093dff5b8ceb9df36d18f36be29475833
P0008-01	6，辣，疑似拆分错误，我们有一个辛根，但是辣拆的是laa，拆的立。而不是辛，怀疑是因为那个辣拐弯了，没有识别到	已修复	work/重开工程/01_根集/根集_待完整性复核.yaml	YAML	新增附属根	辛	辡	辛	辡、辛旁		Chai实际已识别U+E0C9“辛旁”；不重跑整套拆分和码表	2026-08-31T02:25:05+10:00	辛旁登记为辛的附属根	25c8fb9b26e06a06bcaaa2b1cfb2f361c02b5d74013029b4b7111e154c1e4198	2e4892647a94c94732044542ec10da6ae6cdf8a9a0c70bc815dab6003ad067e1
P0008-02	同上	已修复	work/重开工程/02_规范拆分/最终规范拆分表_待核验.tsv	TSV	改拆		辣=立＋左字框＋束		辣=辛旁＋束		首根宿主由立改为辛，末根仍为束；本次手工同步，未来由新增附属根自然生成	2026-08-31T02:25:05+10:00	辣拆分及首根已修正	f3e18641821783f2c40a0d48b353146c5f77abffb5a26b6f15e7fa24686da1b5	9c4db5f9582e492c887332a0a24d755a94fe64d8f6aba3b4e6229af2e80d78bd
P0008-03	同上	已修复	releases/v0.8.5/01_正式码表/夜莺码v0.8.5单字版.txt	纯表	改码	laa / laap / las	辣 / 辣 / 瘌	las / lasp / lass	辣 / 辣 / 瘌	1	邋保留laap；登记G8C12-C013	2026-08-31T02:25:05+10:00	辣laa,laap -> las,lasp；瘌las -> lass	635586fec0bc832c6a3ee1a3be31720b9737626a88cc086c587be875f024cee4	62ce693188a9f65094f90b8126722b47e6d5130e12826abfd772c3916388e429
P0008-04	同上	已修复	releases/v0.8.5/01_正式码表/夜莺0.8.5字词表.txt	纯表	改码	laa / laap / las	辣 / 辣 / 瘌	las / lasp / lass	辣 / 辣 / 瘌	1	邋保留laap；登记G8C12-C013	2026-08-31T02:25:05+10:00	辣laa,laap -> las,lasp；瘌las -> lass	88c72ed5cc56d705da6546962e9ff88a6fde1b688b416f7cc4ee77c062678a2a	681b2d2136949366517dbc7ad26d8cb43b575d7fc7e25e6e074b580be4481f8f
P0009-01	7，关于行这个音，xk是性，xkk是行，显然这个行更加高频。性可以退回xkc，原本的xkc上的惺可以退回xkcw的首选	已修复	releases/v0.8.5/01_正式码表/夜莺码v0.8.5单字版.txt	纯表	换位	xk / xkc / xkk / xkcw	性 / 惺 / 行 / 性、惺	xk / xkc / xkcw / xkkk	行 / 性 / 惺、性 / 行	1	撤销行旧三码xkk，保留全码xkkk；登记G8C12-C014	2026-08-31T17:53:37+10:00	行升xk；性退xkc；惺退xkcw首选，性全码次选	62ce693188a9f65094f90b8126722b47e6d5130e12826abfd772c3916388e429	5d8505dcd24422996a61a9a56139f2a3f6bea339e331a4136057bfdf6f33a5a4
P0009-02	同上	已修复	releases/v0.8.5/01_正式码表/夜莺0.8.5字词表.txt	纯表	换位	xk / xkc / xkk / xkcw	性 / 惺 / 行 / 性、惺	xk / xkc / xkcw / xkkk	行 / 性 / 惺、性 / 行	1	辛苦、彳亍、夏枯草候选位不变；先看看因xkk腾空前移	2026-08-31T17:53:37+10:00	主表同步行性惺简码链	bbe1c39597bd61532be7d24a018ecaeede9f6ae563dd6a06820b018dd9f50f72	645fbba53b477b480f61d900bed22ff2c722d896cd5798b5950c96fde3b5425a
P0009-03	同上	已修复	releases/v0.8.5/01_正式码表/夜莺码v0.8.5简词表.tsv	TSV	移位	xkk	先看看,2	xkk	先看看,1	1	行撤出xkk后填补空位	2026-08-31T17:53:37+10:00	先看看 xkk,2 -> xkk,1	262dd01c4cf9126c8d7a30a6849044faec70ec27430a40b69f16668d19848f9d	3126d2ec5a4833221da5db3822a8365052572ee55f8a29268222758162fc6e73
P0010-01	8，删除了yu的一生，一声两个简词，因为同为yu的于是和也是同样高频	已修复	releases/v0.8.5/01_正式码表/夜莺码v0.8.5简词表.tsv	TSV	删除	yu	一声,2；一生,3	yu	也是,2；于是,3	2	删除一声、一生；也是、于是依次前移	2026-08-31T17:53:37+10:00	yu简词由一声、一生、也是、于是改为也是、于是	262dd01c4cf9126c8d7a30a6849044faec70ec27430a40b69f16668d19848f9d	3126d2ec5a4833221da5db3822a8365052572ee55f8a29268222758162fc6e73
P0010-02	同上	已修复	releases/v0.8.5/01_正式码表/夜莺0.8.5字词表.txt	纯表	删除	yu	一声、一生、也是、于是	yu	也是、于是	2	与保持首选；也是、于是前移为二、三选	2026-08-31T17:53:37+10:00	yu：与、也是、于是	bbe1c39597bd61532be7d24a018ecaeede9f6ae563dd6a06820b018dd9f50f72	645fbba53b477b480f61d900bed22ff2c722d896cd5798b5950c96fde3b5425a
P0011-01	9，呒增加容错全码wuhg，原自然码mmh、mmhg保留	已修复	releases/v0.8.5/01_正式码表/夜莺码v0.8.5单字版.txt	纯表	新增	mmh / mmhg	呒	wuhg	呒	1	wuhg原为空码；保留原读音m的自然码；登记G8C12-U016	2026-08-31T22:32:05+10:00	新增wuhg,1=呒	5d8505dcd24422996a61a9a56139f2a3f6bea339e331a4136057bfdf6f33a5a4	137c7597b7a7c0940d6c6c6de73060e1e128d5fa35fc9d73c22bd06186badb34
P0011-02	同上	已修复	releases/v0.8.5/01_正式码表/夜莺0.8.5字词表.txt	纯表	新增	mmh / mmhg	呒	wuhg	呒	1	wuhg原为空码，无字词需要让位；派生挂接表已重建	2026-08-31T22:32:05+10:00	新增wuhg,1=呒	645fbba53b477b480f61d900bed22ff2c722d896cd5798b5950c96fde3b5425a	b576b298906f6a3220a9b200a9f946b526af6a4bf8ed3afa07a2df26c51cbee7
P0011-03	同上	已修复	work/夜莺0.85/04_G8C12人工裁决/无理码表.tsv	TSV	新增裁决	mmh / mmhg	呒	wuhg	呒	1	按“呒”从“无”的字形直觉增加wu音码容错；编号G8C12-U016	2026-08-31T22:32:05+10:00	登记并实装G8C12-U016	ec79a081a945d1aa477ba524a15523da487da6199d4fcec5ed0c51cc69e906cc	577ce6fb70bc1bd3af31fc6edcbfc2fe9b9dbc47332037e64a25eeb6ba08b58e
P0011-04	同上	已修复	releases/v0.8.5/01_正式码表/夜莺码v0.8.5无理码表.tsv	TSV	新增裁决	mmh / mmhg	呒	wuhg	呒	1	发布副本同步G8C12-U016	2026-08-31T22:32:05+10:00	发布无理码表已同步	ec79a081a945d1aa477ba524a15523da487da6199d4fcec5ed0c51cc69e906cc	577ce6fb70bc1bd3af31fc6edcbfc2fe9b9dbc47332037e64a25eeb6ba08b58e
P0012-01	10，黄的末尾应拆八而不是㐅；整族统一修正。hlma按皇马、蟥、黄妈、黄麻、黄排列，扩展字最后	已修复	work/重开工程/02_规范拆分/最终规范拆分表_待核验.tsv	TSV	整族改拆	㐅 / 交	黄部件末尾	八 / 八	核心9字		黄及横、潢、璜、癀、簧、蟥、黉、𨱑统一修正；黇末根仍为口	2026-09-01T15:28:12+10:00	核心黄家族末根交改八	9c4db5f9582e492c887332a0a24d755a94fe64d8f6aba3b4e6229af2e80d78bd	c8b3b4a011b3bb3ad1bc862267f75589cf5a0bda705746b6fd1a12ee4dc91c8c
P0012-02	同上	已修复	work/夜莺0.85/10_扩展字Chai实验/20260830_034806+1000/扩展字规范拆分_候选.tsv	TSV	整族改拆	㐅 / 交	黄部件末尾	八 / 八	扩展45字		扩展黄家族同步修正，不保留旧结构	2026-09-01T15:28:12+10:00	扩展黄家族末根交改八	f6d60d571fea515d0604ee870e2bccbfcb6de8c5e63136f6c62d6d7a52abb18f	7935a505ed9a975f49afdc3bc9045517fe138b5164fa8e49ca138880c9b51db6
P0012-03	同上	已修复	releases/v0.8.5/01_正式码表/夜莺码v0.8.5单字版.txt	纯表	整族改码	n结尾	核心及扩展黄家族	a结尾	核心及扩展黄家族		简码不变；54个自然全码入口末键n改a；核心字优先于扩展字	2026-09-01T15:28:12+10:00	黄家族全码由交键n迁至八键a	137c7597b7a7c0940d6c6c6de73060e1e128d5fa35fc9d73c22bd06186badb34	cb26feddd320789ccebb67465c49c5e00d3653c607a20602ad58706a8df7c908
P0012-04	同上	已修复	releases/v0.8.5/01_正式码表/夜莺0.8.5字词表.txt	纯表	整族改码与排序	hlmn	蟥、黄、䪄	hlma	皇马、蟥、黄妈、黄麻、黄、黃、䪄	2	蟥按用户裁决让位到第二；黄有二简，完整码排第五；扩展字最后	2026-09-01T15:28:12+10:00	hlma裁决及全族新码位已实装	b576b298906f6a3220a9b200a9f946b526af6a4bf8ed3afa07a2df26c51cbee7	0f83a3f7202088a3c34fd3c0d8c71ef627ae1aa40a0c9514571605a579924e93
P0012-05	同上	已修复	releases/v0.8.5/01_正式码表/夜莺码v0.8.5扩展字表.tsv	TSV	改码与候选位	n结尾	黄家族扩展字	a结尾	黄家族扩展字		仅重算黄家族目标码位；其他扩展字候选位保持不变	2026-09-01T15:28:12+10:00	45个扩展字及同码扩展候选位同步	5390356d8462b41f455c828cfc46af8093dff5b8ceb9df36d18f36be29475833	686e98011de82a86e2906c439c43be619a6dc3e593e78d02206963eb03a80e2f
P0013-01	11，家和加，建议jx放加字，家退回jxi，因为加的三简jxp的手感不好。	已修复	releases/v0.8.5/01_正式码表/夜莺码v0.8.5单字版.txt	纯表	换位	jx / jxp	家 / 加	jx / jxi	加 / 家	1	保留家全码jxie、加全码jxph；加撤出jxp后架由全码jxpo上提	2026-09-01T16:58:01+10:00	加升jx；家退jxi；架升jxp	cb26feddd320789ccebb67465c49c5e00d3653c607a20602ad58706a8df7c908	91bf7ab4571261d5455cb559f0b237478baa49a09d6fbcc75718487b375a5977
P0013-02	同上	已修复	releases/v0.8.5/01_正式码表/夜莺0.8.5字词表.txt	纯表	换位	jx / jxp	家 / 加	jx / jxi / jxp	加 / 家 / 架	1	进行、继续保持jx二三选；机械厂顺延；架取得jxp首位，急需品维持次选	2026-09-01T16:58:01+10:00	jx：加、进行、继续；jxi：家、机械厂；jxp：架、急需品	542a07c1bc4b60b028d98694aebefd707171dbe805f9ee0e556542230868e930	a6a1b4f335c7ebf4aa47e0c1bdd240d0fe12d8d27ed7df40aa177473b9e106fe
P0013-03	同上	已修复	releases/v0.8.5/01_正式码表/夜莺码v0.8.5简词表.tsv	TSV	移位	jxi,1	机械厂	jxi,2	机械厂	2	为家让出jxi首位；jxp由新三码架占首位，急需品维持次选	2026-09-01T16:58:01+10:00	机械厂1→2；急需品维持jxp次选	3126d2ec5a4833221da5db3822a8365052572ee55f8a29268222758162fc6e73	9024806d20f6333a94a99b5cf74871d25e68b4886779b2746be0f0e3cf8edbee
P0014-01	12，同理，tv的码可以给退，原本tv上的推可以给tvl。	已修复	releases/v0.8.5/01_正式码表/夜莺码v0.8.5单字版.txt	纯表	换位	tv / tvc	推 / 退	tv / tvl	退 / 推	1	保留退全码tvcp、推全码tvlg；撤销退旧三码tvc	2026-09-01T16:58:01+10:00	退升tv；推退tvl；tvc腾空	cb26feddd320789ccebb67465c49c5e00d3653c607a20602ad58706a8df7c908	91bf7ab4571261d5455cb559f0b237478baa49a09d6fbcc75718487b375a5977
P0014-02	同上	已修复	releases/v0.8.5/01_正式码表/夜莺0.8.5字词表.txt	纯表	换位	tv / tvc	推 / 退	tv / tvl	退 / 推	1	调整、听着保持tv二三选；tvl三词顺延；特征词前移	2026-09-01T16:58:01+10:00	tv：退、调整、听着；tvl：推、停止了、腆着脸、偷着乐；tvc：特征词	542a07c1bc4b60b028d98694aebefd707171dbe805f9ee0e556542230868e930	a6a1b4f335c7ebf4aa47e0c1bdd240d0fe12d8d27ed7df40aa177473b9e106fe
P0014-03	同上	已修复	releases/v0.8.5/01_正式码表/夜莺码v0.8.5简词表.tsv	TSV	移位	tvc,2 / tvl,1—3	特征词 / 停止了、腆着脸、偷着乐	tvc,1 / tvl,2—4	特征词 / 停止了、腆着脸、偷着乐		为推让出tvl首位，并填补tvc空位	2026-09-01T16:58:01+10:00	特征词2→1；tvl三词整体后移一位	3126d2ec5a4833221da5db3822a8365052572ee55f8a29268222758162fc6e73	9024806d20f6333a94a99b5cf74871d25e68b4886779b2746be0f0e3cf8edbee
P0015-01	13，涅和捏，个人认为，np这个二简可以给捏，涅退回到npb比较好。	已修复	releases/v0.8.5/01_正式码表/夜莺码v0.8.5单字版.txt	纯表	改码	np	涅	npb	涅	1	涅退回三码；保留全码npbt	2026-09-01T20:58:39+10:00	np,1=涅 -> npb,1=涅	91bf7ab4571261d5455cb559f0b237478baa49a09d6fbcc75718487b375a5977	f20de35a656ca3282f4abf4e241376dabc24e0654eae7bb8d57341ea8d35e705
P0015-02	同上	已修复	releases/v0.8.5/01_正式码表/夜莺码v0.8.5单字版.txt	纯表	改码	npl	捏	np	捏	1	捏升二简；保留全码nplt	2026-09-01T20:58:39+10:00	npl,1=捏 -> np,1=捏	91bf7ab4571261d5455cb559f0b237478baa49a09d6fbcc75718487b375a5977	f20de35a656ca3282f4abf4e241376dabc24e0654eae7bb8d57341ea8d35e705
P0015-03	同上	已修复	releases/v0.8.5/01_正式码表/夜莺0.8.5字词表.txt	纯表	改码	np	涅	npb	涅	1	那时候、哪怕保留并顺延；保留涅全码npbt	2026-09-01T20:58:39+10:00	np,1=涅 -> npb,1=涅	a6a1b4f335c7ebf4aa47e0c1bdd240d0fe12d8d27ed7df40aa177473b9e106fe	2cbc5a84926f3b42093becbe94ca425e11ddb37671e1d4a2f33ef5292a6b8d69
P0015-04	同上	已修复	releases/v0.8.5/01_正式码表/夜莺0.8.5字词表.txt	纯表	改码	npl	捏	np	捏	1	捏升二简；拿破仑、鸟嘌呤及全码入口不变	2026-09-01T20:58:39+10:00	npl,1=捏 -> np,1=捏	a6a1b4f335c7ebf4aa47e0c1bdd240d0fe12d8d27ed7df40aa177473b9e106fe	2cbc5a84926f3b42093becbe94ca425e11ddb37671e1d4a2f33ef5292a6b8d69
P0016-01	14，加入“gwni”，作为给你的全码	已修复	releases/v0.8.5/01_正式码表/夜莺0.8.5字词表.txt	纯表	新增			gwni	给你	1	当前为空码；仅加入字词主表	2026-09-01T20:58:39+10:00	新增 gwni,1=给你	a6a1b4f335c7ebf4aa47e0c1bdd240d0fe12d8d27ed7df40aa177473b9e106fe	2cbc5a84926f3b42093becbe94ca425e11ddb37671e1d4a2f33ef5292a6b8d69
P0017-01	13，和xing是彳亍一样，加入一个自定义的码：woc=臣卜木曹	已修复	releases/v0.8.5/01_正式码表/夜莺0.8.5字词表.txt	纯表	新增			woc	臣卜木曹	1	当前为空码；仅加入字词主表	2026-09-01T20:58:39+10:00	新增 woc,1=臣卜木曹	a6a1b4f335c7ebf4aa47e0c1bdd240d0fe12d8d27ed7df40aa177473b9e106fe	2cbc5a84926f3b42093becbe94ca425e11ddb37671e1d4a2f33ef5292a6b8d69
P0018-01	14，给许久这个词加一个简词xj，放在首选，之前的简词依次让位，然后把绪这个字放回来。	已修复	releases/v0.8.5/01_正式码表/夜莺0.8.5字词表.txt	纯表	调序	xj	下降	xj	下降	5	为许久、绪腾出前两位；保留完整码入口	2026-09-01T20:58:39+10:00	xj,3=下降 -> xj,5=下降	a6a1b4f335c7ebf4aa47e0c1bdd240d0fe12d8d27ed7df40aa177473b9e106fe	2cbc5a84926f3b42093becbe94ca425e11ddb37671e1d4a2f33ef5292a6b8d69
P0018-02	同上	已修复	releases/v0.8.5/01_正式码表/夜莺0.8.5字词表.txt	纯表	调序	xj	细节	xj	细节	4	既有简词依次后移	2026-09-01T20:58:39+10:00	xj,2=细节 -> xj,4=细节	a6a1b4f335c7ebf4aa47e0c1bdd240d0fe12d8d27ed7df40aa177473b9e106fe	2cbc5a84926f3b42093becbe94ca425e11ddb37671e1d4a2f33ef5292a6b8d69
P0018-03	同上	已修复	releases/v0.8.5/01_正式码表/夜莺0.8.5字词表.txt	纯表	调序	xj	小姐	xj	小姐	3	既有简词依次后移	2026-09-01T20:58:39+10:00	xj,1=小姐 -> xj,3=小姐	a6a1b4f335c7ebf4aa47e0c1bdd240d0fe12d8d27ed7df40aa177473b9e106fe	2cbc5a84926f3b42093becbe94ca425e11ddb37671e1d4a2f33ef5292a6b8d69
P0018-04	同上	已修复	releases/v0.8.5/01_正式码表/夜莺0.8.5字词表.txt	纯表	新增			xj	绪	2	恢复绪的二码入口；完整码xujq保留	2026-09-01T20:58:39+10:00	新增 xj,2=绪	a6a1b4f335c7ebf4aa47e0c1bdd240d0fe12d8d27ed7df40aa177473b9e106fe	2cbc5a84926f3b42093becbe94ca425e11ddb37671e1d4a2f33ef5292a6b8d69
P0018-05	同上	已修复	releases/v0.8.5/01_正式码表/夜莺0.8.5字词表.txt	纯表	新增			xj	许久	1	许久取得xj首选；完整码xujq保留	2026-09-01T20:58:39+10:00	新增 xj,1=许久	a6a1b4f335c7ebf4aa47e0c1bdd240d0fe12d8d27ed7df40aa177473b9e106fe	2cbc5a84926f3b42093becbe94ca425e11ddb37671e1d4a2f33ef5292a6b8d69
P0019-01	保留新的woc=臣卜木曹，删除旧的wocc=臣卜木曹	已修复	releases/v0.8.5/01_正式码表/夜莺0.8.5字词表.txt	纯表	删除	wocc	臣卜木曹				保留woc简码及ibmc自然首字母入口	2026-09-01T21:04:41+10:00	删除 wocc,1=臣卜木曹	2cbc5a84926f3b42093becbe94ca425e11ddb37671e1d4a2f33ef5292a6b8d69	91fb7d602f7b4fcbe7c732a2d78c10125f4b72333c07d96bca84f10bb8ef918d
