无理码编号	记录时间	字	原实际码	新增码	新增码候选布局	设计方式	状态
G8C12-U009	2026-08-29 21:35 +10:00	虞	yuan	yuas	虞	按规范拆分“卜＋厂＋匕＋口＋天”顺取前两根“卜＋厂”；卜在a键、厂在s键，得到空码yuas。C、二字词D和四字词D中均无同码候选。原自然码yuan保留。	已裁决待下一次统一实装
G8C12-U019	2026-09-06	俐	lifr	lifs	例、俐	保留利根与原码；按禾＋刂增加全码容错，已有候选保首选，多容错按原顺序从次选起；空码位从首选起。	已实装
G8C12-U020	2026-09-06	利	lirr	liws	利、剓	保留利根和原码，增加禾＋刂全码容错；核心字不让扩展字占首选，liwo按裁决梨首选。	已实装
G8C12-U021	2026-09-06	梨	liro	liwo	梨、离我、棃、觻、梨涡	保留利根和原码，增加禾＋刂全码容错；核心字不让扩展字占首选，liwo按裁决梨首选。	已实装
G8C12-U022	2026-09-06	浰	libr	libs	浰	保留利根与原码；按禾＋刂增加全码容错，已有候选保首选，多容错按原顺序从次选起；空码位从首选起。	已实装
G8C12-U023	2026-09-06	浰	lmbr	lmbs	浰	保留利根与原码；按禾＋刂增加全码容错，已有候选保首选，多容错按原顺序从次选起；空码位从首选起。	已实装
G8C12-U024	2026-09-06	犁	lirc	liwc	犁、䵓、悡、犂	保留利根和原码，增加禾＋刂全码容错；核心字不让扩展字占首选，liwo按裁决梨首选。	已实装
G8C12-U025	2026-09-06	猁	livr	livs	猁、脷	保留利根与原码；按禾＋刂增加全码容错，已有候选保首选，多容错按原顺序从次选起；空码位从首选起。	已实装
G8C12-U026	2026-09-06	痢	lisr	liss	痢、刕、㾐	保留利根和原码，增加禾＋刂全码容错；核心字不让扩展字占首选，liwo按裁决梨首选。	已实装
G8C12-U027	2026-09-06	莉	lixr	lixs	莉、茘	保留利根和原码，增加禾＋刂全码容错；核心字不让扩展字占首选，liwo按裁决梨首选。	已实装
G8C12-U028	2026-09-06	蜊	limr	lims	蜊	保留利根与原码；按禾＋刂增加全码容错，已有候选保首选，多容错按原顺序从次选起；空码位从首选起。	已实装
G8C12-U029	2026-09-06	誗	ijdr	ijds	颤动、誗、潺动	保留利根与原码；按禾＋刂增加全码容错，已有候选保首选，多容错按原顺序从次选起；空码位从首选起。	已实装
G8C12-U030	2026-09-06	鋓	ijgr	ijgs	蟾宫、鋓	保留利根与原码；按禾＋刂增加全码容错，已有候选保首选，多容错按原顺序从次选起；空码位从首选起。	已实装
G8C12-U031	2026-09-06	䂰	lajr	lajs	䂰	保留利根与原码；按禾＋刂增加全码容错，已有候选保首选，多容错按原顺序从次选起；空码位从首选起。	已实装
G8C12-U032	2026-09-06	唎	lihr	lihs	唎	保留利根与原码；按禾＋刂增加全码容错，已有候选保首选，多容错按原顺序从次选起；空码位从首选起。	已实装
G8C12-U033	2026-09-06	娳	lizr	lizs	理综、娳、李总	保留利根与原码；按禾＋刂增加全码容错，已有候选保首选，多容错按原顺序从次选起；空码位从首选起。	已实装
G8C12-U034	2026-09-06	筣	lirr	lirs	理容、筣	保留利根与原码；按禾＋刂增加全码容错，已有候选保首选，多容错按原顺序从次选起；空码位从首选起。	已实装
G8C12-U035	2026-09-06	䖽	lirm	liwm	䖿、䖽	保留利根与原码；按禾＋刂增加全码容错，已有候选保首选，多容错按原顺序从次选起；空码位从首选起。	已实装
G8C12-U036	2026-09-06	鋫	lirk	liwk	錅、鋫、穲	保留利根与原码；按禾＋刂增加全码容错，已有候选保首选，多容错按原顺序从次选起；空码位从首选起。	已实装
G8C12-U037	2026-09-06	㴝	lirb	liwb	黎、㴝、䅻	保留利根与原码；按禾＋刂增加全码容错，已有候选保首选，多容错按原顺序从次选起；空码位从首选起。	已实装
G8C12-U038	2026-09-06	悡	lirc	liwc	犁、䵓、悡、犂	保留利根和原码，增加禾＋刂全码容错；核心字不让扩展字占首选，liwo按裁决梨首选。	已实装
G8C12-U039	2026-09-06	䱘	liry	liwy	鯬、䱘、鵹	保留利根与原码；按禾＋刂增加全码容错，已有候选保首选，多容错按原顺序从次选起；空码位从首选起。	已实装
G8C12-U040	2026-09-06	䵩	lirr	liwr	黧、䵩	保留利根与原码；按禾＋刂增加全码容错，已有候选保首选，多容错按原顺序从次选起；空码位从首选起。	已实装
G8C12-U041	2026-09-06	䬆	linr	lins	里弄、䬆、鬁	保留利根与原码；按禾＋刂增加全码容错，已有候选保首选，多容错按原顺序从次选起；空码位从首选起。	已实装
G8C12-U042	2026-09-06	峲	liyr	liys	利用、峲、鯏、峢、剺	保留利根与原码；按禾＋刂增加全码容错，已有候选保首选，多容错按原顺序从次选起；空码位从首选起。	已实装
G8C12-U043	2026-09-06	鬁	linr	lins	里弄、䬆、鬁	保留利根与原码；按禾＋刂增加全码容错，已有候选保首选，多容错按原顺序从次选起；空码位从首选起。	已实装
G8C12-U044	2026-09-06	悧	licr	lics	㤡、悧、䮋	保留利根与原码；按禾＋刂增加全码容错，已有候选保首选，多容错按原顺序从次选起；空码位从首选起。	已实装
G8C12-U045	2026-09-06	鯏	liyr	liys	利用、峲、鯏、峢、剺	保留利根与原码；按禾＋刂增加全码容错，已有候选保首选，多容错按原顺序从次选起；空码位从首选起。	已实装
G8C12-U046	2026-09-06	梸	lior	lios	劙、梸	保留利根与原码；按禾＋刂增加全码容错，已有候选保首选，多容错按原顺序从次选起；空码位从首选起。	已实装
G8C12-U047	2026-09-06	脷	livr	livs	猁、脷	保留利根与原码；按禾＋刂增加全码容错，已有候选保首选，多容错按原顺序从次选起；空码位从首选起。	已实装
G8C12-U048	2026-09-06	琍	ligr	ligs	立功、琍、理工	保留利根与原码；按禾＋刂增加全码容错，已有候选保首选，多容错按原顺序从次选起；空码位从首选起。	已实装
G8C12-U049	2026-09-06	涺	jubd	jubp	涺	保留居根，新增尸＋古全码容错；据除外；居juip、剧juis首选；其余有冲突从次选起，核心字优先于扩展字；原码简码保留。	已实装
G8C12-U050	2026-09-06	居	judd	juip	居、介绍产品	保留居根，新增尸＋古全码容错；据除外；居juip、剧juis首选；其余有冲突从次选起，核心字优先于扩展字；原码简码保留。	已实装
G8C12-U051	2026-09-06	䛯	judd	judp	剧跌、䛯	保留居根，新增尸＋古全码容错；据除外；居juip、剧juis首选；其余有冲突从次选起，核心字优先于扩展字；原码简码保留。	已实装
G8C12-U052	2026-09-06	剧	juds	juis	剧、巨虫	保留居根，新增尸＋古全码容错；据除外；居juip、剧juis首选；其余有冲突从次选起，核心字优先于扩展字；原码简码保留。	已实装
G8C12-U053	2026-09-06	鶋	judy	juiy	积水成渊、鶋	保留居根，新增尸＋古全码容错；据除外；居juip、剧juis首选；其余有冲突从次选起，核心字优先于扩展字；原码简码保留。	已实装
G8C12-U054	2026-09-06	艍	jued	juep	艍	保留居根，新增尸＋古全码容错；据除外；居juip、剧juis首选；其余有冲突从次选起，核心字优先于扩展字；原码简码保留。	已实装
G8C12-U055	2026-09-06	倨	jufd	jufp	倨	保留居根，新增尸＋古全码容错；据除外；居juip、剧juis首选；其余有冲突从次选起，核心字优先于扩展字；原码简码保留。	已实装
G8C12-U056	2026-09-06	琚	jugd	jugp	琚、鋸	保留居根，新增尸＋古全码容错；据除外；居juip、剧juis首选；其余有冲突从次选起，核心字优先于扩展字；原码简码保留。	已实装
G8C12-U057	2026-09-06	鋸	jugd	jugp	琚、鋸	保留居根，新增尸＋古全码容错；据除外；居juip、剧juis首选；其余有冲突从次选起，核心字优先于扩展字；原码简码保留。	已实装
G8C12-U058	2026-09-06	啹	juhd	juhp	啹	保留居根，新增尸＋古全码容错；据除外；居juip、剧juis首选；其余有冲突从次选起，核心字优先于扩展字；原码简码保留。	已实装
G8C12-U059	2026-09-06	锯	jukd	jukp	锯	保留居根，新增尸＋古全码容错；据除外；居juip、剧juis首选；其余有冲突从次选起，核心字优先于扩展字；原码简码保留。	已实装
G8C12-U060	2026-09-06	蜛	jumd	jump	俱灭、蜛	保留居根，新增尸＋古全码容错；据除外；居juip、剧juis首选；其余有冲突从次选起，核心字优先于扩展字；原码简码保留。	已实装
G8C12-U061	2026-09-06	椐	juod	juop	椐	保留居根，新增尸＋古全码容错；据除外；居juip、剧juis首选；其余有冲突从次选起，核心字优先于扩展字；原码简码保留。	已实装
G8C12-U062	2026-09-06	䝻	juqd	juqp	郹、䝻、锯切、具且	保留居根，新增尸＋古全码容错；据除外；居juip、剧juis首选；其余有冲突从次选起，核心字优先于扩展字；原码简码保留。	已实装
G8C12-U063	2026-09-06	裾	juud	juup	技术水平、裾	保留居根，新增尸＋古全码容错；据除外；居juip、剧juis首选；其余有冲突从次选起，核心字优先于扩展字；原码简码保留。	已实装
G8C12-U064	2026-09-06	腒	juvd	juvp	腒	保留居根，新增尸＋古全码容错；据除外；居juip、剧juis首选；其余有冲突从次选起，核心字优先于扩展字；原码简码保留。	已实装
G8C12-U065	2026-09-06	䅕	juwd	juwp	邭、䅕、䵕、䢹	保留居根，新增尸＋古全码容错；据除外；居juip、剧juis首选；其余有冲突从次选起，核心字优先于扩展字；原码简码保留。	已实装
G8C12-U066	2026-09-06	䵕	juwd	juwp	邭、䅕、䵕、䢹	保留居根，新增尸＋古全码容错；据除外；居juip、剧juis首选；其余有冲突从次选起，核心字优先于扩展字；原码简码保留。	已实装
G8C12-U067	2026-09-06	崌	juyd	juyp	计生用品、崌、䱟、精神药品	保留居根，新增尸＋古全码容错；据除外；居juip、剧juis首选；其余有冲突从次选起，核心字优先于扩展字；原码简码保留。	已实装
G8C12-U068	2026-09-06	䱟	juyd	juyp	计生用品、崌、䱟、精神药品	保留居根，新增尸＋古全码容错；据除外；居juip、剧juis首选；其余有冲突从次选起，核心字优先于扩展字；原码简码保留。	已实装
G8C12-U069	2026-09-06	踞	juzd	juzp	踞、婮	保留居根，新增尸＋古全码容错；据除外；居juip、剧juis首选；其余有冲突从次选起，核心字优先于扩展字；原码简码保留。	已实装
G8C12-U070	2026-09-06	婮	juzd	juzp	踞、婮	保留居根，新增尸＋古全码容错；据除外；居juip、剧juis首选；其余有冲突从次选起，核心字优先于扩展字；原码简码保留。	已实装
G8C12-U071	2026-09-06	䋧	qujd	qujp	曲解、䋧、去接	保留居根，新增尸＋古全码容错；据除外；居juip、剧juis首选；其余有冲突从次选起，核心字优先于扩展字；原码简码保留。	已实装
