坚定不移	jdby
背道而驰	bdei
难以置信	nyvx
拳打脚踢	qdjt
一帆风顺	yffu
掉以轻心	dyqx
畅所欲言	isyy
习以为常	xywi
漏洞百出	ldbi
年久失修	njux
出乎意料	ihyl
一脉相承	ymxi
毫不动摇	hbdy
当之无愧	dvwk
肆无忌惮	swjd
寥寥无几	llwj
顺藤摸瓜	utmg
助人为乐	vrwl
欢聚一堂	hjyt
泪流满面	llmm
接踵而至	jvev
直言不讳	vybh
义无反顾	ywfg
力不从心	lbcx
遍地开花	bdkh
慕名而来	mmel
纷至沓来	fvtl
兴致勃勃	xvbb
家常便饭	jibf
措手不及	cubj
心急如焚	xjrf
一席之地	yxvd
栩栩如生	xxru
眼花缭乱	yhll
雪中送炭	xvst
得不偿失	dbiu
安然无恙	arwy
深入浅出	urqi
捉襟见肘	vjjv
自始至终	zuvv
拒之门外	jvmw
望而却步	weqb
默默无闻	mmww
顺理成章	uliv
难能可贵	nnkg
来龙去脉	llqm
不谋而合	bmeh
清清楚楚	qqii
如出一辙	riyv
提心吊胆	txdd
徇私舞弊	xswb
一无所知	ywsv
锲而不舍	qebu
别有用心	byyx
大打出手	ddiu
同舟共济	tvgj
雨后春笋	yhis
兢兢业业	jjyy
泣不成声	qbiu
无人问津	wrwj
应有尽有	yyjy
引以为戒	yywj
异军突起	yjtq
通俗易懂	tsyd
波澜壮阔	blvk
无可奈何	wknh
归根到底	ggdd
品学兼优	pxjy
司空见惯	skjg
推波助澜	tbvl
微乎其微	whqw
相提并论	xtbl
束手无策	uuwc
信以为真	xywv
死灰复燃	shfr
苦不堪言	kbky
争分夺秒	vfdm
集思广益	jsgy
蛮不讲理	mbjl
自力更生	zlgu
有的放矢	ydfu
严阵以待	yvyd
建功立业	jgly
人山人海	rurh
溃不成军	kbij
国计民生	gjmu
年事已高	nuyg
绿水青山	luqu
半壁江山	bbju
求同存异	qtcy
蛛丝马迹	vsmj
鱼龙混杂	ylhz
扑朔迷离	puml
熙熙攘攘	xxrr
一技之长	yjvi
大江南北	djnb
屈指可数	qvku
交相辉映	jxhy
公之于众	gzyz
絮絮叨叨	xxdd
一拍即合	ypjh
一丝不苟	ysbg
相依为命	xywm
微不足道	wbzd
大有作为	dyzw
良莠不齐	lybq
令人瞩目	lrvm
迎刃而解	yrej
从天而降	ctej
不合时宜	bhuy
现身说法	xuuf
受益匪浅	uyfq
新陈代谢	xidx
声势浩大	uuhd
高高在上	ggzu
合情合理	hqhl
量力而行	llex
不切实际	bquj
针锋相对	vfxd
责无旁贷	zwpd
高瞻远瞩	gvyv
千千万万	qqww
明目张胆	mmvd
连锁反应	lsfy
适得其反	udqf
摇身一变	yuyb
跃跃欲试	yyyu
聚精会神	jjhu
杯水车薪	buix
承前启后	iqqh
一网打尽	ywdj
开花结果	khjg
慷慨解囊	kkjn
素不相识	sbxu
长此以往	icyw
无可争辩	wkvb
格格不入	ggbr
蔚然成风	wrif
生机勃勃	ujbb
吃苦耐劳	iknl
昏迷不醒	hmbx
金字招牌	jzvp
大相径庭	dxjt
堂而皇之	tehv
如数家珍	rujv
更新换代	gxhd
争先恐后	vxkh
浓墨重彩	nmvc
大刀阔斧	ddkf
惊慌失措	jhuc
所剩无几	suwj
高官厚禄	gghl
一心一意	yxyy
井然有序	jryx
一波三折	ybsv
形迹可疑	xjky
炙手可热	vukr
身临其境	ulqj
二话不说	ehbu
流连忘返	llwf
热泪盈眶	rlyk
销声匿迹	xunj
打击报复	djbf
尽心尽力	jxjl
一以贯之	yygv
恍然大悟	hrdw
置之不理	vvbl
轻而易举	qeyj
人来人往	rlrw
青山绿水	qulu
齐头并进	qtbj
一筹莫展	yimv
百花齐放	bhqf
各执一词	gvyc
志同道合	vtdh
绞尽脑汁	jjnv
首屈一指	uqyv
水到渠成	udqi
物美价廉	wmjl
众说纷纭	vufy
各自为政	gzwv
语重心长	yvxi
德才兼备	dcjb
乐此不疲	lcbp
方兴未艾	fxwa
五颜六色	wyls
无动于衷	wdyv
锦上添花	juth
荒淫无度	hywd
推陈出新	tiix
畅通无阻	itwz
独树一帜	duyv
省吃俭用	uijy
无济于事	wjyu
情不自禁	qbzj
不足为奇	bzwq
忍无可忍	rwkr
埋头苦干	mtkg
郁郁葱葱	yycc
事半功倍	ubgb
不省人事	bxru
分门别类	fmbl
别出心裁	bixc
明明白白	mmbb
热情洋溢	rqyy
大张旗鼓	dvqg
防不胜防	fbuf
惊魂未定	jhwd
蒙混过关	mhgg
错落有致	clyv
一点一滴	ydyd
入不敷出	rbfi
我行我素	wxws
深思熟虑	usul
趋之若鹜	qvrw
无微不至	wwbv
溢于言表	yyyb
车水马龙	iuml
同心同德	txtd
无所适从	wsuc
变本加厉	bbjl
壮士断腕	vudw
崭露头角	vltj
雄心勃勃	xxbb
以点带面	yddm
学以致用	xyvy
心中有数	xvyu
五湖四海	whsh
审时度势	uudu
不择手段	bzud
大起大落	dqdl
不厌其烦	byqf
一针见血	yvjx
四通八达	stbd
不可开交	bkkj
春暖花开	inhk
天经地义	tjdy
悬而未决	xewj
蜂拥而至	fyev
一言不发	yybf
扬长而去	yieq
水落石出	ului
大开眼界	dkyj
载歌载舞	zgzw
子虚乌有	zxwy
了如指掌	lrvv
历历在目	llzm
徇私枉法	xswf
风云变幻	fybh
公正廉洁	gzlj
茁壮成长	vviv
千丝万缕	qswl
奋不顾身	fbgu
轻描淡写	qmdx
不解之缘	bjvy
有意无意	yywy
顾名思义	gmsy
有声有色	yuys
流离失所	llus
诸如此类	vrcl
一清二楚	yqei
众志成城	vvii
救死扶伤	jsfu
梦寐以求	mmyq
逍遥法外	xyfw
按捺不住	anbv
信誓旦旦	xudd
不计其数	bjqu
缺一不可	qybk
脱胎换骨	tthg
真心实意	vxuy
对簿公堂	dbgt
不辱使命	brum
狂风暴雨	kfby
日复一日	rfyr
白发苍苍	bfcc
山清水秀	uqux
随心所欲	sxsy
不堪设想	bkux
浩浩荡荡	hhdd
叹为观止	twgv
不由自主	byzv
天下第一	txdy
如愿以偿	ryyi
取长补短	qibd
所见所闻	sjsw
近在咫尺	jzvi
一言一行	yyyx
惨不忍睹	cbrd
一无所获	ywsh
既得利益	jdly
呼之欲出	hvyd
黄金时代	hjud
一厢情愿	yxqy
无中生有	wvuy
无与伦比	wylb
轰动一时	hdyu
街头巷尾	jtxw
掷地有声	vdyu
戛然而止	jrev
念念不忘	nnbw
偷工减料	tgjl
津津有味	jjyw
改头换面	gthm
据为己有	jwjy
大同小异	dtxy
刮目相看	gmxk
令人发指	lrfv
目瞪口呆	mdkd
雷厉风行	llfx
三三两两	ssll
风雨无阻	fywz
江郎才尽	jlcj
美轮美奂	mlmh
货真价实	hvju
三令五申	slwu
和睦相处	hmxi
感慨万千	gkwq
拾金不昧	ujbm
因人而异	yrey
一纸空文	yvkw
双管齐下	ugqx
脱口而出	tkei
曾几何时	cjhu
逃之夭夭	tvyy
不可估量	bkgl
心甘情愿	xgqy
一朝一夕	yvyx
倾家荡产	qjdi
有利可图	ylkt
证据确凿	vjqz
万众一心	wvyx
古色古香	gsgx
刻骨铭心	kgmx
东窗事发	diuf
开门见山	kmju
蒸蒸日上	vvru
艰苦卓绝	jkvj
承上启下	iuqx
风起云涌	fqyy
振奋人心	vfrx
乱七八糟	lqbz
浑身解数	huxu
一意孤行	yygx
大有人在	dyrz
年复一年	nfyn
水土不服	utbf
绝无仅有	jwjy
奄奄一息	yyyx
生生不息	uubx
从头到尾	ctdw
迫不得已	pbdy
独善其身	duqu
公平合理	gphl
恰到好处	qdhi
一触即发	yijf
说三道四	usds
不胜枚举	bumj
各抒己见	gujj
意味深长	ywui
聪明才智	cmcv
生死存亡	uscw
蠢蠢欲动	iiyd
摇摇欲坠	yyyv
世外桃源	uwty
滔滔不绝	ttbj
欣欣向荣	xxxr
添砖加瓦	tvjw
相差无几	xiwj
来势汹汹	luxx
疑难杂症	ynzv
有朝一日	yvyr
指日可待	vrkd
每况愈下	mkyx
精打细算	jdxs
真知灼见	vvvj
遥遥无期	yywq
代代相传	ddxi
勇往直前	ywvq
好景不长	hjbi
另辟蹊径	lpxj
朝气蓬勃	vqpb
见怪不怪	jgbg
一劳永逸	ylyy
目不暇接	mbxj
热气腾腾	rqtt
脍炙人口	kvrk
无所事事	wsuu
甚嚣尘上	uxiu
时不我待	ubwd
打成一片	diyp
一成不变	yibb
怀恨在心	hhzx
总而言之	zeyv
支支吾吾	vvww
艰苦创业	jkiy
不务正业	bwvy
身无分文	uwfw
别具一格	bjyg
治病救人	vbjr
岌岌可危	jjkw
丰功伟绩	fgwj
他山之石	tuvu
避重就轻	bvjq
按部就班	abjb
急转直下	jvvx
一举两得	yjld
兴高采烈	xgcl
同心协力	txxl
侃侃而谈	kket
恼羞成怒	nxin
天壤之别	trvb
咄咄逼人	ddbr
千篇一律	qpyl
寸步难行	cbnx
嘘寒问暖	xhwn
不失时机	buuj
直截了当	vjld
白手起家	buqj
人去楼空	rqlk
置若罔闻	vrww
瞠目结舌	imju
长途跋涉	itbu
有说有笑	yuyx
严于律己	yylj
群策群力	qcql
前车之鉴	qivj
一拥而上	yyeu
违法乱纪	wflj
大政方针	dvfv
痛定思痛	tdst
难上加难	nujn
并肩作战	bjzv
始终如一	uvry
啼笑皆非	txjf
数不胜数	ubuu
不闻不问	bwbw
不相上下	bxux
有生之年	yuvn
自给自足	zgzz
打草惊蛇	dcju
守望相助	uwxv
鼓舞人心	gwrx
三五成群	swiq
铿锵有力	kqyl
接踵而来	jvel
勤工俭学	qgjx
赏心悦目	uxym
夜以继日	yyjr
起早贪黑	qzth
爱不释手	abuu
手足无措	uzwc
一分为二	yfwe
不可多得	bkdd
喜出望外	xiww
口口相传	kkxi
只争朝夕	vvvx
气喘吁吁	qixx
猝不及防	cbjf
不甘示弱	bgur
亡羊补牢	wybl
意气风发	yqff
摩拳擦掌	mqcv
千差万别	qiwb
喜怒哀乐	xnal
酸甜苦辣	stkl
惟妙惟肖	wmwx
自相矛盾	zxmd
中流砥柱	vldv
真相大白	vxdb
早出晚归	ziwg
繁荣昌盛	friu
异口同声	yktu
喜气洋洋	xqyy
大是大非	dudf
自食其力	zuql
言传身教	yiuj
充满生机	imuj
浴血奋战	yxfv
大惊小怪	djxg
转危为安	vwwa
见缝插针	jfiv
平易近人	pyjr
古今中外	gjvw
怨声载道	yuzd
人声鼎沸	rudf
千里迢迢	qltt
融会贯通	rhgt
整装待发	vvdf
得心应手	dxyu
守土有责	styz
破口大骂	pkdm
不可磨灭	bkmm
永无止境	ywvj
令人咋舌	lrzu
犹豫不决	yybj
火眼金睛	hyjj
袖手旁观	xupg
苦口婆心	kkpx
游刃有余	yryy
始终不渝	uvby
发家致富	fjvf
耿耿于怀	ggyh
油然而生	yreu
害群之马	hqvm
伤痕累累	uhll
权宜之计	qyvj
背井离乡	bjlx
皆大欢喜	jdhx
支离破碎	vlps
大名鼎鼎	dmdd
合二为一	hewy
风吹草动	ficd
依依不舍	yybu
秋高气爽	qgqu
挺身而出	tuei
掩人耳目	yrem
姗姗来迟	uuli
实至名归	uvmg
事与愿违	uyyw
翩翩起舞	ppqw
名目繁多	mmfd
凤毛麟角	fmlj
忍气吞声	rqtu
耳濡目染	ermr
天伦之乐	tlvl
一气呵成	yqhi
千载难逢	qznf
满目疮痍	mmiy
堆积如山	djru
追根溯源	vgsy
一无所有	ywsy
精神抖擞	juds
人心惶惶	rxhh
朝夕相处	vxxi
当仁不让	drbr
不依不饶	bybr
设身处地	uuid
名胜古迹	mugj
血肉模糊	xrmh
焦头烂额	jtle
无缘无故	wywg
日积月累	rjyl
旷日持久	krij
不胫而走	bjez
忍俊不禁	rjbj
成群结队	iqjd
接连不断	jlbd
无稽之谈	wjvt
债台高筑	vtgv
因材施教	ycuj
居安思危	jasw
手忙脚乱	umjl
轻重缓急	qvhj
应接不暇	yjbx
矢志不渝	uvby
触手可及	iukj
发人深省	fruu
破门而入	pmer
异曲同工	yqtg
自言自语	zyzy
左邻右舍	zlyu
乐在其中	lzqv
以身试法	yuuf
养家糊口	yjhk
众矢之的	vuvd
心平气和	xpqh
繁荣富强	frfq
若隐若现	ryrx
哗众取宠	hvqi
纵横交错	zhjc
空穴来风	kxlf
叫苦不迭	jkbd
因势利导	yuld
德高望重	dgwv
舆论哗然	ylhr
有恃无恐	yuwk
人命关天	rmgt
气势磅礴	qubb
昙花一现	thyx
息事宁人	xunr
日日夜夜	rryy
荡然无存	drwc
欢欣鼓舞	hxgw
惊天动地	jtdd
艰难险阻	jnxz
险象环生	xxhu
数一数二	uyue
切身体会	quth
以假乱真	yjlv
风风雨雨	ffyy
辞旧迎新	cjyx
天寒地冻	thdd
负债累累	fvll
任劳任怨	rlry
走投无路	ztwl
重蹈覆辙	idfv
令行禁止	lxjv
无时无刻	wuwk
成家立业	ijly
炎黄子孙	yhzs
剑拔弩张	jbnv
将心比心	jxbx
大手大脚	dudj
一览无余	ylwy
为所欲为	wsyw
名正言顺	mvyu
纸上谈兵	vutb
川流不息	ilbx
夜深人静	yurj
美不胜收	mbuu
一天到晚	ytdw
善始善终	uuuv
枝繁叶茂	vfym
意料之外	ylvw
斩钉截铁	vdjt
风云人物	fyrw
壮烈牺牲	vlxu
大有裨益	dyby
铺平道路	ppdl
防微杜渐	fwdj
无影无踪	wywz
举手之劳	juvl
中西合璧	vxhb
走马上任	zmur
拍手称快	puik
一年到头	yndt
小心谨慎	xxju
海纳百川	hnbi
来历不明	llbm
汗流浃背	hljb
七嘴八舌	qzbu
本末倒置	bmdv
不顾一切	bgyq
嚎啕大哭	htdk
混淆视听	hxut
热血沸腾	rxft
左右为难	zywn
风平浪静	fplj
如履薄冰	rlbb
招摇撞骗	vyvp
先天不足	xtbz
解疑释惑	jyuh
不速之客	bsvk
心服口服	xfkf
东拼西凑	dpxc
一落千丈	ylqv
原原本本	yybb
火上浇油	hujy
就事论事	julu
没完没了	mwml
报效祖国	bxzg
劳民伤财	lmuc
危言耸听	wyst
天马行空	tmxk
煞费苦心	ufkx
自欺欺人	zqqr
讳莫如深	hmru
断章取义	dvqy
五彩缤纷	wcbf
进退两难	jtln
改过自新	ggzx
一口咬定	ykyd
急于求成	jyqi
疲惫不堪	pbbk
严惩不贷	yibd
百折不挠	bvbn
一家老小	yjlx
大显身手	dxuu
兴旺发达	xwfd
头破血流	tpxl
浑水摸鱼	humy
不容置疑	brvy
长久之计	ijvj
孜孜不倦	zzbj
闻名遐迩	wmxe
千辛万苦	qxwk
指手画脚	vuhj
赫赫有名	hhym
灭顶之灾	mdvz
如影随形	rysx
风调雨顺	ftyu
无所作为	wszw
茶余饭后	iyfh
痛哭流涕	tklt
高屋建瓴	gwjl
走马观花	zmgh
步调一致	bdyv
憨态可掬	htkj
蒙在鼓里	mzgl
屡教不改	ljbg
歪风邪气	wfxq
失之交臂	uvjb
漫天要价	mtyj
平心而论	pxel
不在话下	bzhx
担惊受怕	djup
还本付息	hbfx
约定俗成	ydsi
廉洁奉公	ljfg
果不其然	gbqr
晴天霹雳	qtpl
正本清源	vbqy
不负众望	bfvw
瞬息万变	uxwb
不可逾越	bkyy
靠天吃饭	ktif
语焉不详	yybx
悲痛欲绝	btyj
各显神通	gxut
前赴后继	qfhj
翻山越岭	fuyl
临危受命	lwum
忐忑不安	ttba
不拘一格	bjyg
有机可乘	yjki
漫山遍野	muby
而立之年	elvn
赞叹不已	ztby
不假思索	bjss
不屈不挠	bqbn
潸然泪下	urlx
灵机一动	ljyd
礼尚往来	luwl
条条框框	ttkk
引人入胜	yrru
若无其事	rwqu
熟视无睹	uuwd
骇人听闻	hrtw
供过于求	ggyq
趋利避害	qlbh
交口称赞	jkiz
精力充沛	jlip
分道扬镳	fdyb
冠冕堂皇	gmth
荷枪实弹	hqud
老生常谈	luit
彻头彻尾	itiw
活灵活现	hlhx
安身立命	aulm
风雨同舟	fytv
游手好闲	yuhx
心灰意冷	xhyl
耸人听闻	srtw
网开一面	wkym
电闪雷鸣	dulm
精兵强将	jbqj
星罗棋布	xlqb
谈何容易	thry
三缄其口	sjqk
众目睽睽	vmkk
混为一谈	hwyt
不能自拔	bnzb
多才多艺	dcdy
不欢而散	bhes
井井有条	jjyt
鳞次栉比	lcvb
自以为是	zywu
不动声色	bdus
腾空而起	tkeq
似曾相识	scxu
稳扎稳打	wvwd
空空如也	kkry
危在旦夕	wzdx
开诚布公	kibg
可歌可泣	kgkq
口诛笔伐	kvbf
釜底抽薪	fdix
口口声声	kkuu
举世闻名	juwm
光明正大	gmvd
一门心思	ymxs
不一而足	byez
文山会海	wuhh
德艺双馨	dyux
顾全大局	gqdj
能上能下	nunx
胆战心惊	dvxj
坚韧不拔	jrbb
起死回生	qshu
全神贯注	qugv
死里逃生	sltu
平安无事	pawu
一马当先	ymdx
厚积薄发	hjbf
无理取闹	wlqn
当机立断	djld
八方支援	bfzy
深情厚谊	uqhy
名存实亡	mcuw
如释重负	ruvf
雷打不动	ldbd
一望无际	ywwj
与世隔绝	yugj
大摇大摆	dydb
门可罗雀	mklq
将信将疑	jxjy
饶有兴趣	ryxq
勤勤恳恳	qqkk
心旷神怡	xkuy
柴米油盐	imyy
心照不宣	xvbx
半途而废	btef
半信半疑	bxby
无计可施	wjku
轻装上阵	qvuv
一塌糊涂	ytht
震撼人心	vhrx
后来居上	hlju
并驾齐驱	bjqq
不时之需	buvx
自告奋勇	zgfy
东山再起	duzq
锒铛入狱	ldry
轻车简从	qijc
通力合作	tlhz
石沉大海	uidh
隐姓埋名	yxmm
愤愤不平	ffbp
千头万绪	qtwx
心安理得	xald
一鼓作气	ygzq
冰天雪地	btxd
奋发向上	ffxu
后起之秀	hqvx
谨言慎行	jyux
时过境迁	ugjq
必争之地	bvvd
居高临下	jglx
唯利是图	wlut
事无巨细	uwjx
无孔不入	wkbr
势不可挡	ubkd
烟消云散	yxys
席地而坐	xdez
豁然开朗	hrkl
义愤填膺	yfty
不进则退	bjzt
身先士卒	uxuz
一概而论	ygel
敷衍了事	fylu
高枕无忧	gvwy
巧立名目	qlmm
万不得已	wbdy
震耳欲聋	veyl
今非昔比	jfxb
拉帮结派	lbjp
无忧无虑	wywl
手舞足蹈	uwzd
千呼万唤	qhwh
各取所需	gqsx
杳无音信	ywyx
遥遥领先	yylx
相濡以沫	xrym
先入为主	xrwv
横七竖八	hqub
痛心疾首	txju
可有可无	kykw
千军万马	qjwm
化整为零	hvwl
阳奉阴违	yfyw
沉默寡言	imgy
你追我赶	nvwg
顺手牵羊	uuqy
渐入佳境	jrjj
听之任之	tvrv
束手就擒	uujq
心无旁骛	xwpw
振聋发聩	vlfk
以防万一	yfwy
杳无音讯	ywyx
情有可原	qyky
尽力而为	jlew
投机取巧	tjqq
小题大做	xtdz
不屑一顾	bxyg
约法三章	yfsv
自圆其说	zyqu
人尽其才	rjqc
迎来送往	ylsw
财大气粗	cdqc
从容应对	cryd
随波逐流	sbvl
望子成龙	wzil
鸡毛蒜皮	jmsp
肃然起敬	srqj
公平交易	gpjy
束之高阁	uvgg
因噎废食	yyfu
打破常规	dpcg
火光冲天	hgit
另起炉灶	lqlz
饮食起居	yuqj
面面俱到	mmjd
青黄不接	qhbj
天涯海角	tyhj
语无伦次	ywlc
箭在弦上	jzxu
朗朗上口	lluk
舍近求远	ujqy
置身事外	vuuw
鞠躬尽瘁	jgjc
活蹦乱跳	hblt
不寒而栗	bhel
明辨是非	mbuf
言简意赅	yjyg
鸟语花香	nyhx
避而不谈	bebt
头头是道	ttud
安营扎寨	ayvv
风尘仆仆	fipp
前无古人	qwgr
无可非议	wkfy
筋疲力尽	jplj
无所不能	wsbn
一来二去	yleq
张灯结彩	vdjc
一哄而上	yheu
不由分说	byfu
酣畅淋漓	hill
难以预料	nyyl
带头作用	dtzy
南辕北辙	nybv
自由自在	zyzz
风风火火	ffhh
冒名顶替	mmdt
保家卫国	bjwg
年富力强	nflq
不义之财	byvc
事出有因	uiyy
见死不救	jsbj
模棱两可	mllk
人烟稀少	ryxu
人迹罕至	rjhv
三天两头	stlt
中饱私囊	vbsn
一贫如洗	yprx
没日没夜	mrmy
见贤思齐	jxsq
戒备森严	jbsy
千奇百怪	qqbg
麻痹大意	mbdy
满载而归	mzeg
至高无上	vgwu
一草一木	ycym
扬长避短	yibd
同甘共苦	tggk
铜墙铁壁	tqtb
孜孜以求	zzyq
抱头痛哭	bttk
移风易俗	yfys
独具匠心	djjx
追悔莫及	vhmj
久负盛名	jfum
过意不去	gybq
冷嘲热讽	lirf
泛滥成灾	fliz
横冲直撞	hivv
沾沾自喜	vvzx
争奇斗艳	vqdy
有血有肉	yxyr
精神恍惚	jshh
盘根错节	pgcj
大兴土木	dxtm
老泪纵横	llzh
雄心壮志	xxvv
瞒天过海	mtgh
丧心病狂	sxbk
目不转睛	mbvj
相安无事	xawu
和而不同	hebt
乐善好施	luhu
快马加鞭	kmjb
人心向背	rxxb
无关紧要	wgjy
峰回路转	fhlv
入土为安	rtwa
闻所未闻	wsww
花样百出	hybi
据理力争	jllv
烫手山芋	tuuy
手无寸铁	uwct
不虚此行	bxcx
确有其事	qyqu
漏网之鱼	lwvy
乘风破浪	ifpl
出类拔萃	ilbc
挖空心思	wkxs
有求必应	yqby
暴露无遗	blwy
价廉物美	jlwm
千疮百孔	qibk
嗤之以鼻	ivyb
春意盎然	iyar
矢口否认	ukfr
原封不动	yfbd
无可比拟	wkbn
登高望远	dgwy
三番五次	sfwc
板上钉钉	budd
杞人忧天	qryt
心满意足	xmyz
无所不在	wsbz
动荡不安	ddba
举手投足	jutz
东张西望	dvxw
三足鼎立	szdl
物归原主	wgyv
不远万里	bywl
空中楼阁	kvlg
家长里短	jild
通宵达旦	txdd
一掷千金	yvqj
言之凿凿	yvzz
挥汗如雨	hhry
天衣无缝	tywf
如鱼得水	rydu
僧多粥少	sdvu
互相推诿	hxtw
本来面目	blmm
来者不拒	lvbj
欣喜若狂	xxrk
呕心沥血	oxlx
精耕细作	jgxz
汗马功劳	hmgl
稍纵即逝	uzju
远见卓识	yjvu
千钧一发	qjyf
不攻自破	bgzp
奋发图强	fftq
运筹帷幄	yiww
同归于尽	tgyj
声情并茂	uqbm
就地取材	jdqc
喜笑颜开	xxyk
谈笑风生	txfu
按兵不动	abbd
一本正经	ybvj
真刀真枪	vdvq
春风化雨	ifhy
天罗地网	tldw
摩肩接踵	mjjv
飞来横祸	flhh
花样翻新	hyfx
胸有成竹	xyiv
依山傍水	yubu
虎视眈眈	hudd
万事大吉	wudj
独占鳌头	dvat
古往今来	gwjl
萎靡不振	wmbv
舍己救人	ujjr
欲罢不能	ybbn
敲锣打鼓	qldg
化险为夷	hxwy
穷凶极恶	qxje
大快朵颐	dkdy
休戚与共	xqyg
相映成趣	xyiq
按图索骥	atsj
不偏不倚	bpby
穿针引线	ivyx
过关斩将	ggvj
闭门造车	bmzi
入乡随俗	rxss
迎头赶上	ytgu
不堪一击	bkyj
满心欢喜	mxhx
有识之士	yuvu
啧啧称奇	zziq
出尔反尔	iefe
如痴如醉	rirz
毁于一旦	hyyd
天翻地覆	tfdf
只言片语	vypy
不期而遇	bqey
仁人志士	rrvu
疲于奔命	pybm
放眼世界	fysj
妙趣横生	mqhu
大海捞针	dhlv
气势汹汹	quxx
