code	weight	word_count	top_rank	words
uijm	13.651410899709976	6	35	时间 事件 实践 世间 始建 尸检
dayi	13.553771631240087	8	2294	大衣 大意 答疑 大一 大姨 达意 大义 大邑
vgui	13.419679168943203	7	875	正式 证实 正是 正事 正视 政事 正史
jidu	13.36682176766324	7	861	嫉妒 极度 几度 基督 季度 缉毒 忌妒
buyi	13.349471419315647	8	2565	不易 不已 不宜 不一 布衣 不依 不意 不义
gsli	13.333944115691361	8	1135	公里 功力 功利 公立 公历 宫里 公理 公厘
wwji	13.292092858861722	8	1858	危机 危急 慰藉 未几 危及 微机 违纪 维基
jixk	13.187903195334908	9	4753	记性 畸形 即兴 机型 急性 极性 剂型 纪行 极刑
fuui	13.167321146478365	8	6706	服饰 腐蚀 俯视 复试 服侍 富士 赋诗 副食
uzui	13.122479712675537	8	872	收拾 手势 首饰 熟食 熟识 收视 收尸 守势
lizi	13.090469432459438	8	2984	例子 粒子 栗子 离子 李子 梨子 利兹 里子
dali	13.068513501274929	8	2457	大力 搭理 大礼 大理 打理 达理 大荔 答理
yiyi	13.068423878549702	7	418	意义 一亿 异议 一一 依依 疑义 意译
jixu	12.701529751877583	7	105	继续 急需 积蓄 亟需 几许 记叙 亟须
jkli	12.69067220195297	6	505	经历 经理 精力 敬礼 警力 晶粒
viji	12.617293722393336	8	5572	之际 知己 至极 制剂 直击 织机 执纪 职级
uivi	12.482249254970483	9	5717	实质 食指 失职 试制 市值 时值 试纸 矢志 施治
jpvi	12.448723481033646	7	1789	戒指 截至 节制 截止 介质 截肢 解职
dajp	12.438304615583585	7	1610	大街 大姐 打劫 打结 大捷 大节 搭界
uiys	12.396947513130169	6	482	使用 实用 试用 适用 食用 施用
vgvi	12.376928600754612	7	2020	政治 正直 整治 正值 争执 正职 政制
buvi	12.36244019079624	6	447	不知 不止 布置 不只 不致 不值
uzji	12.317096471443632	7	184	手机 收集 首级 手记 熟记 手迹 首季
yixk	12.309060048964657	8	4177	异性 一行 异形 宜兴 移行 异型 意兴 易行
vfui	12.239278225812404	6	163	真是 真实 阵势 珍视 诊室 真事
jqui	12.144398469056588	7	65	就是 九十 旧事 旧时 旧式 九时 就事
yiwu	12.10160973059734	7	2204	义务 医务 衣物 遗物 义乌 异物 贻误
guji	12.080294435951835	7	382	估计 顾忌 顾及 孤寂 古迹 古籍 痼疾
xlxl	12.076630890560752	6	495	想想 想象 相像 想像 相向 湘乡
ybxk	12.066092420742661	7	727	银行 隐形 银杏 阴性 音形 隐性 印行
yuyi	12.059320355523907	8	6342	予以 寓意 雨衣 浴衣 羽翼 语义 语意 愈益
wwyi	11.959338598497693	8	453	唯一 位移 惟一 尾翼 偎依 卫衣 逶迤 威仪
xbyi	11.877557499285063	8	3376	心意 心仪 新意 新衣 信义 新异 新沂 信宜
yifu	11.864200616306853	7	145	衣服 依附 一幅 一副 姨夫 姨父 义父
dajx	11.75728678158588	6	78	大家 打架 打假 大加 大驾 大假
hxui	11.705484001718458	8	9397	化石 画师 花式 画室 花市 华氏 花饰 滑石
xbji	11.687732841200948	8	7800	心急 心机 心肌 心计 新机 心悸 心迹 辛集
vsxb	11.660008008743162	5	452	重新 中心 重心 衷心 忠心
xmyu	11.578448531345826	7	5232	咸鱼 限于 闲鱼 陷于 鲜鱼 县域 先于
vsvi	11.496134333192309	7	4002	种植 终止 中指 重置 中止 中职 中直
uixk	11.465440265792825	8	2364	实行 时兴 施行 试行 诗兴 世行 诗行 十行
xmxk	11.45626155349535	8	6690	现行 线性 先行 限行 现形 显性 显形 线形
uiqi	11.43881076937273	6	1140	时期 十七 士气 使其 湿气 石器
uijp	11.415558929044707	6	73	世界 师姐 时节 使节 石阶 视界
jnvi	11.375227000237778	8	5456	脚趾 交织 角质 胶质 较之 教职 矫治 胶纸
dadi	11.29614403898856	7	2974	大地 大帝 大抵 打底 大敌 大堤 大弟
igui	11.269835920383407	6	262	城市 诚实 盛世 程式 盛事 成事
qkui	11.223018359889215	8	9254	轻视 请示 情势 情诗 青史 情事 青石 情史
fuvi	11.196186388756432	8	9115	复制 福祉 肤质 扶植 复职 负值 副职 幅值
jmui	11.173836929382626	7	2012	见识 监视 坚实 简史 检视 捡拾 监事
siji	11.160154006273356	7	855	司机 四季 伺机 死机 斯基 四级 死寂
yiyu	11.121948520106505	7	3319	抑郁 易于 一隅 异域 一语 意欲 呓语
dabj	11.115883793592396	7	1636	打扮 大半 大阪 大班 大办 搭伴 大板
yuui	11.10183879460763	6	559	于是 浴室 预示 玉石 雨势 御史
jidm	11.09443440541412	7	9206	极点 祭奠 积淀 几点 机电 基点 急电
tamf	11.093574574619531	3	9	他们 她们 它们
dmji	11.089941845426988	7	4598	惦记 点击 电击 电机 电极 奠基 典籍
jbui	11.052988788225834	7	5684	近视 进食 浸湿 进士 金石 今世 津市
vsui	10.9747076717441	6	1790	重视 忠实 重拾 重试 中式 中试
uijx	10.96742232785136	7	6390	施加 十佳 试驾 世家 市价 事假 实价
yiju	10.950562903164183	7	3055	依据 一局 一举 宜居 一句 移居 义举
uiyz	10.943052312570778	7	1830	室友 石油 师友 时有 事由 诗友 食油
uzyi	10.85295779002831	6	3913	手艺 受益 收益 兽医 授意 寿衣
jivi	10.831485162951875	6	2685	机制 机智 极致 几只 基质 及至
fuyu	10.801255374240082	7	3932	赋予 富裕 富于 抚育 富余 负于 馥郁
buui	10.773290848451865	6	1197	不是 不适 不时 布什 捕食 布施
juui	10.766906552860391	7	3655	局势 巨石 举世 居士 句式 居室 据实
bcli	10.679453602679171	6	5125	暴力 剥离 暴戾 暴利 包里 保利
uixm	10.663849573917709	5	377	实现 事先 视线 时限 市县
bmig	10.654631875287997	6	300	变成 编程 贬称 编成 边城 辩称
heui	10.651017304879563	5	663	合适 何时 核实 何事 合十
jpji	10.627237766710087	7	4210	阶级 借机 接机 接济 劫机 截击 街机
vgqi	10.568635072766138	6	4095	整齐 蒸汽 争气 正气 蒸气 政企
uiye	10.507070009559472	5	590	事业 失业 视野 实业 师爷
vujn	10.502658154523381	6	1806	主角 主教 助教 猪脚 注脚 主叫
uivs	10.489036661129052	6	1445	始终 时钟 适中 失重 示众 试种
jmjp	10.444406386469957	6	5187	间接 简介 简洁 见解 剪接 简捷
yili	10.444245049839	7	5388	毅力 屹立 一粒 伊犁 伊利 义利 义理
uiqu	10.422068729490672	5	464	失去 市区 逝去 时区 识趣
xmvi	10.418107609521217	7	1456	限制 闲置 先知 县直 现职 县志 限值
yjxi	10.31903251715232	6	3169	演戏 演习 宴席 筵席 研习 沿袭
jihv	10.318977118112366	5	157	机会 集会 忌讳 几回 击毁
jkji	10.318847123447151	5	347	经济 竞技 荆棘 经纪 静寂
jmvi	10.28179207668575	6	305	简直 兼职 剪纸 监制 剪枝 建制
keyi	10.278142664098121	4	6	可以 刻意 可疑 可意
vuyi	10.243879991043947	4	143	注意 主意 主义 逐一
wuji	10.214452978117833	8	23693	无极 无际 无机 舞技 污迹 屋脊 无计 无级
jiww	10.214243952090268	7	6279	极为 纪委 几位 机位 继位 计委 即位
goui	10.198380308684955	6	4795	过时 果实 过世 过失 国事 国是
bmyi	10.179745704860515	5	854	便宜 贬义 变异 编译 便衣
bcdc	10.174098330639183	5	533	报道 报到 报导 宝刀 宝岛
xkxk	10.121136745056967	6	1681	星星 行星 猩猩 行刑 醒醒 星形
yids	10.113438911873661	6	1273	移动 一动 异动 一栋 易懂 以东
ihui	10.081818156099626	6	973	尝试 常识 常事 长势 长石 长诗
lmjp	10.079899536348242	6	2297	连接 廉洁 链接 连结 联结 联接
yzxm	10.054010321395253	5	2514	有限 优先 悠闲 有线 攸县
xmqi	10.036153142691166	6	2468	嫌弃 掀起 限期 仙气 贤妻 先期
yirj	10.02645399810412	6	1022	依然 毅然 已然 易燃 亦然 怡然
ufvi	10.01517915332629	5	356	甚至 深知 神智 神志 伸直
diyu	9.986178671247622	5	1766	地狱 地域 低于 抵御 低语
daui	9.927748469084221	5	1366	大师 大事 大使 大势 大市
jiju	9.907190666256728	7	10277	急剧 几句 极具 集聚 积聚 寄居 机具
lcui	9.900363602299286	4	180	老师 老实 老是 老式
ihih	9.897674116916058	5	1343	常常 厂长 尝尝 长长 场长
dadc	9.873196530257417	5	797	达到 打倒 大道 大刀 答道
uzvi	9.871324535279834	6	1232	手指 熟知 收支 手纸 收治 受制
yhqi	9.819079635475944	6	4987	氧气 阳气 扬起 洋气 央企 扬弃
yzli	9.798521628933784	5	2595	有力 有利 有理 游历 游离
fuhe	9.784793992166934	5	1041	符合 复合 附和 负荷 复核
tsyi	9.751531056840266	4	419	同意 统一 同一 同义
jiff	9.732681857529027	6	5866	积分 记分 激愤 几分 计分 激奋
vuui	9.72512548937419	6	3841	注视 注释 主事 主食 主使 柱石
tsvi	9.707912045755652	4	401	同志 通知 统治 铜质
yijk	9.696210507918611	4	19	已经 意境 易经 一经
qijm	9.682270532513542	5	1043	期间 旗舰 其间 起见 器件
rfui	9.656078729407625	4	108	认识 人士 人事 人世
wuzi	9.654113628730626	5	1085	屋子 物资 污渍 舞姿 兀自
fuuu	9.583986331630157	6	11958	附属 复述 负数 服输 复数 富庶
xnhx	9.582904136498286	5	1415	笑话 消化 校花 小花 硝化
viqm	9.581069493807698	5	126	之前 值钱 致歉 纸钱 支前
uiww	9.55131131773233	6	5492	视为 示威 侍卫 市委 世卫 实为
tsui	9.527934868763426	5	365	同时 同事 痛失 通史 通识
tsji	9.491892638565181	6	2315	统计 通缉 痛击 同级 同济 同机
iuji	9.480172983971276	6	4869	初级 触及 出击 雏鸡 处级 初几
yzrf	9.477123147210028	4	146	有人 诱人 友人 游人
jbji	9.455307482344793	5	1768	紧急 晋级 禁忌 谨记 金鸡
jkvi	9.45430693639274	6	2858	精致 静止 径直 景致 精制 净值
qkyi	9.440200866713932	5	2306	轻易 情谊 情义 情意 青衣
livi	9.435642992474799	5	1975	理智 励志 离职 荔枝 立志
veli	9.4316213655283	4	45	这里 哲理 着力 啫喱
viyu	9.422987248616835	5	1308	至于 治愈 置于 之余 智育
fhvi	9.418238914939796	5	2227	防止 放置 纺织 防治 仿制
xiui	9.399980503030443	6	10186	稀释 西施 喜事 吸食 西式 稀世
jiqi	9.39766790699522	4	1164	机器 极其 及其 激起
uigr	9.394729623783697	6	9239	使馆 试管 士官 事关 食管 石棺
yike	9.390585625186336	5	1394	一刻 亦可 医科 一颗 一棵
vuzi	9.378287315325977	5	5331	竹子 柱子 珠子 主子 注资
vijm	9.378030622652329	5	327	之间 只见 指尖 质检 质监
ufuz	9.361410345169462	5	3138	伸手 深受 身手 身受 神兽
xnjp	9.35771865618612	6	1563	小姐 消解 小节 小结 小街 小解
jpke	9.354872358628171	6	14668	解渴 杰克 捷克 皆可 结课 接客
jiuu	9.351006405348112	5	207	技术 计数 基数 级数 记述
uuvi	9.335517210932998	6	4928	树枝 数值 树脂 述职 竖直 叔侄
wuxk	9.324170404847617	6	7215	无形 五行 悟性 五星 无性 武行
dcui	9.311539468269771	4	1034	倒是 导师 到时 道士
yuqi	9.310644345431996	5	2418	语气 预期 与其 逾期 玉器
vjui	9.288402534447796	5	1355	展示 战士 战事 战时 展室
vivi	9.255597796108068	6	3810	制止 直至 治治 吱吱 纸质 直指
tjzi	9.249307531651558	6	5263	毯子 摊子 坛子 谈资 弹子 探子
anjm	9.241831025892486	5	1832	案件 安检 按键 暗箭 安监
vixn	9.23611297766327	6	7163	知晓 滞销 直销 职校 质效 治校
vili	9.235489173749489	5	4604	智力 治理 致力 智利 直立
tsxk	9.228510609120347	5	3106	同行 通行 同性 同姓 童星
fuyz	9.218287447814262	6	2465	富有 蜉蝣 负有 妇幼 附有 浮游
gege	9.18372338637435	4	310	哥哥 各个 个个 格格
yiwj	9.17310694042918	5	1781	一万 亿万 一晚 一碗 已晚
juxk	9.172991712077746	5	1010	举行 巨型 巨星 矩形 句型
xpzi	9.17235858090656	5	1132	鞋子 写字 蝎子 血渍 楔子
erui	9.150845038313633	4	743	而是 二十 儿时 耳饰
jnvu	9.117105020119078	6	7053	教主 角逐 叫住 浇筑 浇注 浇铸
uiuu	9.089534462343694	7	18543	史书 实属 诗书 师叔 实数 市属 时数
diji	9.081317229902183	5	5887	低级 第几 地基 敌机 地级
tixk	9.072909507275789	5	795	提醒 体型 体形 题型 梯形
djzi	9.050789939656731	5	3285	胆子 担子 单字 单子 淡紫
uzxi	9.041728412758246	5	985	熟悉 首席 收悉 受洗 熟习
uzfu	9.033655245133644	6	13002	收复 收服 首府 首富 收腹 首付
vevs	9.006096926327682	4	55	这种 着重 折中 折衷
yiug	9.003740030140744	4	224	医生 一生 一声 益生
viuu	9.000771406330431	6	9955	指数 植树 支书 直属 质数 职数
ugji	8.989929560839272	5	1469	升级 生机 生计 省级 省际
xljm	8.9858381406223	5	2167	想见 相见 乡间 相间 详见
dili	8.984355053391722	6	3244	地理 地里 砥砺 底里 地力 地利
yijn	8.973748378836854	5	7078	一角 移交 衣角 一脚 异教
qizi	8.969170824859779	5	710	妻子 棋子 旗子 起子 弃子
guui	8.968915586111729	5	259	故事 股市 古诗 古时 固始
houi	8.95865395865237	5	1225	或是 伙食 火势 获释 火石
dayu	8.94176509533516	5	3400	大雨 大于 大鱼 打鱼 大禹
wwui	8.939084221669393	6	9643	卫士 威势 卫视 为时 委实 喂食
ueji	8.937475696212164	4	488	设计 涉及 射击 社稷
yjyu	8.935239332234135	5	3065	言语 烟雨 艳遇 谚语 言喻
bcxn	8.934815994354045	5	4410	报销 剥削 爆笑 报效 包销
ciui	8.93437944969922	5	2298	此时 此事 刺史 辞世 磁石
qkxk	8.926839288317893	4	1375	清醒 情形 庆幸 轻型
mwyj	8.924110301879871	6	8916	美颜 眉眼 美艳 美言 煤烟 媚眼
xmrf	8.91802111223778	5	4709	现任 闲人 仙人 先人 贤人
vsjm	8.914026487901621	5	680	中间 重建 中坚 中箭 重见
jmli	8.904012172714479	5	752	建立 简历 监理 尖利 监利
yzvi	8.847726585601396	5	2677	幼稚 优质 油脂 有志 油纸
vuuz	8.844081633602892	5	2893	助手 住手 煮熟 驻守 祝寿
yibj	8.834319218613913	4	201	一般 一半 一瓣 一斑
dahj	8.81835381878281	6	7988	大汉 大喊 大旱 打鼾 大寒 大汗
uaui	8.80850121964432	6	7540	傻事 霎时 啥事 沙市 砂石 沙石
jkww	8.805481349843921	6	7144	敬畏 经纬 警卫 经委 精微 京味
yjli	8.803686703994511	4	1527	眼里 严厉 眼力 艳丽
xkqi	8.789074054982565	5	519	星期 兴起 刑期 腥气 行乞
juvs	8.782432787287112	6	8339	举重 居中 聚众 剧中 剧种 剧终
jili	8.77628657277141	5	2625	激励 极力 吉利 机理 肌理
heli	8.775539384771907	5	1142	合理 河里 合力 贺礼 河狸
jijk	8.747051658677618	6	5875	寂静 鸡精 几经 机警 机井 即景
ysyi	8.743907282610024	5	6551	泳衣 用意 用以 庸医 勇毅
vsxk	8.734701714061007	6	19437	中性 中兴 中型 重型 中行 重刑
guli	8.71144520324516	5	1047	鼓励 孤立 故里 谷粒 股利
uzfa	8.707312185672215	5	2972	手法 首发 受罚 守法 收发
bcfu	8.698084502400139	4	2327	报复 包袱 抱负 暴富
viye	8.69573531760325	5	858	职业 枝叶 执业 汁液 置业
yijx	8.685101484056414	5	2214	一家 衣架 溢价 议价 意甲
vivu	8.682994721365798	5	2983	蜘蛛 支柱 止住 植株 执著
furf	8.681526447063057	4	490	夫人 妇人 富人 赴任
jpjk	8.680306067927788	5	8257	结晶 捷径 洁净 街景 接警
baui	8.675851709629605	5	4164	八十 巴士 罢市 把式 八时
daho	8.658467200685132	5	3864	大伙 大火 大祸 搭伙 打火
hvji	8.657126607952549	4	2278	会计 回击 汇集 惠及
hoji	8.655109915743363	5	1059	伙计 活计 火鸡 货机 火机
fgxm	8.65275583605787	5	1463	风险 奉献 奉贤 缝线 锋线
jxji	8.62949183380152	6	16934	加急 甲级 甲基 佳绩 夹击 驾机
jmyi	8.629412995521513	4	379	建议 简易 坚毅 检疫
gezi	8.623665065303975	4	1912	各自 鸽子 个子 格子
xlqi	8.612928213981021	4	459	想起 响起 象棋 香气
uige	8.608817329991489	5	4969	诗歌 时隔 师哥 十个 是个
xpxk	8.606484625269442	5	4274	血腥 血型 偕行 楔形 血性
jbqu	8.58862550716044	4	306	进去 禁区 进取 金曲
uuui	8.58784767350668	5	3249	舒适 属实 数十 书市 术士
yiiu	8.58243615860384	5	11936	溢出 益处 移除 衣橱 一处
iufa	8.582080798315891	4	729	出发 处罚 触发 除法
yihv	8.563585118643722	4	921	一会 议会 意会 一回
iuyu	8.553855916873244	4	1489	处于 出于 出狱 出浴
wuhv	8.55259048831432	4	1734	误会 污秽 无悔 舞会
juzi	8.54818482889196	5	3192	橘子 句子 巨资 局子 巨子
ujds	8.546563423554792	5	3089	山东 山洞 煽动 闪动 扇动
yzzi	8.517764194067453	6	6360	柚子 游子 邮资 油渍 幼子 游资
buxk	8.513865276307131	3	222	不行 不幸 步行
keui	8.505931832162867	4	59	可是 科室 课时 课室
wuyj	8.50350092104417	5	8146	屋檐 无言 呜咽 午宴 无烟
yirf	8.501323406955919	5	3165	艺人 宜人 伊人 一人 怡人
jpti	8.490788905918226	5	9570	阶梯 接替 解体 解题 结题
jpuz	8.486708718522998	4	269	接受 接收 接手 解手
jxih	8.479167187715456	4	1407	家长 家常 加长 假唱
yrzi	8.453817383643022	4	2001	院子 源自 园子 原子
igji	8.443826289891298	5	823	成绩 乘积 乘机 城际 承继
zsvi	8.441025551155958	5	1376	总之 宗旨 总值 总支 综治
xbui	8.439751739484713	5	3363	心事 新式 信使 心室 新诗
yidm	8.435400124457336	4	67	一点 疑点 椅垫 伊甸
quiu	8.411821126396237	5	4947	取出 去除 去处 驱除 祛除
vsyu	8.39307994308104	4	226	终于 忠于 重于 中雨
jiyi	8.38849615121573	4	937	记忆 技艺 几亿 机翼
miui	8.388368811398275	5	4127	迷失 密室 觅食 秘史 密实
ykli	8.382417413929756	5	3940	英里 盈利 应力 赢利 营利
viyr	8.375847862004669	4	2137	支援 志愿 职员 致远
daig	8.373991168819764	5	4724	达成 搭乘 大成 打成 大城
ruui	8.343824688300302	5	8893	如实 入室 入世 入时 入市
heyi	8.33907008429988	5	3933	何以 合一 何意 合意 合宜
iizi	8.338665864009526	5	9424	池子 尺子 斥资 赤字 赤子
yiti	8.336486868122716	4	4711	一体 遗体 议题 异体
xifu	8.328065439061668	5	2572	媳妇 吸附 西服 戏服 惜福
jmdc	8.322285367285488	4	231	见到 剪刀 捡到 尖刀
mmui	8.314496657153544	5	1390	面试 面世 面食 免试 面市
vidk	8.314226053200501	4	2619	制定 指定 置顶 制订
jpuu	8.300877865075408	5	263	结束 借书 解数 劫数 解暑
bufa	8.300473509602778	5	3136	步伐 不乏 不法 补发 步法
lmxi	8.292062754475246	4	289	联系 练习 怜惜 联席
yidu	8.284273968510657	5	4474	一度 遗毒 易读 臆度 已读
jxju	8.279001332879687	5	3035	家具 加剧 家居 夹具 佳句
dgji	8.263958565042484	4	3509	等级 登记 登基 登机
vuli	8.263796410147705	4	2023	助理 主力 伫立 助力
dafu	8.257546111193562	4	2018	大夫 答复 大幅 大副
viig	8.24896980542516	5	2736	支撑 职称 制成 支承 指称
xkig	8.246127415913753	4	1428	形成 行程 兴盛 兴城
jbig	8.245567294060013	5	3705	进程 进城 晋城 锦城 金城
quui	8.24277095018083	4	1890	去世 趋势 驱使 趣事
tslk	8.227307394754494	5	10875	同龄 统领 通灵 铜陵 通令
ihdc	8.224695980255195	5	8562	倡导 肠道 长岛 尝到 长刀
daxn	8.219478597753621	4	1885	大小 大笑 打消 大校
ugmk	8.214921368831515	4	412	生命 声明 声名 圣明
duzi	8.201079823875316	4	692	肚子 独自 犊子 独资
jijb	8.188508142098165	4	5304	基金 激进 集锦 几近
yzji	8.18578490003043	4	3830	有机 邮寄 游击 游记
dama	8.18295921525902	5	3131	大妈 打码 大麻 打骂 大码
ykui	8.159956900299484	5	6164	影视 硬是 英式 应试 萤石
jpiu	8.158835727899946	4	1161	接触 解除 杰出 戒除
lmzi	8.153421245383043	5	11050	帘子 练字 链子 莲子 脸子
jnui	8.151922208939618	4	1274	教师 教室 教士 礁石
yiuu	8.137193240547449	4	726	艺术 遗书 医术 医书
qrli	8.129000891699068	3	1033	权利 权力 全力
mkjn	8.122205851749765	5	2881	名叫 鸣叫 名角 明教 明胶
yibm	8.121185914673255	4	368	一边 以便 一遍 异变
qivs	8.120662509892064	4	427	其中 期中 器重 起重
wwvi	8.116345990124197	3	577	位置 为止 未知
jnxk	8.111026484597087	5	4108	叫醒 侥幸 交行 绞刑 矫形
yuji	8.106567796423391	5	2632	预计 雨季 虞姬 淤积 郁积
jmyu	8.103083102453958	5	3786	监狱 鉴于 见于 建于 煎鱼
tkvi	8.091426359679295	4	1084	停止 挺直 停滞 停职
divi	8.089694285505802	4	880	地址 抵制 地质 低脂
gjyu	8.08225560236204	5	4154	敢于 干预 甘于 甘雨 赣榆
ugvi	8.077744524707434	5	16736	生殖 升值 升职 圣旨 省直
bcbc	8.076017837786969	4	560	宝宝 抱抱 包包 薄薄
liyu	8.060342134032243	5	5682	利于 鲤鱼 俚语 理喻 礼遇
hvuz	8.059334740223534	4	3643	回收 挥手 回首 回手
jxbj	8.05725435459824	4	1504	加班 甲板 假扮 夹板
jpyu	8.052651731831725	6	19753	介于 劫狱 结语 节育 结余 节余
qrig	8.04396597291996	5	2975	全程 全称 全城 全盛 泉城
ybui	8.040692967586736	5	2535	饮食 吟诗 隐士 殷实 阴湿
zivi	8.038065354161828	4	4765	自制 资质 自知 自治
rfmk	8.034815802191613	4	5787	人命 任命 认命 人名
uuli	8.033791279666984	5	3964	树立 梳理 数理 竖立 疏离
yryz	8.033383298423466	5	6752	原有 缘由 原油 远游 原由
ybxl	8.03014893969715	4	917	印象 音响 音像 音箱
jpmm	8.02328238256688	5	6374	界面 洁面 截面 街面 诫勉
vihv	8.00251104925703	4	1554	智慧 指挥 只会 知会
uizu	7.98760194829094	5	3093	十足 士卒 失足 始祖 氏族
yuyj	7.97629627258855	4	982	语言 预言 寓言 预演
wuih	7.976204826780064	5	7522	无偿 无常 武昌 五常 舞场
bnui	7.975768676106707	4	249	表示 标识 标示 镖师
igvi	7.969814584810393	4	5784	称职 诚挚 惩治 橙汁
bwzi	7.968557672562234	3	1361	辈子 杯子 被子
siui	7.961752575724929	4	2362	四十 私事 死尸 四时
yhyh	7.959941722636912	5	6681	痒痒 样样 洋洋 扬扬 怏怏
qkyr	7.959669568438121	5	4159	情愿 情缘 清远 请愿 庆元
xnyi	7.958231571985417	5	7548	效益 笑意 小姨 校医 孝义
siyi	7.954275650651156	5	7981	肆意 司仪 四溢 四一 四亿
jiyr	7.949093624853959	5	14471	机缘 妓院 纪元 积怨 济源
uexm	7.9472483448322215	5	10055	涉嫌 射线 设限 涉县 涉险
uier	7.941805885621287	3	671	事儿 十二 时而
bufu	7.937447535853437	4	5417	不服 不符 不负 不复
uihz	7.933290276688593	3	15	时候 事后 侍候
yzdm	7.929957321271736	3	142	有点 优点 邮电
lijp	7.92833871928959	4	281	理解 礼节 力竭 历届
xnmk	7.924609687567974	6	25659	小明 小名 小命 晓明 校名 效命
fali	7.921678929250257	5	14321	法力 乏力 发力 法理 法例
ving	7.918573856111294	3	274	只能 智能 职能
mali	7.9160707181579415	4	3756	玛丽 马力 麻利 马里
hjyi	7.915339261366683	5	3496	含义 寒意 涵义 含意 寒衣
gsxk	7.913754858303665	5	19705	共性 拱形 工行 躬行 弓形
vuih	7.911881691316916	5	5609	主场 助长 主唱 猪场 驻场
guds	7.896149519476524	4	10810	鼓动 股东 古董 咕咚
grih	7.894039075125065	5	9545	馆长 官场 灌肠 官长 惯常
jiyz	7.893855648696041	5	5967	基友 既有 机油 集邮 极右
