code	has_two	has_four	two_count	four_count	two_top_rank	four_top_rank	two_words	four_words
viui	1	0	11	0	71		只是 知识 指示 直视 指使 致使 芝士 制式 执事 知事 志士	
xmug	1	0	2	0	72		先生 险胜	
uijp	1	0	6	0	73		世界 师姐 时节 使节 石阶 视界	
erqp	1	0	1	0	74		而且	
kjkj	1	0	2	0	75		看看 侃侃	
dhrj	1	0	2	0	76		当然 荡然	
nali	1	0	2	0	77		哪里 那里	
dajx	1	0	6	0	78		大家 打架 打假 大加 大驾 大假	
vybw	1	0	1	0	79		准备	
mktm	1	0	1	0	80		明天	
buco	1	0	1	0	81		不错	
yiqp	1	0	1	0	82		一切	
yihz	1	0	2	0	83		以后 蚁后	
fwih	1	0	2	0	84		非常 肥肠	
wwle	1	0	2	0	85		为了 未了	
wjuh	1	0	2	0	86		晚上 玩赏	
goqu	1	0	1	0	87		过去	
xxld	1	0	1	0	88		下来	
bprf	1	0	1	0	89		别人	
yiww	1	1	8	1	90	1389	以为 意味 一味 依偎 一位 异味 移位 易位	运筹帷幄
hcxl	1	0	3	0	91		好像 好想 好象	
kjjm	1	0	2	0	92		看见 坎肩	
zvhz	1	0	1	0	93		最后	
soyz	1	0	1	0	94		所有	
nvrf	1	0	1	0	95		女人	
hfdo	1	0	1	0	96		很多	
gold	1	0	1	0	97		过来	
xlxb	1	0	2	0	98		相信 向心	
yixp	1	0	1	0	99		一些	
hvjx	1	0	2	0	100		回家 汇价	
jxyz	1	0	2	0	101		加油 家有	
kfdk	1	0	2	0	103		肯定 垦丁	
hchc	1	0	2	0	104		好好 浩浩	
jixu	1	0	7	0	105		继续 急需 积蓄 亟需 几许 记叙 亟须	
kdxb	1	0	1	0	106		开心	
tebp	1	0	1	0	107		特别	
rfui	1	0	4	0	108		认识 人士 人事 人世	
xtxn	1	0	1	0	109		学校	
favj	1	0	2	0	110		发展 罚站	
grxi	1	0	2	0	111		关系 盥洗	
mkbd	1	0	2	0	112		明白 明摆	
iuqu	1	0	2	0	113		出去 除去	
qiui	1	0	11	0	114		其实 歧视 七十 气势 骑士 启示 启事 起誓 起始 其时 奇事	
yisi	1	0	3	0	115		意思 疑似 一丝	
zvjb	1	0	1	0	116		最近	
gojx	1	0	1	0	117		国家	
keai	1	0	1	0	118		可爱	
rfww	1	0	2	0	119		认为 人为	
yexu	1	0	1	0	120		也许	
qkkl	1	0	2	0	121		情况 轻狂	
yjjk	1	0	3	0	122		眼睛 眼镜 燕京	
vfde	1	0	2	0	123		真的 贞德	
faug	1	0	2	0	124		发生 发声	
vcdc	1	0	2	0	125		找到 照到	
viqm	1	0	5	0	126		之前 值钱 致歉 纸钱 支前	
yiqm	1	0	2	0	127		以前 一千	
vihz	1	0	2	0	128		之后 滞后	
jide	1	0	3	0	129		记得 积德 基德	
qita	1	0	2	0	130		其他 其它	
hvqu	1	0	1	0	131		回去	
hckj	1	0	1	0	132		好看	
uohx	1	0	1	0	133		说话	
nayh	1	0	2	0	134		那样 哪样	
douc	1	0	1	0	135		多少	
hove	1	0	2	0	136		或者 活着	
wjqr	1	1	2	1	137	12708	完全 万全	未见其人
njrf	1	0	2	0	138		男人 难忍	
nuli	1	0	2	0	139		努力 奴隶	
jpgo	1	0	2	0	140		结果 接过	
mama	1	0	2	0	141		妈妈 麻麻	
yzdm	1	0	3	0	142		有点 优点 邮电	
vuyi	1	0	4	0	143		注意 主意 主义 逐一	
mkzi	1	0	2	0	144		名字 明子	
yifu	1	0	7	0	145		衣服 依附 一幅 一副 姨夫 姨父 义父	
yzrf	1	0	4	0	146		有人 诱人 友人 游人	
anqr	1	0	1	0	147		安全	
ugri	1	1	1	1	148	10320	生日	瘦骨如柴
likd	1	0	1	0	149		离开	
xxqu	1	0	2	0	150		下去 辖区	
xnui	1	0	7	0	151		小时 消失 消逝 小事 消食 小试 小视	
svrj	1	0	1	0	152		虽然	
bijn	1	0	1	0	153		比较	
viyc	1	0	2	0	154		只要 制药	
turj	1	1	2	1	155	13205	突然 徒然	天上人间
buhc	1	0	1	0	156		不好	
jihv	1	0	5	0	157		机会 集会 忌讳 几回 击毁	
pnll	1	0	1	0	158		漂亮	
veer	1	0	1	0	159		这儿	
yzxp	1	0	1	0	160		有些	
jbxk	1	0	3	0	161		进行 尽兴 金星	
ycqq	1	0	1	0	162		要求	
vfui	1	0	6	0	163		真是 真实 阵势 珍视 诊室 真事	
gcxk	1	0	1	0	164		高兴	
limm	1	0	2	0	165		里面 立面	
ysyr	1	0	1	0	166		永远	
viyz	1	0	3	0	167		只有 挚友 直邮	
cjjx	1	0	1	0	168		参加	
vcpm	1	0	2	0	169		照片 照骗	
zsui	1	0	3	0	170		总是 纵使 宗师	
uehv	1	0	1	0	171		社会	
igww	1	0	3	0	172		成为 称为 称谓	
ruci	1	0	1	0	173		如此	
jtdk	1	0	2	0	174		决定 绝顶	
gssi	1	0	2	0	175		公司 公私	
dmhx	1	0	2	0	176		电话 点化	
viii	1	0	4	0	177		支持 咫尺 智齿 知耻	
jmii	1	0	2	0	178		坚持 减持	
jbnm	1	0	2	0	179		今年 近年	
lcui	1	0	4	0	180		老师 老实 老是 老式	
mauh	1	0	1	0	181		马上	
ugyb	1	0	1	0	182		声音	
naer	1	0	2	0	183		哪儿 那儿	
uzji	1	0	7	0	184		手机 收集 首级 手记 熟记 手迹 首季	
uvjt	1	0	1	0	185		睡觉	
mwtm	1	0	2	0	186		每天 煤田	
jpjt	1	0	2	0	187		解决 孑孓	
iuxm	1	0	2	0	188		出现 出线	
lejp	1	0	2	0	189		了解 了结	
vijp	1	0	3	0	190		直接 肢解 枝节	
dedc	1	0	2	0	192		得到 得道	
qtui	1	0	3	0	193		确实 缺失 却是	
dier	1	0	1	0	194		第二	
rfhe	1	0	3	0	195		任何 人和 仁和	
ruhe	1	0	1	0	196		如何	
bjfa	1	0	2	0	197		办法 颁发	
hryk	1	0	2	0	198		欢迎 幻影	
njdc	1	0	2	0	199		难道 难倒	
kjld	1	0	1	0	200		看来	
yibj	1	0	4	0	201		一般 一半 一瓣 一斑	
zfyh	1	0	1	0	202		怎样	
xldc	1	1	3	1	203	1137	想到 向导 巷道	绚丽多彩
xkfu	1	0	2	0	204		幸福 性福	
zotm	1	0	1	0	205		昨天	
jihx	1	0	3	0	206		计划 激化 极化	
jiuu	1	1	5	1	207	15623	技术 计数 基数 级数 记述	基础设施
qkiu	1	0	2	0	208		清楚 清除	
hods	1	0	1	0	209		活动	
yryi	1	0	3	0	210		愿意 原意 园艺	
hdyc	1	0	2	0	211		还要 海妖	
erzi	1	0	1	0	212		儿子	
buts	1	0	2	0	213		不同 不通	
jbwj	1	1	1	1	214	1186	今晚	举步维艰
yhzi	1	0	3	0	215		样子 养子 扬子	
gfbf	1	0	1	0	216		根本	
jphy	1	0	1	0	217		结婚	
rsyi	1	0	2	0	218		容易 绒衣	
ufti	1	0	2	0	219		身体 审题	
dcdi	1	0	3	0	220		到底 倒地 道地	
jxli	1	0	3	0	221		家里 佳丽 加力	
buxk	1	0	3	0	222		不行 不幸 步行	
bung	1	0	1	0	223		不能	
yiug	1	0	4	0	224		医生 一生 一声 益生	
tzfa	1	0	1	0	225		头发	
vsyu	1	0	4	0	226		终于 忠于 重于 中雨	
tsgo	1	0	1	0	227		通过	
xrze	1	0	1	0	228		选择	
bfld	1	0	1	0	229		本来	
ufuh	1	0	2	0	230		身上 神伤	
jmdc	1	0	4	0	231		见到 剪刀 捡到 尖刀	
dmyk	1	0	2	0	232		电影 点映	
ffvs	1	0	2	0	233		分钟 坟冢	
wjan	1	0	2	0	234		晚安 万安	
navs	1	0	2	0	235		那种 哪种	
zjmf	1	0	1	0	236		咱们	
jkuf	1	0	3	0	237		精神 精深 净身	
dhui	1	0	4	0	238		当时 当世 当事 党史	
yrld	1	0	1	0	239		原来	
zoww	1	0	2	0	240		作为 座位	
qbai	1	0	1	0	241		亲爱	
vgzd	1	0	1	0	242		正在	
wufa	1	0	2	0	243		无法 乌发	
mwge	1	0	2	0	244		每个 每隔	
xqxi	1	0	2	0	245		休息 修习	
tkdc	1	0	1	0	246		听到	
xtug	1	0	1	0	247		学生	
zuvi	1	0	3	0	248		组织 阻止 阻滞	
bnui	1	0	4	0	249		表示 标识 标示 镖师	
lihd	1	0	3	0	250		厉害 利害 里海	
xbli	1	0	3	0	251		心里 心理 心力	
vuyc	1	0	1	0	252		主要	
tkuo	1	0	1	0	253		听说	
bchu	1	0	2	0	254		保护 保户	
yryb	1	1	3	1	255	3762	原因 援引 元音	易燃易爆
iggs	1	0	1	0	256		成功	
ddbn	1	0	1	0	257		代表	
xxci	1	0	2	0	258		下次 瑕疵	
guui	1	1	5	1	259	2704	故事 股市 古诗 古时 固始	鬼使神差
qtdk	1	0	1	0	260		确定	
bisd	1	0	3	0	261		比赛 闭塞 鼻塞	
igui	1	0	6	0	262		城市 诚实 盛世 程式 盛事 成事	
jpuu	1	0	5	0	263		结束 借书 解数 劫数 解暑	
zcuh	1	0	1	0	264		早上	
djxb	1	0	2	0	265		担心 丹心	
lduo	1	0	1	0	266		来说	
bpde	1	0	1	0	267		别的	
hezo	1	0	1	0	268		合作	
jpuz	1	0	4	0	269		接受 接收 接手 解手	
xxwu	1	0	1	0	270		下午	
ykxl	1	0	3	0	271		影响 影像 映像	
xtxi	1	0	1	0	272		学习	
csld	1	0	1	0	273		从来	
ving	1	0	3	0	274		只能 智能 职能	
gjdc	1	0	3	0	275		感到 赶到 干道	
uhbj	1	0	1	0	276		上班	
ycui	1	0	2	0	277		要是 要事	
iule	1	0	2	0	278		除了 出了	
iifj	1	0	1	0	279		吃饭	
fhzi	1	0	2	0	280		房子 方子	
lijp	1	0	4	0	281		理解 礼节 力竭 历届	
kclv	1	0	1	0	282		考虑	
hcii	1	0	2	0	284		好吃 皓齿	
fhfa	1	0	1	0	285		方法	
dasr	1	0	2	0	286		打算 大蒜	
gjxp	1	0	1	0	287		感谢	
rfjx	1	0	1	0	288		人家	
lmxi	1	0	4	0	289		联系 练习 怜惜 联席	
yjjq	1	0	2	0	290		研究 烟酒	
nvhd	1	0	1	0	291		女孩	
gryu	1	0	2	0	292		关于 关羽	
nver	1	0	1	0	293		女儿	
fhmm	1	0	1	0	294		方面	
nmqk	1	0	2	0	295		年轻 年青	
jpjp	1	0	4	0	296		姐姐 结节 结界 节节	
hvda	1	0	1	0	297		回答	
vgih	1	0	2	0	298		正常 整场	
ghgh	1	0	1	0	299		刚刚	
bmig	1	0	6	0	300		变成 编程 贬称 编成 边城 辩称	
fuqb	1	0	2	0	301		父亲 抚琴	
gunl	1	0	1	0	302		姑娘	
cyzd	1	0	1	0	303		存在	
hzld	1	0	1	0	304		后来	
jmvi	1	0	6	0	305		简直 兼职 剪纸 监制 剪枝 建制	
jbqu	1	0	4	0	306		进去 禁区 进取 金曲	
ksvi	1	0	2	0	307		控制 空置	
xits	1	0	1	0	308		系统	
hzmm	1	0	1	0	309		后面	
gege	1	0	4	0	310		哥哥 各个 个个 格格	
dagd	1	0	1	0	312		大概	
muqm	1	0	1	0	313		目前	
bcbw	1	0	2	0	314		宝贝 报备	
wdmm	1	0	1	0	315		外面	
qidd	1	0	2	0	316		期待 脐带	
xsdi	1	0	1	0	317		兄弟	
xnxi	1	0	3	0	318		消息 小溪 小戏	
ngli	1	0	1	0	319		能力	
bhvu	1	0	2	0	320		帮助 帮主	
fhui	1	0	3	0	321		方式 房室 房事	
bugr	1	0	2	0	322		不管 不关	
fuwu	1	1	1	1	323	5203	服务	分身无术
eryi	1	0	2	0	324		而已 二姨	
nabm	1	0	2	0	325		那边 哪边	
gerf	1	0	2	0	326		个人 各人	
vijm	1	0	5	0	327		之间 只见 指尖 质检 质监	
wfhx	1	0	2	0	328		文化 问话	
gdbm	1	0	2	0	329		改变 改编	
jurj	1	0	1	0	330		居然	
vfvg	1	0	1	0	331		真正	
vgge	1	0	2	0	333		整个 正割	
iuli	1	0	3	0	334		处理 矗立 出力	
qunm	1	0	1	0	335		去年	
bnxm	1	0	2	0	336		表现 标线	
fhjm	1	0	2	0	337		房间 坊间	
dgdg	1	0	1	0	338		等等	
hdpa	1	0	1	0	339		害怕	
kelm	1	0	1	0	340		可怜	
fjvg	1	0	2	0	341		反正 反证	
rfvf	1	0	1	0	342		认真	
mkxm	1	1	1	1	343	4993	明显	马克西姆
ghcd	1	0	2	0	344		刚才 钢材	
dvyu	1	0	1	0	345		对于	
tcyj	1	0	1	0	346		讨厌	
jkji	1	0	5	0	347		经济 竞技 荆棘 经纪 静寂	
jtdv	1	0	1	0	348		绝对	
uizd	1	0	2	0	349		实在 史载	
jmdj	1	0	3	0	350		简单 煎蛋 减淡	
jkih	1	0	2	0	351		经常 警长	
bcii	1	0	1	0	352		保持	
wjig	1	0	2	0	353		完成 晚成	
hcdo	1	0	2	0	354		好多 豪夺	
jqyc	1	0	2	0	355		就要 酒肴	
ufvi	1	0	5	0	356		甚至 深知 神智 神志 伸直	
daxt	1	0	2	0	357		大学 大雪	
yudc	1	0	1	0	358		遇到	
jpuc	1	0	1	0	359		介绍	
xkds	1	0	1	0	360		行动	
jpui	1	0	8	0	361		解释 结实 节食 届时 揭示 结识 街市 结石	
buys	1	0	1	0	362		不用	
rfyr	1	1	2	1	363	573	人员 人缘	日复一日
rfug	1	0	2	0	364		人生 人声	
tsui	1	0	5	0	365		同时 同事 痛失 通史 通识	
rfwu	1	0	2	0	366		任务 人物	
xnxb	1	0	2	0	367		小心 孝心	
yibm	1	0	4	0	368		一边 以便 一遍 异变	
yyds	1	1	1	2	369	4973	运动	以一当十 以一敌三
zdjm	1	0	2	0	370		再见 在建	
hvdc	1	0	2	0	371		回到 挥刀	
rfmf	1	0	1	0	372		人们	
yzxi	1	0	3	0	373		游戏 有戏 有喜	
viuc	1	0	1	0	374		至少	
jmkh	1	0	2	0	375		健康 肩扛	
yzde	1	0	4	0	376		有的 由得 又得 有得	
uixm	1	0	5	0	377		实现 事先 视线 时限 市县	
ufbm	1	0	2	0	378		身边 申辩	
jmyi	1	0	4	0	379		建议 简易 坚毅 检疫	
yjvs	1	1	3	1	380	9075	严重 眼中 言重	一己之私
uhmm	1	0	1	0	381		上面	
guji	1	0	7	0	382		估计 顾忌 顾及 孤寂 古迹 古籍 痼疾	
yiyr	1	0	9	0	383		医院 意愿 一元 议员 一员 遗愿 议院 译员 沂源	
bcvg	1	0	2	0	384		保证 暴政	
jive	1	0	2	0	385		记者 记着	
uhdi	1	1	2	1	386	16806	上帝 上地	社会调查
liui	1	0	10	0	387		历史 离世 历时 理事 力士 立时 立誓 里氏 砾石 离石	
tsku	1	0	2	0	388		痛苦 痛哭	
veci	1	0	1	0	389		这次	
nihc	1	0	1	0	390		你好	
hcjq	1	0	2	0	391		好久 好酒	
zirj	1	0	3	0	392		自然 孜然 自燃	
fwji	1	0	2	0	393		飞机 斐济	
uiui	1	0	21	0	394		试试 事实 实施 实时 世事 实事 逝世 时时 适时 史诗 时事 失事 史实 事事 石狮 失实 时势 十时 誓师 诗史 失势	
mafj	1	0	1	0	395		麻烦	
rizi	1	0	2	0	396		日子 日资	
qigk	1	0	1	0	397		奇怪	
natm	1	0	2	0	398		那天 哪天	
jnyu	1	0	1	0	399		教育	
yzgr	1	0	3	0	400		有关 油管 油罐	
tsvi	1	0	4	0	401		同志 通知 统治 铜质	
icji	1	0	2	0	402		超级 炒鸡	
zowj	1	0	2	0	403		昨晚 做完	
wwld	1	0	1	0	404		未来	
xbqk	1	0	1	0	405		心情	
mubn	1	0	1	0	406		目标	
jibf	1	1	1	1	407	752	基本	家常便饭
cgjk	1	0	1	0	408		曾经	
nggz	1	0	1	0	409		能够	
grvu	1	0	3	0	410		关注 灌注 贯注	
kepa	1	0	1	0	411		可怕	
ugmk	1	0	4	0	412		生命 声明 声名 圣明	
uomk	1	0	1	0	413		说明	
jkia	1	0	3	0	414		警察 惊诧 经查	
vebm	1	0	1	0	415		这边	
jbld	1	0	2	0	416		进来 近来	
qrgo	1	0	1	0	417		全国	
yiyi	1	0	7	0	418		意义 一亿 异议 一一 依依 疑义 意译	
tsyi	1	0	4	0	419		同意 统一 同一 同义	
qrbu	1	0	1	0	420		全部	
uihe	1	0	1	0	421		适合	
vgmk	1	0	3	0	422		证明 正名 争鸣	
mwui	1	0	3	0	423		没事 美食 美事	
gevs	1	0	1	0	424		各种	
biye	1	0	2	0	425		毕业 碧叶	
vzmo	1	0	1	0	426		周末	
qivs	1	0	4	0	427		其中 期中 器重 起重	
xbxi	1	0	3	0	428		信息 欣喜 心细	
lill	1	0	1	0	429		力量	
bwjk	1	0	2	0	430		北京 背景	
jpmu	1	0	2	0	431		节目 揭幕	
tdtd	1	0	1	0	432		太太	
buff	1	0	3	0	433		部分 不分 不忿	
sihu	1	0	1	0	434		似乎	
xmih	1	0	3	0	435		现场 县长 纤长	
hrjk	1	0	3	0	436		环境 幻境 幻景	
svbm	1	0	1	0	437		随便	
whji	1	0	2	0	438		忘记 旺季	
uzdc	1	0	2	0	439		收到 受到	
grxb	1	0	1	0	440		关心	
vcgu	1	0	2	0	441		照顾 招股	
ugqi	1	0	3	0	442		生气 升起 升旗	
mwci	1	0	2	0	444		每次 没词	
fhqi	1	0	2	0	445		放弃 房契	
gjqk	1	0	2	0	446		感情 敢情	
buvi	1	0	6	0	447		不知 不止 布置 不只 不致 不值	
yiji	1	0	8	0	448		以及 一级 遗迹 异己 一击 乙级 艺妓 依纪	
mjmj	1	0	3	0	449		慢慢 满满 漫漫	
hoxu	1	0	1	0	450		或许	
ziyz	1	0	3	0	451		自由 自有 自幼	
vsxb	1	0	5	0	452		重新 中心 重心 衷心 忠心	
wwyi	1	0	8	0	453		唯一 位移 惟一 尾翼 偎依 卫衣 逶迤 威仪	
dakd	1	0	1	0	454		打开	
uifz	1	0	1	0	455		是否	
xlfa	1	0	1	0	456		想法	
sixl	1	0	2	0	457		思想 思乡	
goji	1	0	4	0	458		国际 国籍 过激 过继	
xlqi	1	0	4	0	459		想起 响起 象棋 香气	
jxtk	1	0	1	0	460		家庭	
vsdm	1	0	4	0	461		重点 终点 钟点 中点	
fumu	1	0	1	0	462		父母	
hehe	1	0	2	0	463		呵呵 赫赫	
uiqu	1	0	5	0	464		失去 市区 逝去 时区 识趣	
jbru	1	0	2	0	465		进入 浸入	
mwli	1	0	3	0	466		美丽 魅力 没理	
vrye	1	0	2	0	467		专业 转业	
jihu	1	0	2	0	468		几乎 疾呼	
lcpo	1	0	1	0	469		老婆	
deqt	1	0	1	0	470		的确	
mwmw	1	0	4	0	471		妹妹 美美 每每 美眉	
mmqm	1	1	4	1	472	70	面前 免签 棉签 面签	莫名其妙
buzd	1	0	2	0	473		不再 不在	
vide	1	0	2	0	474		值得 只得	
jxho	1	0	3	0	475		家伙 嫁祸 假货	
tigs	1	0	2	0	476		提供 替工	
grjm	1	0	2	0	477		关键 管件	
side	1	0	1	0	478		似的	
dojq	1	0	1	0	479		多久	
hfkk	1	0	1	0	480		很快	
mwhc	1	0	2	0	481		美好 煤耗	
uiys	1	0	6	0	482		使用 实用 试用 适用 食用 施用	
ffuz	1	0	1	0	483		分手	
viln	1	0	1	0	484		治疗	
fuze	1	0	3	0	485		负责 福泽 附则	
anpd	1	0	1	0	486		安排	
dmui	1	0	2	0	487		电视 电势	
ueji	1	0	4	0	488		设计 涉及 射击 社稷	
xbwf	1	0	2	0	489		新闻 欣闻	
furf	1	0	4	0	490		夫人 妇人 富人 赴任	
jkyj	1	0	2	0	491		经验 惊艳	
tmqi	1	0	4	0	492		天气 田契 天启 田七	
jbvh	1	0	2	0	493		紧张 进账	
dome	1	0	1	0	494		多么	
xlxl	1	0	6	0	495		想想 想象 相像 想像 相向 湘乡	
liwu	1	0	2	0	496		礼物 里屋	
gjjb	1	0	2	0	497		赶紧 干劲	
goig	1	0	2	0	498		过程 过秤	
yijm	1	0	4	0	499		意见 一键 一件 一间	
yukk	1	0	1	0	500		愉快	
phbm	1	0	1	0	501		旁边	
tsxt	1	0	1	0	502		同学	
lcbj	1	0	3	0	503		老板 老伴 老班	
jmia	1	0	3	0	504		检查 监察 检察	
jkli	1	0	6	0	505		经历 经理 精力 敬礼 警力 晶粒	
aiqk	1	0	2	0	506		爱情 爱卿	
ldzi	1	1	2	1	507	10725	来自 癞子	流动资产
disj	1	0	1	0	508		第三	
xxmm	1	1	1	1	509	4447	下面	寻寻觅觅
wwda	1	0	1	0	511		伟大	
csmk	1	0	2	0	512		聪明 从命	
zodc	1	0	2	0	513		做到 坐到	
jkrj	1	0	2	0	514		竟然 井然	
zoys	1	0	2	0	515		作用 坐拥	
nvug	1	0	2	0	516		女生 女声	
bnqk	1	0	2	0	517		表情 标清	
uufu	1	0	3	0	518		舒服 束缚 叔父	
xkqi	1	0	5	0	519		星期 兴起 刑期 腥气 行乞	
burj	1	0	1	0	520		不然	
yble	1	0	1	0	521		音乐	
ddld	1	1	1	1	522	14770	带来	党的领导
xkqu	1	0	1	0	523		兴趣	
lkwd	1	0	1	0	524		另外	
bcgc	1	0	1	0	525		报告	
gjuz	1	1	2	1	526	15180	感受 干瘦	干劲十足
lqxx	1	0	2	0	527		留下 流下	
xngo	1	0	2	0	528		效果 小国	
luuh	1	0	2	0	529		路上 陆上	
lmuh	1	0	1	0	530		脸上	
bkqp	1	0	1	0	531		并且	
dciu	1	0	2	0	532		到处 导出	
bcdc	1	0	5	0	533		报道 报到 报导 宝刀 宝岛	
jkgo	1	0	1	0	534		经过	
diqu	1	0	1	0	535		地区	
uiih	1	0	7	0	536		市场 时常 市长 师长 失常 时长 试唱	
ysyz	1	0	2	0	537		拥有 用油	
biyc	1	0	3	0	538		必要 辟谣 碧瑶	
xlmu	1	0	2	0	539		项目 橡木	
zduo	1	0	2	0	540		再说 在说	
wwdc	1	0	1	0	541		味道	
tigc	1	0	1	0	542		提高	
xbku	1	0	1	0	543		辛苦	
buuc	1	0	1	0	544		不少	
dmnc	1	0	1	0	545		电脑	
igrf	1	0	2	0	546		承认 成人	
yali	1	0	3	0	547		压力 鸭梨 雅丽	
hcji	1	0	3	0	548		好几 好极 好记	
bcqm	1	0	1	0	549		抱歉	
rjer	1	0	1	0	550		然而	
wwxm	1	0	3	0	551		危险 违宪 纬线	
uhqu	1	1	1	1	552	2450	上去	神乎其神
rflw	1	0	1	0	553		人类	
xmui	1	0	11	0	555		现实 显示 限时 先是 闲事 现世 现时 闲适 县市 闲时 咸湿	
uvpk	1	0	2	0	556		水平 水瓶	
kcui	1	0	1	0	557		考试	
bumf	1	0	1	0	558		部门	
yuui	1	0	6	0	559		于是 浴室 预示 玉石 雨势 御史	
bcbc	1	1	4	1	560	13747	宝宝 抱抱 包包 薄薄	彼此彼此
tnjm	1	0	2	0	561		条件 挑拣	
vltd	1	0	1	0	562		状态	
uidd	1	1	2	1	563	4613	时代 世代	说长道短
xmmu	1	0	1	0	564		羡慕	
dvxl	1	0	1	0	565		对象	
bugz	1	0	2	0	566		不够 不苟	
zerf	1	0	1	0	567		责任	
qmmm	1	0	1	0	568		前面	
jpve	1	0	2	0	569		接着 借着	
qkwf	1	0	2	0	570		请问 轻吻	
wojx	1	0	1	0	571		我家	
xudo	1	0	1	0	572		许多	
tmtm	1	0	2	0	573		天天 甜甜	
jiui	1	0	16	0	574		即使 及时 几十 集市 几时 急事 计时 即时 纪实 记事 基石 技师 纪事 机师 既是 疾驶	
gfju	1	1	1	1	575	15121	根据	国防建设
grli	1	0	4	0	576		管理 官吏 惯例 观礼	
wwvi	1	0	3	0	577		位置 为止 未知	
tdyh	1	0	1	0	578		太阳	
bnyj	1	0	1	0	579		表演	
qiye	1	0	2	0	580		企业 起夜	
fjyk	1	0	2	0	581		反应 反映	
jirj	1	0	2	0	582		既然 寂然	
uhhd	1	1	3	1	583	326	伤害 上海 商海	社会活动
kext	1	0	1	0	584		科学	
wuln	1	0	2	0	585		无聊 物料	
budr	1	0	2	0	586		不断 不端	
ggjx	1	0	1	0	587		更加	
uiff	1	0	2	0	588		十分 时分	
hvyi	1	0	3	0	589		会议 回忆 会意	
uiye	1	0	5	0	590		事业 失业 视野 实业 师爷	
xbnm	1	0	2	0	591		新年 信念	
yzui	1	0	8	0	592		有时 优势 有事 又是 有失 幼师 幼时 诱使	
