行号	词	词频	原拼音	辅助拼音	词典读音	简单鹤	鲸凉鹤	采用	依据	问题
136	开始	32126	kai1 shi3	kaishi	kai1 shi3	kai shi	kai shi	kai shi	简单鹤与鲸凉鹤去飞键后一致	
137	帮	31793	bang1	bang	bang1			bang	整词词典与原始音节一致	
138	打	31223	da2/da3	da	da2 | da3			da	整词词典与原始音节一致	
139	爱	31122	ai4	ai	ai4			ai	整词词典与原始音节一致	
140	带	31069	dai4	dai	dai4			dai	整词词典与原始音节一致	
141	时间	30703	shi2 jian1	shijian	shi2 jian1	shi jian	shi jian	shi jian	简单鹤与鲸凉鹤去飞键后一致	
142	年	30648	nian2	nian	nian2			nian	整词词典与原始音节一致	
143	请	30598	qing3	qing	qing3			qing	整词词典与原始音节一致	
144	回	30259	hui2	hui	hui2			hui	整词词典与原始音节一致	
145	工作	30191	gong1 zuo4	gongzuo	gong1 zuo4	gong zuo	gong zuo	gong zuo	简单鹤与鲸凉鹤去飞键后一致	
146	然后	29752	ran2 hou4	ranhou	ran2 hou4	ran hou	ran hou	ran hou	简单鹤与鲸凉鹤去飞键后一致	
147	当	29619	dang1/dang4	dang	dang1 | dang4			dang	整词词典与原始音节一致	
148	见	29340	jian4/xian4	jian	jian4 | xian4			进入单字公共池	历史单字人工/比例裁决单独记账（不是上下文实测）	重复行合计后仅应用一次
149	钱	29221	qian2	qian	qian2			qian	整词词典与原始音节一致	
150	噢	29190	o1	o	o1			o	整词词典与原始音节一致	
151	一样	28861	yi1 yang4	yiyang	yi1 yang4	yi yang	yi yang	yi yang	简单鹤与鲸凉鹤去飞键后一致	
152	事情	28176	shi4 qing2	shiqing	shi4 qing2	shi qing	shi qing	shi qing	简单鹤与鲸凉鹤去飞键后一致	
153	就是	28137	jiu4 shi4	jiushi	jiu4 shi4	jiu shi	jiu shi	jiu shi	简单鹤与鲸凉鹤去飞键后一致	
154	吃	27913	chi1	chi	chi1			chi	整词词典与原始音节一致	
155	所有	27749	suo3 you3	suoyou	suo3 you3	suo you	suo you	suo you	简单鹤与鲸凉鹤去飞键后一致	
156	开	27382	kai1	kai	kai1			kai	整词词典与原始音节一致	
157	一下	27171	yi1 xia4	yixia	yi1 xia4	yi xia	yi xia	yi xia	简单鹤与鲸凉鹤去飞键后一致	
158	家	27026	jia1/jia5/jie5	jia	jia1 | jia5			进入单字公共池	历史单字人工/比例裁决单独记账（不是上下文实测）	重复行合计后仅应用一次
159	非常	26976	fei1 chang2	feichang	fei1 chang2	fei chang	fei chang	fei chang	简单鹤与鲸凉鹤去飞键后一致	
160	看到	26783	kan4 dao4	kandao	kan4 dao4	kan dao	kan dao	kan dao	简单鹤与鲸凉鹤去飞键后一致	
161	希望	26658	xi1 wang4	xiwang	xi1 wang4	xi wang	xi wang	xi wang	简单鹤与鲸凉鹤去飞键后一致	
162	那些	26450	na4 xie1	naxie	na4 xie1	na xie	na xie	na xie	简单鹤与鲸凉鹤去飞键后一致	
163	哪	26385	na3/na5/nai3/ne2/nei3	na	na3 | na5 | ne2			进入单字公共池	历史单字人工/比例裁决单独记账（不是上下文实测）	重复行合计后仅应用一次
164	当然	26313	dang1 ran2	dangran	dang1 ran2	dang ran	dang ran	dang ran	简单鹤与鲸凉鹤去飞键后一致	
165	也许	26083	ye3 xu3	yexu	ye3 xu3	ye xu	ye xu	ye xu	简单鹤与鲸凉鹤去飞键后一致	
166	行	26032	hang2/hang4/heng2/xing2	xing	hang2 | heng2 | xing2			进入单字公共池	历史单字人工/比例裁决单独记账（不是上下文实测）	重复行合计后仅应用一次
167	朋友	26017	peng2 you5	pengyou	peng2 you3	peng you	peng you	peng you	简单鹤与鲸凉鹤去飞键后一致	
168	妈妈	25730	ma1 ma5	mama	ma1 ma1	ma ma	ma ma	ma ma	简单鹤与鲸凉鹤去飞键后一致	
169	相信	25699	xiang1 xin4	xiangxin	xiang1 xin4	xiang xin	xiang xin	xiang xin	简单鹤与鲸凉鹤去飞键后一致	
170	前	25613	qian2	qian	qian2			qian	整词词典与原始音节一致	
171	嗨	25335	hai1/hei1	hai	hai1			进入单字公共池	历史单字人工/比例裁决单独记账（不是上下文实测）	重复行合计后仅应用一次
172	认为	25294	ren4 wei2	renwei	ren4 wei2	ren wei	ren wei	ren wei	简单鹤与鲸凉鹤去飞键后一致	
173	将	24946	jiang1/jiang4/qiang1	jiang	jiang1 | jiang4			进入单字公共池	历史单字人工/比例裁决单独记账（不是上下文实测）	重复行合计后仅应用一次
174	这儿	24824	zhe4 r5	zheer		zhe er	zhe er	zhe er	简单鹤与鲸凉鹤去飞键后一致	
175	今天	24750	jin1 tian1	jintian	jin1 tian1	jin tian	jin tian	jin tian	简单鹤与鲸凉鹤去飞键后一致	
176	明白	24744	ming2 bai5	mingbai	ming2 bai2	ming bai	ming bai	ming bai	简单鹤与鲸凉鹤去飞键后一致	
177	一直	24551	yi1 zhi2	yizhi	yi1 zhi2	yi zhi	yi zhi	yi zhi	简单鹤与鲸凉鹤去飞键后一致	
178	看看	24319	kan4 kan5	kankan	kan4 kan4	kan kan	kan kan	kan kan	简单鹤与鲸凉鹤去飞键后一致	
179	车	23974	che1/ju1	che	che1 | ju1			进入单字公共池	历史单字人工/比例裁决单独记账（不是上下文实测）	重复行合计后仅应用一次
180	时	23472	shi2	shi	shi2			shi	整词词典与原始音节一致	
181	杀	23405	sha1	sha	sha1			sha	整词词典与原始音节一致	
182	地方	23358	di4 fang5	difang	di4 fang1	di fang	di fang	di fang	简单鹤与鲸凉鹤去飞键后一致	
183	不过	23333	bu4 guo4	buguo	bu4 guo4	bu guo	bu guo	bu guo	简单鹤与鲸凉鹤去飞键后一致	
184	呃	22734	e4/e5	e	e4 | e5			e	整词词典与原始音节一致	
185	发生	22602	fa1 sheng1	fasheng	fa1 sheng1	fa sheng	fa sheng	fa sheng	简单鹤与鲸凉鹤去飞键后一致	
186	几	22431	ji1/ji3	ji	ji1 | ji3			ji	整词词典与原始音节一致	
187	回来	22423	hui2 lai5	huilai	hui2 lai2	hui lai	hui lai	hui lai	简单鹤与鲸凉鹤去飞键后一致	
188	准备	22202	zhun3 bei4	zhunbei	zhun3 bei4	zhun bei	zhun bei	zhun bei	简单鹤与鲸凉鹤去飞键后一致	
189	找到	22128	zhao3 dao4	zhaodao	zhao3 dao4	zhao dao	zhao dao	zhao dao	简单鹤与鲸凉鹤去飞键后一致	
190	后	22018	hou4	hou	hou4			hou	整词词典与原始音节一致	
191	爸爸	21930	ba4 ba5	baba	ba4 ba4	ba ba	ba ba	ba ba	简单鹤与鲸凉鹤去飞键后一致	
192	一切	21709	yi1 qie4	yiqie	yi1 qie4	yi qie	yi qie	yi qie	简单鹤与鲸凉鹤去飞键后一致	
193	抱歉	21563	bao4 qian4	baoqian	bao4 qian4	bao qian	bao qian	bao qian	简单鹤与鲸凉鹤去飞键后一致	
194	比	21371	bi3	bi	bi3			bi	整词词典与原始音节一致	
195	感觉	21315	gan3 jue2	ganjue	gan3 jue2	gan jue	gan jue	gan jue	简单鹤与鲸凉鹤去飞键后一致	
196	些	21286	xie1	xie	xie1			xie	整词词典与原始音节一致	
197	只是	21213	zhi3 shi4	zhishi	zhi3 shi4	zhi shi	zhi shi	zhi shi	简单鹤与鲸凉鹤去飞键后一致	
198	怎么样	20986	zen3 me5 yang4	zenmeyang	zen3 me5 yang4			zen me yang	整词词典与原始音节一致	
199	出来	20938	chu1 lai2	chulai	chu1 lai2	chu lai	chu lai	chu lai	简单鹤与鲸凉鹤去飞键后一致	
200	不要	20679	bu4 yao4	buyao	bu4 yao4	bu yao	bu yao	bu yao	简单鹤与鲸凉鹤去飞键后一致	
201	对不起	20548	dui4 bu5 qi3	duibuqi	dui4 bu4 qi3			dui bu qi	整词词典与原始音节一致	
202	问	20455	wen4	wen	wen4			wen	整词词典与原始音节一致	
203	离开	20359	li2 kai1	likai	li2 kai1	li kai	li kai	li kai	简单鹤与鲸凉鹤去飞键后一致	
204	一点	20342	yi1 dian3	yidian	yi1 dian3	yi dian	yi dian	yi dian	简单鹤与鲸凉鹤去飞键后一致	
205	一定	20273	yi1 ding4	yiding	yi1 ding4	yi ding	yi ding	yi ding	简单鹤与鲸凉鹤去飞键后一致	
206	起	20231	qi3	qi	qi3			qi	整词词典与原始音节一致	
207	还是	19998	hai2 shi4	huanshi	hai2 shi4	hai shi	hai shi	hai shi	简单鹤与鲸凉鹤去飞键后一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
208	发现	19774	fa1 xian4	faxian	fa1 xian4	fa xian	fa xian	fa xian	简单鹤与鲸凉鹤去飞键后一致	
209	所	19715	suo3	suo	suo3			suo	整词词典与原始音节一致	
210	住	19602	zhu4	zhu	zhu4			zhu	整词词典与原始音节一致	
211	件	19568	jian4	jian	jian4			jian	整词词典与原始音节一致	
212	正	19536	zheng1/zheng4	zheng	zheng1 | zheng4			zheng	整词词典与原始音节一致	
213	而且	19404	er2 qie3	erqie	er2 qie3	er qie	er qie	er qie	简单鹤与鲸凉鹤去飞键后一致	
214	并	19394	bing1/bing4	bing	bing1 | bing4			bing	整词词典与原始音节一致	
215	必须	19320	bi4 xu1	bixu	bi4 xu1	bi xu	bi xu	bi xu	简单鹤与鲸凉鹤去飞键后一致	
216	意思	19239	yi4 si5	yisi	yi4 si1	yi si	yi si	yi si	简单鹤与鲸凉鹤去飞键后一致	
217	放	19099	fang4	fang	fang4			fang	整词词典与原始音节一致	
218	不错	18930	bu4 cuo4	bucuo	bu4 cuo4	bu cuo	bu cuo	bu cuo	简单鹤与鲸凉鹤去飞键后一致	
219	肯定	18531	ken3 ding4	kending	ken3 ding4	ken ding	ken ding	ken ding	简单鹤与鲸凉鹤去飞键后一致	
220	电话	18374	dian4 hua4	dianhua	dian4 hua4	dian hua	dian hua	dian hua	简单鹤与鲸凉鹤去飞键后一致	
221	为了	18274	wei4 le5	weiliao	wei4 le5	wei le	wei le	wei le	简单鹤与鲸凉鹤去飞键后一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
222	搞	18263	gao3	gao	gao3			gao	整词词典与原始音节一致	
223	棒	18253	bang4	bang	bang4			bang	整词词典与原始音节一致	
224	第一	18192	di4 yi1	diyi	di4 yi1	di yi	di yi	di yi	简单鹤与鲸凉鹤去飞键后一致	
225	妈	18110	ma1	ma	ma1			ma	整词词典与原始音节一致	
226	地	18009	de5/di4	di	de5 | di4			进入单字公共池	历史单字人工/比例裁决单独记账（不是上下文实测）	重复行合计后仅应用一次
227	进	17634	jin4	jin	jin4			jin	整词词典与原始音节一致	
228	那样	17495	na4 yang4	nayang	na4 yang4	na yang	na yang	na yang	简单鹤与鲸凉鹤去飞键后一致	
229	大家	17458	da4 jia1	dajia	da4 jia1	da jia	da jia	da jia	简单鹤与鲸凉鹤去飞键后一致	
230	新	17291	xin1	xin	xin1			xin	整词词典与原始音节一致	
231	您	17279	nin2	nin	nin2			nin	整词词典与原始音节一致	
232	向	17219	xiang4	xiang	xiang4			xiang	整词词典与原始音节一致	
233	一些	17133	yi1 xie1	yixie	yi1 xie1	yi xie	yi xie	yi xie	简单鹤与鲸凉鹤去飞键后一致	
234	三	16916	san1	san	san1			san	整词词典与原始音节一致	
235	那里	16783	na4 li5	nali	na4 li3	na li	na li	na li	简单鹤与鲸凉鹤去飞键后一致	
236	以为	16582	yi3 wei2	yiwei	yi3 wei2	yi wei	yi wei	yi wei	简单鹤与鲸凉鹤去飞键后一致	
237	高兴	16480	gao1 xing4	gaoxing	gao1 xing4	gao xing	gao xing	gao xing	简单鹤与鲸凉鹤去飞键后一致	
238	嘛	16472	ma5	ma	ma5			ma	整词词典与原始音节一致	
239	老	16451	lao3	lao	lao3			lao	整词词典与原始音节一致	
240	位	16368	wei4	wei	wei4			wei	整词词典与原始音节一致	
241	过来	16223	guo4 lai2	guolai	guo4 lai2	guo lai	guo lai	guo lai	简单鹤与鲸凉鹤去飞键后一致	
242	掉	16141	diao4	diao	diao4			diao	整词词典与原始音节一致	
243	先	16060	xian1	xian	xian1			xian	整词词典与原始音节一致	
244	等等	15921	deng3 deng3	dengdeng	deng3 deng3	deng deng	deng deng	deng deng	简单鹤与鲸凉鹤去飞键后一致	
245	生活	15918	sheng1 huo2	shenghuo	sheng1 huo2	sheng huo	sheng huo	sheng huo	简单鹤与鲸凉鹤去飞键后一致	
246	之	15804	zhi1	zhi	zhi1			zhi	整词词典与原始音节一致	
247	买	15766	mai3	mai	mai3			mai	整词词典与原始音节一致	
248	种	15716	chong2/zhong3/zhong4	zhong	chong2 | zhong3 | zhong4			进入单字公共池	历史单字人工/比例裁决单独记账（不是上下文实测）	重复行合计后仅应用一次
249	医生	15679	yi1 sheng1	yisheng	yi1 sheng1	yi sheng	yi sheng	yi sheng	简单鹤与鲸凉鹤去飞键后一致	
250	最后	15200	zui4 hou4	zuihou	zui4 hou4	zui hou	zui hou	zui hou	简单鹤与鲸凉鹤去飞键后一致	
251	之前	15187	zhi1 qian2	zhiqian	zhi1 qian2	zhi qian	zhi qian	zhi qian	简单鹤与鲸凉鹤去飞键后一致	
252	伙计	15063	huo3 ji4	huoji	huo3 ji4	huo ji	huo ji	huo ji	简单鹤与鲸凉鹤去飞键后一致	
253	手	15010	shou3	shou	shou3			shou	整词词典与原始音节一致	
254	任何	14918	ren4 he2	renhe	ren4 he2	ren he	ren he	ren he	简单鹤与鲸凉鹤去飞键后一致	
255	很多	14874	hen3 duo1	henduo	hen3 duo1	hen duo	hen duo	hen duo	简单鹤与鲸凉鹤去飞键后一致	
256	哪儿	14873	na3 r5	naer	na3 er5	na er	na er	na er	简单鹤与鲸凉鹤去飞键后一致	
