行号	词	词频	原拼音	辅助拼音	词典读音	简单鹤	鲸凉鹤	采用	依据	问题
2879	主角	791	zhu3 jue2	zhujiao	zhu3 jue2	zhu jue	zhu jue	zhu jue	简单鹤与鲸凉鹤去飞键后一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
2905	睡着	782	shui4 zhao2	shuizhuo	shui4 zhe5	shui zhao	shui zhao | shui zhe	shui zhao	简单鹤与鲸凉鹤去飞键后一致	原始两拼音字段矛盾；整词词典与原始拼音矛盾；整词词典与辅助拼音矛盾；两鹤一致但Chai不同
2909	有着	781	you3 zhe5	youzhuo	you3 zhe5	you zhe	you zhe	you zhe	简单鹤与鲸凉鹤去飞键后一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
3025	穿着	737	chuan1 zhuo2	chuanzhuo	chuan1 zhuo2	chuan zhe | chuan zhuo	chuan zhe | chuan zhuo	chuan zhuo	原始音节与Chai一致且获两参考支持；兼容异读未当频次	参考含多个读音；未均摊词频
3066	暴露	722	bao4 lu4	baolu	bao4 lu4	bao lou | bao lu	bao lou | bao lu	bao lu	原始音节与Chai一致且获两参考支持；兼容异读未当频次	参考含多个读音；未均摊词频
3095	探长	712	tan4 chang2/zhang3	tanchang	tan4 zhang3	tan zhang	tan zhang	tan zhang	整词人工裁决	整词词典与辅助拼音矛盾
3105	随着	709	sui2 zhe5	suizhuo	sui2 zhe5	sui zhe	sui zhe	sui zhe	简单鹤与鲸凉鹤去飞键后一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
3124	跟着	704	gen1 zhe5	genzhuo	gen1 zhe5	gen zhe	gen zhe	gen zhe	简单鹤与鲸凉鹤去飞键后一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
3249	虐待	669	nu:e4 dai4	nuedai	nve4 dai4	nve dai	nve dai	nve dai	简单鹤与鲸凉鹤去飞键后一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
3288	可恶	657	ke3 wu4	kee	ke3 wu4	ke wu	ke wu	ke wu	简单鹤与鲸凉鹤去飞键后一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
3321	投降	648	tou2 xiang2	toujiang	tou2 xiang2	tou xiang	tou xiang	tou xiang	简单鹤与鲸凉鹤去飞键后一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
3355	策略	639	ce4 lu:e4	celue	ce4 lve4	ce lve	ce lve	ce lve	简单鹤与鲸凉鹤去飞键后一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
3522	陷阱	599	xian4 jing3	xianjin	xian4 jing3	xian jing	xian jing	xian jing	简单鹤与鲸凉鹤去飞键后一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
3529	来着	598	lai2 zhe5	laizhuo	lai2 zhe5	lai zhe	lai zhe	lai zhe	简单鹤与鲸凉鹤去飞键后一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
3742	用不着	556	yong4 bu5 zhao2	yongbuzhuo	yong4 bu4 zhao2			yong bu zhao	整词词典与原始音节一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
3805	非得	544	fei1 de2/de5/dei3	feidei	fei1 dei3	fei de | fei dei	fei de | fei dei	待分配	参考异读无法消歧；待分配	两份参考不能唯一确定
3862	着呢	534	zhao1/zhao2/zhe5/zhuo2 na4/ne4/ne5/ni2	zhuone	zhe5 ne5	zhe ne	zhe ne	zhe ne	简单鹤与鲸凉鹤去飞键后一致	整词词典与辅助拼音矛盾
3864	给予	534	ji3 yu3	geiyu	ji3 yu3	gei yu | ji yu	gei yu | ji yu	ji yu	原始音节与Chai一致且获两参考支持；兼容异读未当频次	原始两拼音字段矛盾；整词词典与辅助拼音矛盾；参考含多个读音；未均摊词频
3891	一模一样	528	yi1 mo2 yi1 yang4	yimoyiyang	yi1 mu2 yi1 yang4			待分配	证据不足或仍冲突；待分配	整词词典与原始拼音矛盾；整词词典与辅助拼音矛盾
3919	得了	522	de2 le5	dele	de2 le5	de le | de liao	de le | de liao	de le	原始音节与Chai一致且获两参考支持；兼容异读未当频次	参考含多个读音；未均摊词频
3921	着火	522	zhao2 huo3	zhuohuo	zhao2 huo3	zhao huo	zhao huo	zhao huo	简单鹤与鲸凉鹤去飞键后一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
4044	沿着	503	yan2 zhe5	yanzhuo	yan2 zhe5	yan zhe	yan zhe	yan zhe	简单鹤与鲸凉鹤去飞键后一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
4060	忽略	499	hu1 lu:e4	hulue	hu1 lve4	hu lve	hu lve	hu lve	简单鹤与鲸凉鹤去飞键后一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
4204	行业	475	hang2 ye4	xingye	hang2 ye4	hang ye	hang ye	hang ye	简单鹤与鲸凉鹤去飞键后一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
4259	佛罗里达	464	fu2 luo2 li3 da2	foluolida	fo2 luo2 li3 da2			fo luo li da	整词词典与辅助字段一致；修正原始音节	原始两拼音字段矛盾；整词词典与原始拼音矛盾
4373	州长	447	zhou1 zhang3	zhouchang	zhou1 zhang3	zhou zhang	zhou zhang	zhou zhang	简单鹤与鲸凉鹤去飞键后一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
4385	泄露	445	xie4 lou4	xielu	xie4 lou4	xie lou | xie lu	xie lou | xie lu	xie lou	原始音节与Chai一致且获两参考支持；兼容异读未当频次	原始两拼音字段矛盾；整词词典与辅助拼音矛盾；参考含多个读音；未均摊词频
4415	重建	442	chong2 jian4	zhongjian	chong2 jian4	chong jian	chong jian	chong jian	简单鹤与鲸凉鹤去飞键后一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
4528	音乐会	427	yin1 yue4 hui4	yinlehui	yin1 yue4 hui4			yin yue hui	整词词典与原始音节一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
4549	对了	424	dui4 le5	duiliao	dui4 le5	dui le	dui le	dui le	简单鹤与鲸凉鹤去飞键后一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
4660	厌恶	409	yan4 wu4	yane	yan4 wu4	yan e | yan wu	yan e | yan wu	yan wu	原始音节与Chai一致且获两参考支持；兼容异读未当频次	原始两拼音字段矛盾；整词词典与辅助拼音矛盾；参考含多个读音；未均摊词频
4670	怎么着	408	zen3 me5 zhe5	zenmezhuo	zen3 me5 zhe5			zen me zhe	整词词典与原始音节一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
4753	刹车	397	sha1 che1	shache	sha1 che1	cha che | sha che	cha che | sha che	sha che	原始音节与Chai一致且获两参考支持；兼容异读未当频次	参考含多个读音；未均摊词频
4819	追捕	390	zhui1 bu3	zhuibo	zhui1 bu3	zhui bu	zhui bu	zhui bu	简单鹤与鲸凉鹤去飞键后一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
4821	卡住	389	ka3 zhu4	kazhu	qia3 zhu4	ka zhu	ka zhu | qia zhu	ka zhu	简单鹤与鲸凉鹤去飞键后一致	整词词典与原始拼音矛盾；整词词典与辅助拼音矛盾；两鹤一致但Chai不同
4969	雪茄	373	xue3 jia1	xuejia	xue3 jia1	xue jia | xue qie	xue jia | xue qie	xue jia	原始音节与Chai一致且获两参考支持；兼容异读未当频次	参考含多个读音；未均摊词频
5069	不得	360	bu4 de2	bude	bu4 dei3	bu de | bu dei	bu de | bu dei	待分配	参考异读无法消歧；待分配	整词词典与原始拼音矛盾；整词词典与辅助拼音矛盾；两份参考不能唯一确定
5323	低调	335	di1 diao4	didiao	di1 diao4	di diao | di tiao	di diao | di tiao	di diao	原始音节与Chai一致且获两参考支持；兼容异读未当频次	参考含多个读音；未均摊词频
5364	仿佛	331	fang3 fu2	fangfo	fang3 fu2	fang fu	fang fu	fang fu	简单鹤与鲸凉鹤去飞键后一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
5422	宝藏	327	bao3 zang4	baocang	bao3 zang4	bao zang	bao zang	bao zang	简单鹤与鲸凉鹤去飞键后一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
5464	模样	324	mu2 yang4	muyang	mu2 yang4	mo yang | mu yang	mo yang | mu yang	mu yang	原始音节与Chai一致且获两参考支持；兼容异读未当频次	参考含多个读音；未均摊词频
5659	战略	308	zhan4 lu:e4	zhanlue	zhan4 lve4	zhan lve	zhan lve	zhan lve	简单鹤与鲸凉鹤去飞键后一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
5801	曝光	296	pu4 guang1	baoguang	bao4 guang1	bao guang	bao guang	bao guang	整词人工裁决	原始两拼音字段矛盾；整词词典与原始拼音矛盾
5815	露营	295	lu4 ying2	luying	lu4 ying2	lou ying | lu ying	lou ying | lu ying	lu ying	原始音节与Chai一致且获两参考支持；兼容异读未当频次	参考含多个读音；未均摊词频
5850	完了	291	wan2 le5/liao3/liao4	wanliao	wan2 le5	wan le	wan le	wan le	简单鹤与鲸凉鹤去飞键后一致	整词词典与辅助拼音矛盾
5990	诶	283	ei2/ei3/ei4	ai	ei2			待分配	证据不足或仍冲突；待分配	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
5991	走着瞧	283	zou3 zhe5 qiao2	zouzhuoqiao				待分配	证据不足或仍冲突；待分配	原始两拼音字段矛盾
6047	顺着	279	shun4 zhe5	shunzhuo	shun4 zhe5	shun zhe	shun zhe	shun zhe	简单鹤与鲸凉鹤去飞键后一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
6123	目的地	273	mu4 di4 di4	mudedi	mu4 di4 di4			mu di di	整词词典与原始音节一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
6254	牛仔裤	265	niu2 zai3 ku4	niuziku	niu2 zai3 ku4			niu zai ku	整词词典与原始音节一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
6333	露面	261	lou4 mian4	lumian	lou4 mian4	lou mian | lu mian	lou mian | lu mian	lou mian	原始音节与Chai一致且获两参考支持；兼容异读未当频次	原始两拼音字段矛盾；整词词典与辅助拼音矛盾；参考含多个读音；未均摊词频
6345	暖和	260	nuan3 huo5	nuanhe	nuan3 huo5	nuan he | nuan huo	nuan he | nuan huo	nuan huo	原始音节与Chai一致且获两参考支持；兼容异读未当频次	原始两拼音字段矛盾；整词词典与辅助拼音矛盾；参考含多个读音；未均摊词频
6430	揭露	255	jie1 lu4	jielu	jie1 lu4	jie lou | jie lu	jie lou | jie lu	jie lu	原始音节与Chai一致且获两参考支持；兼容异读未当频次	参考含多个读音；未均摊词频
6525	会长	249	hui4 zhang3	huichang	hui4 zhang3	hui zhang	hui zhang	hui zhang	简单鹤与鲸凉鹤去飞键后一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
6681	照着	241	zhao4 zhao1/zhao2/zhe5/zhuo2	zhaozhuo	zhao4 zhe5	zhao zhe	zhao zhe	zhao zhe	简单鹤与鲸凉鹤去飞键后一致	整词词典与辅助拼音矛盾
6728	增长	238	zeng1 zhang3	zengzhang	zeng1 zhang3	zeng chang | zeng zhang	zeng chang | zeng zhang	zeng zhang	原始音节与Chai一致且获两参考支持；兼容异读未当频次	参考含多个读音；未均摊词频
6734	摇滚乐	238	yao2 gun3 yue4	yaogunle	yao2 gun3 yue4			yao gun yue	整词词典与原始音节一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
6892	捕	230	bu3	bo	bu3			bu	整词词典与原始音节一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
6894	朝着	230	chao2/zhao1 zhao1/zhao2/zhe5/zhuo2	chaozhuo	chao2 zhe5	chao zhe	chao zhe	chao zhe	简单鹤与鲸凉鹤去飞键后一致	整词词典与辅助拼音矛盾
6919	澄清	229	deng4 qing1	chengqing	deng4 qing1	cheng qing | deng qing	cheng qing | deng qing	deng qing	原始音节与Chai一致且获两参考支持；兼容异读未当频次	原始两拼音字段矛盾；整词词典与辅助拼音矛盾；参考含多个读音；未均摊词频
6993	拘捕	225	ju1 bu3	jubo	ju1 bu3		ju bu	ju bu	单份鹤参考与其他证据一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
7024	薄饼	224	bao2 bing3	baobing	bao2 bing3	bao bing | bo bing	bao bing | bo bing	bao bing	原始音节与Chai一致且获两参考支持；兼容异读未当频次	参考含多个读音；未均摊词频
7063	乐器	221	le4/yue4 qi4	leqi	yue4 qi4	yue qi	yue qi	yue qi	整词人工裁决	整词词典与辅助拼音矛盾
7078	折腾	221	zhe1 teng5	sheteng	zhe1 teng2	zhe teng	zhe teng	zhe teng	简单鹤与鲸凉鹤去飞键后一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
7118	得以	219	de2 yi3	deyi	de2 yi3	de yi | dei yi	de yi | dei yi	de yi	原始音节与Chai一致且获两参考支持；兼容异读未当频次	参考含多个读音；未均摊词频
7178	爪子	216	zhua3 zi5	zhuazi	zhua3 zi3	zhao zi | zhua zi	zhao zi | zhua zi	zhua zi	原始音节与Chai一致且获两参考支持；兼容异读未当频次	参考含多个读音；未均摊词频
7186	薄荷	216	bo4 he5	baohe	bo4 he2	bo he	bo he	bo he	简单鹤与鲸凉鹤去飞键后一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
7194	怀着	215	huai2 zhao1/zhao2/zhe5/zhuo2	huaizhuo	huai2 zhe5	huai zhe	huai zhe	huai zhe	简单鹤与鲸凉鹤去飞键后一致	整词词典与辅助拼音矛盾
7255	都会	213	du1 hui4	duhui	du1 hui4	dou hui | du hui	dou hui | du hui	du hui	原始音节与Chai一致且获两参考支持；兼容异读未当频次	参考含多个读音；未均摊词频
7259	音乐家	213	yin1 yue4 jia1	yinlejia	yin1 yue4 jia1			yin yue jia	整词词典与原始音节一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
7310	机长	210	ji1 zhang3	jichang	ji1 zhang3	ji zhang	ji zhang	ji zhang	简单鹤与鲸凉鹤去飞键后一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
7392	乐团	205	le4/yue4 tuan2	letuan	yue4 tuan2	yue tuan	yue tuan	yue tuan	整词人工裁决	整词词典与辅助拼音矛盾
7483	琢磨	202	zhuo2 mo2	zhuomo	zuo2 mo2	zhuo mo	zhuo mo | zuo mo	zhuo mo	简单鹤与鲸凉鹤去飞键后一致	整词词典与原始拼音矛盾；整词词典与辅助拼音矛盾；两鹤一致但Chai不同
7610	补给	197	bu3 ji3	buji	bu3 ji3	bu gei | bu ji	bu gei | bu ji	bu ji	原始音节与Chai一致且获两参考支持；兼容异读未当频次	参考含多个读音；未均摊词频
7816	同行	187	tong2 xing2	tongxing	tong2 hang2	tong hang | tong xing	tong hang | tong xing	待分配	参考异读无法消歧；待分配	整词词典与原始拼音矛盾；整词词典与辅助拼音矛盾；两份参考不能唯一确定
7843	闹着玩	187	nao4 zhao1/zhao2/zhe5/zhuo2 wan2	naozhuowan	nao4 zhe5 wan2			nao zhe wan	整词词典与原始音节一致	整词词典与辅助拼音矛盾
7872	调头	186	diao4 tou2	diaotou	diao4 tou2	diao tou | tiao tou	diao tou | tiao tou	diao tou	原始音节与Chai一致且获两参考支持；兼容异读未当频次	参考含多个读音；未均摊词频
7874	重返	186	chong2 fan3	zhongfan	chong2 fan3	chong fan	chong fan	chong fan	简单鹤与鲸凉鹤去飞键后一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
7953	供给	182	gong1 ji3	gongji	gong1 ji3	gong gei	gong gei | gong ji	待分配	两鹤与原始音节、Chai相互矛盾；待裁决	不能仅靠两鹤一致覆盖另一组一致证据
8093	重重	178	chong2 chong2	chongchong	zhong4 zhong4	chong chong | zhong zhong	chong chong | zhong zhong	待分配	参考异读无法消歧；待分配	整词词典与原始拼音矛盾；整词词典与辅助拼音矛盾；两份参考不能唯一确定
8138	重现	176	chong2 xian4	zhongxian	chong2 xian4	chong xian	chong xian	chong xian	简单鹤与鲸凉鹤去飞键后一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
8550	侵略	162	qin1 lu:e4	qinlue	qin1 lve4	qin lve	qin lve	qin lve	简单鹤与鲸凉鹤去飞键后一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
8608	重组	161	chong2 zu3	zhongzu	chong2 zu3	chong zu	chong zu	chong zu	简单鹤与鲸凉鹤去飞键后一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
8645	会计师	159	kuai4 ji4 shi1	huijishi	kuai4 ji4 shi1			kuai ji shi	整词词典与原始音节一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
8672	爵士乐	159	jue2 shi4 yue4	jueshile	jue2 shi4 yue4			jue shi yue	整词词典与原始音节一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
8713	舰长	158	jian4 zhang3	jianchang	jian4 zhang3	jian zhang	jian zhang	jian zhang	简单鹤与鲸凉鹤去飞键后一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
8718	逮捕令	158	dai3/dai4 bu3 ling2/ling3/ling4	daiboling				待分配	证据不足或仍冲突；待分配	原始两拼音字段矛盾
8857	年长	153	nian2 zhang3	nianchang	nian2 zhang3	nian chang | nian zhang	nian chang | nian zhang	nian zhang	原始音节与Chai一致且获两参考支持；兼容异读未当频次	原始两拼音字段矛盾；整词词典与辅助拼音矛盾；参考含多个读音；未均摊词频
8860	捕捉	153	bu3 zhuo1	bozhuo	bu3 zhuo1	bu zhuo	bu zhuo	bu zhuo	简单鹤与鲸凉鹤去飞键后一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
8893	出没	152	chu1 mo4	chumei	chu1 mo4	chu mo	chu mo	chu mo	简单鹤与鲸凉鹤去飞键后一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
9027	明了	149	ming2 liao3	mingliao	ming2 le5	ming le | ming liao	ming le | ming liao	待分配	参考异读无法消歧；待分配	整词词典与原始拼音矛盾；整词词典与辅助拼音矛盾；两份参考不能唯一确定
9057	抓捕	148	zhua1 bu3	zhuabo	zhua1 bu3	zhua bu	zhua bu	zhua bu	简单鹤与鲸凉鹤去飞键后一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
9114	巴尔的摩	146	Ba1 er3 di4 mo2	baerdemo				待分配	证据不足或仍冲突；待分配	原始两拼音字段矛盾
9181	配乐	145	pei4 le4/yue4	peile	pei4 yue4	pei yue	pei yue	pei yue	整词人工裁决	整词词典与辅助拼音矛盾
9333	甲壳	141	jia3 qiao4	jiaqia	jia3 qiao4	jia ke | jia qiao	jia ke | jia qiao	jia qiao	原始音节与Chai一致且获两参考支持；兼容异读未当频次	原始两拼音字段矛盾；整词词典与辅助拼音矛盾；参考含多个读音；未均摊词频
9397	坦率	139	tan3 shuai4	tanlv	tan3 shuai4	tan shuai	tan shuai	tan shuai	简单鹤与鲸凉鹤去飞键后一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
9414	淹没	139	yan1 mo4	yanmei	yan1 mo4	yan mo	yan mo	yan mo	简单鹤与鲸凉鹤去飞键后一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
9440	伺候	138	ci4 hou4	sihou	ci4 hou4	ci hou	ci hou	ci hou	简单鹤与鲸凉鹤去飞键后一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
9467	社长	138	she4 zhang3	shechang	she4 zhang3	she zhang	she zhang	she zhang	简单鹤与鲸凉鹤去飞键后一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
9585	掠夺	135	lu:e4 duo2	lueduo	lve4 duo2	lve duo	lve duo	lve duo	简单鹤与鲸凉鹤去飞键后一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
9608	不曾	134	bu4 ceng2	buzeng	bu4 ceng2	bu ceng	bu ceng	bu ceng	简单鹤与鲸凉鹤去飞键后一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
9641	血缘	134	xue4 yuan2	xueyuan	xue4 yuan2		xie yuan | xue yuan	xue yuan	原始音节与Chai一致且获两参考支持；兼容异读未当频次	参考含多个读音；未均摊词频
9739	调出	132	diao4/tiao2 chu1	diaochu	diao4 chu1	diao chu | tiao chu	diao chu | tiao chu	待分配	参考异读无法消歧；待分配	两份参考不能唯一确定
9742	重逢	132	chong2 feng2	zhongfeng	chong2 feng2	chong feng	chong feng	chong feng	简单鹤与鲸凉鹤去飞键后一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
9833	草率	130	cao3 shuai4	caolv	cao3 shuai4	cao shuai	cao shuai	cao shuai	简单鹤与鲸凉鹤去飞键后一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
10006	本色	126	ben3 shai3	bense	ben3 se4	ben se	ben se	ben se	简单鹤与鲸凉鹤去飞键后一致	原始两拼音字段矛盾；整词词典与原始拼音矛盾；两鹤一致但原始拼音不同
10079	大王	124	da4/dai4 wang2/wang4	dawang	dai4 wang2	da wang | dai wang	da wang | dai wang	待分配	参考异读无法消歧；待分配	整词词典与辅助拼音矛盾；两份参考不能唯一确定
10142	弹琴	123	tan2 qin2	danqin	tan2 qin2	tan qin	tan qin	tan qin	简单鹤与鲸凉鹤去飞键后一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
10330	咖喱	119	ga1 li2	kali	ga1 li2	ga li | ka li	ga li | ka li	ga li	原始音节与Chai一致且获两参考支持；兼容异读未当频次	原始两拼音字段矛盾；整词词典与辅助拼音矛盾；参考含多个读音；未均摊词频
10395	搅和	118	jiao3 huo5	jiaohe	jiao3 huo5	jiao he	jiao he | jiao huo	待分配	两鹤与原始音节、Chai相互矛盾；待裁决	原始两拼音字段矛盾；整词词典与辅助拼音矛盾；不能仅靠两鹤一致覆盖另一组一致证据
10413	调动	118	diao4 dong4	diaodong	diao4 dong4	diao dong | tiao dong	diao dong | tiao dong	diao dong	原始音节与Chai一致且获两参考支持；兼容异读未当频次	参考含多个读音；未均摊词频
